title,artist
"Trem das onze","Demônios da Garoa"
"O Calhambeque","Roberto Carlos"
"Amore, scusami","John Foster"
"Sentimental Demais","Altemar Dutra"
"Ma Vie","Alain Barrière"
"A Hard Day’s Night","The Beatles"
"O Trovador","Altemar Dutra"
"O Neguinho e a Senhorita","Noite ilustrada"
"Shame And Scandal In The Family","Shawn Elliott"
"Arrastão","Elis Regina"
"House of the rising sun","The Animals"
"Sabor A Mi","Eydie Gormé & Trio Los Panchos"
"A Festa Do Bolinha","Trio Esperança"
"Nunca Mais Brigarei Contigo","Roberto Muller"
"Não Quero Ver Você Triste","Roberto Carlos"
"I Feel Fine","The Beatles"
"Querida","Jerry Adriani"
"Mamãe eu te darei algo","Manuela"
"Carcará","Maria Bethânia"
"Professor Apaixonado","Nilton Cesar"
"From Russia with Love","Matt Monro"
"Eight Days a Week","The Beatles"
"Se mi vuoi lasciare","Michele"
"Preste Atenção (Fais Attention)","Wanderley Cardoso"
"Perfidia","Trini Lopez"
"Pau de Arara","Ary Toledo"
"DownTown","Petula Clark"
"Menina Linda","Renato e Seus Blue Caps"
"Red Roses for a Blue Lady","Bert Kaempfert"
"Na Onda do Berimbau","Ed Lincoln"
"Prelude / The Sound of Music","Julie Andrews"
"In ginocchio da te","Gianni Morandi"
"Feche os Olhos (All My Loving)","Reanto e Seus Blues Caps"
"Falhaste Coração (Fallaste Corazon)","Angela Maria"
"Michel","Trini Lopez"
"A Casa do Sol Nascente","Agnaldo Timóteo"
"A Garota do Baile","Roberto Carlos"
"Joga a chave","Jorge Goulart"
"Iracema","Demônios da Garôa"
"Mr. Tambourine Man","The Byrds"
"O Escândalo (Shame and Scandal In The Family)","Renato e Seus Blue Caps"
"Pensando Nela","Golden Boys"
"Il mondo","Jimmy Fontana"
"Charade","Henry Mancini"
"Não Me Esquecerás","Carlos Alberto"
"My Boy Lollipop","Millie Small"
"Help","The Beatles"
"Tchin, Tchin","Richard Anthony"
"Izabelle","Charles Aznavour"
"A casa d’Irene","Nico Fidenco"
"Festa de Arromba","Erasmo Carlos"
"Menino Das Laranjas","Elis Regina"
"Amor Perdido","Carlos Alberto"
"Meu bem (My Boy Lollipop)","Wanderléa"
"acender as velas","Nara Leão"
"Lobo Mau (The Wanderer)","Roberto Carlos"
"Mulata Ye Ye Ye","Emilinha Borba"
"Gatinha Manhosa","Erasmo Carlos"
"Não é Papo Pra Mim","Roberto Carlos"
"Parei… Olhei","Roberto Carlos"
"O Carro Do Papai","Ed Wilson"
"Minha Namorada","Os Cariocas"
"Das Rosas","Dalva de Oliveira"
"O que eu faço do Latim","Meire Pavão"
"Afinal chegou (Diggedle Boeing)","Os Vips"
"Se O Seu Amor Fosse P’ra Mim (For Lovin’ Me)","Trio Melodia"
"Primavera","Alaíde Costa"
"Mascarada","Zé Keti"
"Minha Fama de Mau","Erasmo Carlos"
"Copacabana É Amor","Fernando Pereira"
"História de um Homem Mau (Ol’ Man Mose)","Roberto Carlos"
"This Diamond Ring","Gary Lewis & The Playboys"
"O Principio e o Fim (Ma Vie)","Agnaldo Rayol"
"People","Barbra Streisand"
"A Praia (La Playa)","Agnaldo Rayol"
"Preste Atenção!","Giane"
"Minhas madrugadas","Elizeth Cardoso"
"Que c’est triste Venise","Charles Aznavour"
"Alguém Na Multidão","Golden Boys"
"Geronimo","Os Incriveis"
"Rock Do Mendigo","Moacyr Franco"
"La danse de Zorba","Dalida"
"Deixa Isso Pra La","Jair Rodrigues"
"Primavera","Pery Ribeiro"
"Pedro Pedreiro","Chico Buarque"
"Opinião","Nara Leão"
"Quero Que Vá Tudo Pro Inferno","Roberto Carlos"
"Se piangi, se ridi","Bobby Solo"
"Mulata Assanhada","Elza Soares"
"You Turn Me On","Ian Whitcomb"
"Primavera","Claudette Soares"
"Que Será De Ti","Moacyr Franco"
"Ma Vie","Lana Bittencourt"
"Io Che Non Vivo Senza Te","Bobby Solo"
"Ébrio de amor","Lindomar Castilho"
"Tchin tchin","Tony Campello"
"Sinfonia da Mata","Orlando Dias"
"The Wanderer","Dion"
"Samba De Verão","Marcos Valle"
"Abraça-Me Forte (Abbracciami Forte)","Wanderley Cardoso"
