title,artist,lyrics
"Sozinho","Caetano Veloso","Às vezes, no silêncio da noite
Eu fico imaginando nós dois
Eu fico ali sonhando acordado
Juntando o antes, o agora e o depois

Por que você me deixa tão solto?
Por que você não cola em mim?
Tô me sentindo muito sozinho

Não sou nem quero ser o seu dono
É que um carinho, às vezes, cai bem
Eu tenho os meus desejos e planos secretos
Só abro pra você, mais ninguém

Por que você me esquece e some?
E se eu me interessar por alguém?
E se ela, de repente, me ganha?

Quando a gente gosta
É claro que a gente cuida
Fala que me ama
Só que é da boca pra fora

Ou você me engana
Ou não está madura
Onde está você agora?

Quando a gente gosta
É claro que a gente cuida
Fala que me ama
Só que é da boca pra fora

Ou você me engana
Ou não está madura
Onde está você agora?"
"Mina de Fé","Os Morenos","Eu era feliz sem saber
Êh! Êh!
Isso me revolta
Tudo que eu fiz
Foi sem querer
Êh! Êh!
Será que tem volta

Eu não dei valor
Não me dediquei
Ao meu grande amor
Como eu vacilei
Tô doente de saudade

Tanta curtição
Tanta liberdade
Quanta azaração
Quanta falsidade
Tô doente de saudade

Eu aprendi
Não vale nada
Noite, farra, madrugada
Eu prometi não te magoar
Pode confiar

Foi preciso perder
Pra aprender a valorizar
A mina de fé, a mina de fé
Eu preciso entender
Não se deve largar jamais
A mina de fé, a mina de fé

Eu era feliz sem saber
Êh! Êh!
Isso me revolta
Tudo que eu fiz
Foi sem querer
Êh! Êh!
Será que tem volta

Eu não dei valor
Não me dediquei
Ao meu grande amor
Como eu vacilei
Tô doente de saudade

Tanta curtição
Tanta liberdade
Quanta azaração
Quanta falsidade
Tô doente de saudade

Eu aprendi
Não vale nada
Noite, farra, madrugada
Eu prometi não te magoar
Pode confiar

Foi preciso perder
Pra aprender a valorizar
A mina de fé, a mina de fé
Eu preciso entender
Não se deve largar jamais
A mina de fé, a mina de fé"
"Pra Falar A Verdade","Daniel","Um amigo me falou
Que a poeira vai baixar
Que qualquer carinho novo
Põe as coisas no lugar

Que essa falta de você
Tende a desaparecer
E a distância faz a gente esquecer

Que o amargo e a solidão
Que me corta o coração
De repente vão embora
Que é chuva de verão

Que esse pranto vai secar
E eu vou me acostumar
Que a tempestade logo vai passar

Pra falar a verdade
Na realidade
É que pra você o nosso amor desencantou

Só que no meu caso
Saiu tudo errado
Se o tempo apaga dessa vez não apagou

Pra falar a verdade
Na realidade
É que pra você o nosso amor desencantou

Só que no meu caso
Saiu tudo errado
Se o tempo apaga dessa vez não apagou

Que o amargo e a solidão
Que me corta o coração
De repente vão embora
Que é chuva de verão

Que esse pranto vai secar
E eu vou me acostumar
Que a tempestade logo vai passar

Pra falar a verdade
Na realidade
É que pra você o nosso amor desencantou

Só que no meu caso
Saiu tudo errado
Se o tempo apaga dessa vez não apagou

Pra falar a verdade (falar a verdade)
Na realidade (na realidade)
É que pra você o nosso amor desencantou

Só que no meu caso (só que no meu caso)
Saiu tudo errado (saiu tudo errado)
Se o tempo apaga dessa vez não apagou

Pra falar a verdade (falar a verdade)
Na realidade (na realidade)
É que pra você o nosso amor desencantou

Só que no meu caso (só que no meu caso)
Saiu tudo errado (saiu tudo errado)
Se o tempo apaga dessa vez não apagou"
"Me apaixonei pela pessoa errada","Exaltasamba","Eu não tenho culpa de estar te amando
De ficar pensando em você toda hora
Não entendo por que deixei acontecer
E isso tudo me apavora

Você não tem culpa se eu estou sofrendo
Se fantasiei de verde esta história
Você tem namorado, posso até estar errado
Mas tenho que ganhar você

É mais do que desejo, é muito mais do que amor
Eu te vejo nos meus sonhos
E isso aumenta mais a minha dor

Eu me apaixonei pela pessoa errada
Ninguém sabe o quanto que estou sofrendo
Sempre que eu vejo ele do seu lado
Morro de ciúmes, estou enlouquecendo

(Eu me apaixonei pela pessoa errada)
(Ninguém sabe o quanto que estou sofrendo)
(Sempre que eu vejo ele do seu lado)
(Morro de ciúmes, estou enlouquecendo)

Fica comigo, me deixa ao menos te tocar
Entenda que ao meu lado é o seu lugar

Eu me apaixonei pela pessoa errada
Ninguém sabe o quanto que estou sofrendo
Sempre que eu vejo ele do seu lado
Morro de ciúme, estou enlouquecendo

(Eu me apaixonei pela pessoa errada)
(Ninguém sabe o quanto que estou sofrendo)
(Sempre que eu vejo ele do seu lado)
(Morro de ciúme, estou enlouquecendo)

Fica comigo, vai
Eu morro de ciúmes quando vejo ele do seu lado
Assim não dá

Eu não tenho culpa de estar te amando
De ficar pensando em você toda hora
Não entendo por que deixei acontecer
Isso tudo me apavora

Você não tem culpa se eu estou sofrendo
Se fantasiei de verde essa história
Você tem namorado, posso até estar errado
Mas tenho que ganhar você

É mais do que desejo, é muito mais do que amor
Eu te vejo nos meus sonhos
E isso aumenta mais a minha dor

Eu me apaixonei pela pessoa errada
Ninguém sabe o quanto que estou sofrendo
Sempre que eu vejo ele do seu lado
Morro de ciúmes, estou enlouquecendo

(Eu me apaixonei pela pessoa errada)
(Ninguém sabe o quanto que estou sofrendo)
(Sempre que eu vejo ele do seu lado)
(Morro de ciúmes, estou enlouquecendo)

(Eu me apaixonei pela pessoa errada)
(Ninguém sabe o quanto que estou sofrendo)
(Sempre que eu)"
"Nunca Vou Deixar Você","Karametade","Não mudou nada em mim
Tenho os mesmos amigos
As mesmas manias
Eu não troco de time
Nem santo, nem guias
Sou fiel até mesmo
Ao fazer fantasias

Meu coração é assim
Só quer o teu amor
Pular a cerca, eu pulei
Mas só você eu amei
Errar, eu já errei
Mas pra você eu voltei
Transar eu já transei
Mas com você que eu fiquei

Você é quem manda no meu coração
Você é quem acende o fogo da paixão
Quem é que dá show na hora de amar
E sabe fazer meu corpo delirar?

Você põe verdade na minha ilusão
É minha loucura, é minha tentação
Você dá um show na hora do prazer
Por isso é que eu nunca vou deixar você"
"Dois Corações e Uma História","Zezé Di Camargo & Luciano","No meio da conversa
De um caso terminando
Um fala, o outro escuta
Os olhos vão chorando

A lógica de tudo
É o desamor que chega
Depois que um descobre
Que o outro não se entrega

Quem vai sair arruma
As coisas põe na mala
Enquanto o outro fuma
Um cigarro na sala

E o coração palhaço
Começa a bater forte
Quem fica não deseja
Que o outro tenha sorte

E longe um do outro
A vida é toda errada
O homem não se importa
Com a roupa amarrotada

E a mulher em crise
Quantas vezes chora
A dor de ter perdido
Um grande amor que foi embora

Mas quando vem a volta
O homem se arruma
Faz barba, lava o carro
Se banha, se perfuma

E liga pro amigo
Que tanto lhe deu força
E jura nunca mais
Vai perder essa moça

E a mulher se abraça
À sua mãe diz: Obrigado!
E põe aquela roupa
Que agrada o seu amado

E passa a tarde toda
Cuidando da beleza
Jantar à luz de velas
E amor de sobremesa

E perto um do outro
A vida é diferente
A solidão dá espaço
Ao amor que estava ausente

Quem olha, não tem jeito
De duvidar agora
Da força da paixão que tem
Dois corações e uma história

E perto um do outro
A vida é diferente
A solidão dá espaço
Ao amor que estava ausente

Quem olha, não tem jeito
De duvidar agora
Da força da paixão que tem
Dois corações e uma história"
"Cachorrada","Gabriel o Pensador","Sou um vira-lata e tô afim daquela gata responsa
Que parece uma onça
Ela é de raça, não é nenhuma gata vadia
E quando ela passa o meu pelo se arrepia

Ela mia, miau! E eu passo mau
Eu não sou gato, eu só lato: Au! Au!
Algum tagarela me falou que ela é donzela
Que é melhor eu desistir e procurar uma cadela

Eu disse: É ruim, animal, de cachorra eu tô legal
A última que tive me trocou por um chow-chow
É tudo igual
Jeitinho de santa cara-de-pau
E quando ficam no cio fazem até bacanal

Eu tô afim de uma gata
Mas só tem cachorra

Eu tô afim de uma gata
Mas só acho canina, vou soltar os cachorro em cima

Eu já rezei pra são bernardo pra conquistar esse amor
E até procurei um pastor
Mas eu não entendi a oração que o o pastor me passou
Porque o pastor era pastor alemão e eu só sei latir em português
Estou me sentindo um pequinês

Uh! Uh! Uh! Um conselho, deixa a gata pra lá
Você só vai arrumar sarna pra se coçar
Ela é muita ração pra sua tigela
Ela mora na mansão, você mora na favela
Ela come só salmão, tu nem pão com mortadela
Ela torce pro palmeiras, tu é timão
Ela é mangueira e tu portela

E tu é cão vira-lata, ela é gata, esquece
Que eu te apresento uma poodle mais bonita que a lassie

Au, au, alto lá só por que você foi adestrado tá querendo me ensinar?
Eu conheço a tua raça, quer meter o focinho onde não foi chamado?
Passa, passa, passa, que eu não sou pitt-bull mas tô ficando nervoso
Avisa pra gata que ela vai ter um esposo
Que é um vira-lata teimoso
Eu não sou nenhum dálmata, mas também sou pintoso

Eu tô afim de uma gata
Mas só tem cachorra
Eu tô afim de uma gata
Mas só acho canina, vou soltar os cachorro em cima

E ai vira-lata
Fala, fila
Num se finge de morto, não, não vacila aí!
Aquele gato ali tá afim da tua gata
E falou que vai na pata com você
Quero ver, vai lá, mete o canino na orelha do felino
Dá-lhe uma dentada feito tyson atacando rollyfield
Quebra esse garfield na porrada
Aí qualé da parada?
Aí, não vai fazer nada?

Calma aí, sem briga
Eu quebro esse mané só na ideia, se liga
Escuta aqui, seu projeto de tamborim
Eu não tô falando grego, nem latindo em latim
Eu tô a fim daquela gata e tô sabendo que tu quer levar uns tapas na lata
Mas não vô perder meu tempo com muleque brigão
Que não tem nada na cabeça e tira onda de machão
Tá querendo se atracar comigo
Num rola
Vai atrás do piu piu, frajola

Eu tô afim de uma gata
Mas só tem cachorra
Eu tô afim de uma gata
Mas só acho canina, vou soltar os cachorro em cima

Tá cheio de hotweiler
Cercando a casa dela mas eu tô entrando pela janela
Pareço até um gato, mas não mio, nem arranho
Au! Ela tá tomando banho
Oi, minha deusa felina
Gostei desse banho de língua, cê me ensina?
Que é isso, cachorro, me solta
Calma, gatinha, vamo dar uma volta

Fica tranquila, que eu não vou te morder
Encolhe as suas unhas que eu te levo pra ver
O filmaço que eu assisto todo dia
O frango que roda lá na padaria
Vamô! Foge da mansão
E venha conhecer a minha vida de cão
Que tem mais emoção

Eu tô afim de uma gata
Mas só tem cachorra
Eu tô afim de uma gata
Mas só acho canina, vou soltar os cachorro em cima

Bora, gatinha! Cola na minha
Pega
Ih, babô! A carrocinha
Au, au, algemaram meu pescoço
Onde já se viu, me trancaram num canil
Se eu tivesse pedigree, eu duvido que eu tivesse aqui
Pagando por um crime que eu não cometi
Eu não sou lobo e a gata não é ovelha
Mas eu também não sou bobo e tô com a pulga atrás da orelha
Com esse cão policial que fica rindo de mim
Tá bancando o rintintin
Mas perece o rabugento
Me tira daqui
Eu não tenho sete vidas
Preciso aproveitar o meu tempo

Eu tô afim de uma gata
Mas só tem cachorra
Eu tô afim de uma gata
Mas só acho canina, vou soltar os cachorro em cima

Agora eu tô na boa
A gata me tirou do canil
E pediu pra ser minha patroa
Eu nunca fui de baderna
Mas também não saio com o rabo entre as pernas
Bicho solto
O meu dono é liberdade
Osso duro de roer
Pra roer com vontade
É o bicho
Quem se empenha chega lá
A gatinha tá prenha
Vamo ver que bicho dá

Eu tô afim de uma gata
Mas só tem cachorro
Eu não sou um cão de raça da exposição
Mas eu sou um vira-lata com disposição"
"Vai dar Samba","Daniel","Gosto, e isso não é nenhum segredo
Quero te namorar
Gosto, gosto de você faz muito tempo
E como é gostoso gostar

Ando junto com você qualquer caminho
Sonho bom, de viver
Quando, você se render aos meus carinhos
Não vai nem chorar nem sofrer

Tem coisas que a gente sente
No fundo do coração
Nós nascemos um pro outro
Diz a minha intuição
É a canoa e o rio, é a corda e a caçamba
Não tem erro, não dá outra, vai dar samba

Tem coisas que a gente sente
No fundo do coração
Nós nascemos um pro outro
Diz a minha intuição
É a canoa e o rio
É a corda e a caçamba
Não tem erro
Não dá outra
Vai dar samba

Tem coisas que a gente sente
No fundo do coração
Nós nascemos um pro outro
Diz a minha intuição
É a canoa e o rio
É a corda e a caçamba
Não tem erro
Não dá outra
Vai dar samba

Gosto, e isso não é nenhum segredo
Quero te namorar
Gosto, gosto de você faz muito tempo
E como é gostoso gostar

Ando junto com você qualquer caminho
Sonho bom de viver
Quando você se render aos meus carinhos
Não vai nem chorar nem sofrer

Tem coisas que a gente sente
No fundo do coração
Nós nascemos um pro outro
Diz a minha intuição
É a canoa e o rio
É a corda e a caçamba
Não tem erro
Não dá outra
Vai dar samba

Tem coisas que a gente sente
No fundo do coração
Nós nascemos um pro outro
Diz a minha intuição
É a canoa e o rio
É a corda e a caçamba
Não tem erro
Não dá outra
Vai dar samba"
"O Vento","Jota Quest","Voe por todo mar e volte aqui
Voe por todo mar e volte aqui
Pro meu peito

Se você for, vou te esperar
Com o pensamento que só fica em você

Aquele dia, um algo mais
Algo que eu não poderia prever
Você passou perto de mim
Sem que eu pudesse entender
Levou os meus sentidos todos pra você

Mudou a minha vida e mais
Pedi ao vento pra trazer você aqui
Morando nos meus sonhos e na minha memória
Pedi ao vento pra trazer você pra mim

O vento traz você de novo
O vento faz do meu mundo um novo
E voe por todo o mar e volte aqui
E voe por todo o mar e volte aqui
Pro meu peito"
"Não Foi à Toa","Soweto","Amor
Mais uma vez eu me atrasei
Eu sei, perdi a hora
No caminho me lembrei
Que essa noite é importante hoje faz um mês
Que os nossos olhos se olharam a primeira vez

Amor
Receba as flores que eu comprei
Na cor que você gosta
Foi difícil mas achei
Procurei pela cidade
Cheio de paixão

Se eu cheguei tarde o culpado é o meu coração
Eu já me justifiquei, não foi à toa
Me abraça meu amor, vai me perdoa

Te amo demais, não chego tarde nunca mais
Vem, vamos comemorar que a noite e nossa
Abre seu coração e tranque a porta
Te amo de mais"
