title,artist
"O vira","Secos e Molhados"
"Retalhos de Cetim","Benito Di Paula"
"Sangue Latino","Secos & Molhados"
"Skyline Pigeon","Elton John"
"Eu Só Quero Um Xodó","Gilberto Gil"
"Killing Me Softly With His Song","Roberta Flack"
"Gostava tanto de você","Tim Maia"
"Ouro de tolo","Raul Seixas"
"Uma vida só (Pare de tomar a pilula)","Odair José"
"Your Song","Billy Paul"
"Esse cara","Maria Bethania"
"Tie a Yellow Ribbon Round the Ole Oak Tree","Dawn ft Tony Orlando"
"My Love","Paul McCartney"
"Music And Me","Michael Jackson"
"Proposta","Roberto Carlos"
"Crocodile Rock","Elton John"
"Estrada da Vida","Milionário & José Rico"
"Neither One Of Us","Gladys Knigth & The Pips"
"Eu Bebo Sim","Elizeth Cardoso"
"Me And Mrs. Jones","Billy Paul"
"Orgulho de Um Sambista","Jair Rodrigues"
"Daniel","Elton John"
"Do you love me","Sharif Dean"
"Brother Louie","Stories"
"Tristeza, pé no chão","Clara Nunes"
"Clair","Gilbert O`Sullivan"
"You Are The Sunshine Of My Life","Stevie Wonder"
"Why can’t we live together","Timmy Thomas"
"Rosa de Hiroshima","Secos & Molhados"
"You’re a Lady","Peter Skellern"
"Forever and Ever","Demis Roussos"
"O homem de Nazareth","Antonio Marcos"
"Oh Girl","The Chi Lites"
"Camisa 10","Luiz Américo"
"Also sprach Zarathustra","Deodato"
"A Cigana","Roberto Carlos"
"Do you like samba","Cyro Aguiar"
"Sorria, sorria","Evaldo Braga"
"The Guitar Man","Bread"
"Diamond Girl","Seals & Crofts"
"Viagem","Marisa"
"O Menino da Porteira","Sergio Reis"
"The Morning After","Maureen McGovern"
"Réu Confesso","Tim Maia"
"Superwoman (Where Were You?)","Stevie Wonder"
"Push Together","The Chakachas"
"You’re So Vain","Carly Simon"
"I’ll Be Fine","Pete Dunaway"
"Lets get it on","Marvin Gaye"
"Listen","Paul Bryan"
"Don’t say goodbye","Chrystian"
"Angie","Rolling Stones"
"I’ve been around","Nathan Jones Group"
"Serafim e seus filhos","Ruy Maurity & Trio"
"Oh Babe What Would You Say","Hurricane Smith"
"Meu pai Oxalá","Vinícius de Moraes e Toquinho"
"Masterpiece","The Temptations"
"Painted Ladies","Ian Thomas"
"Listen to the Music","The Doobie Brothers"
"Eu, você e a praça","Odair José"
"Superstition","Stevie Wonder"
"Rockin’ Roll Baby","The Stylistics"
"Don’t Mess With Mister T","Marvin Gaye"
"Monkberry Moon Delight","Exuma"
"Boi da cara preta","Jair Rodrigues"
"E agora José","Paulo Diniz"
"Cristo, quem é você?","Odair José"
"Porta aberta","Luiz Ayrão"
"Homem de verdade","Djalma Dias"
"Drama","Maria Bethânia"
"Estácio, Holly Estácio","Luiz Melodia"
"A Desconhecida","Fernando Mendes"
"Eu Não Sou Cachorro não","Waldik Soriano"
"Soul Makossa","Manu Dibango"
"Summer Breeze","Seals & Croft"
"Folhas Secas","Elis Regina"
"Al Capone","Raul Seixas"
"For Once in my Life","Gladys Knight & The Pips"
"Meu sapato já furou","Clara Nunes"
"Cachaca Mecanica","Erasmo Carlos"
"Funky Stuff","Kool & The Gang"
"Folhas Secas","Beth Carvalho"
"She made me cry","Pholhas"
"Long Train Running","The Doobie Brothers"
"No more troubles","Sharif Dean"
"It Never Rains In Southern California","Albert Hammond"
"Mosca na Sopa","Raul Seixas"
"Tá Todo Mundo Louco","Silvio Brito"
"He","Family Child"
"Metamorfose ambulante","Raul seixas"
"Não Tenho Culpa de Ser Triste","Nelson Ned"
"Comportamento Geral","Gonzaguinha"
"Tell me once again","Light Reflections"
"Que as crianças cantem livres","Taiguara"
"The Snake","El Chicles"
"Cavalo Ferro","Fagner"
"Naquela Mesa","Sérgio Bittencourt e Elizeth Cardoso"
"Eu Disse Adeus","Maria Creuza"
"Volta","Gal Costa"
"Sing A Song","The Carpenters"
