title,artist
"Hey Jude","The Beatles"
"Viola Enluarada","Marcos Valle e Milton Nascimento"
"Baby","Gal Costa e Caetano Veloso"
"Sá Marina","Wilson Simonal"
"Love is Blue","Paul Mauriat"
"Light My Fire","José Feliciano"
"Se você pensa","Roberto Carlos"
"MacArthur Park","Richard Harris"
"Pata Pata","Miriam Makeba"
"Tenho um amor melhor que o seu","José Roberto"
"Ultima Canção","Paulo Sergio"
"Sou louca por você","Elizabeth"
"San Francisco","Scott McKenzie"
"Mrs. Robinson","Simon & Garfunkel"
"A Chuva Que Cai","Os Caçulas"
"Pra Nunca Mais Chorar","Vanusa"
"The Rain, The Park, And Other Things","The Cowsills"
"Do You Wanna Dance","Johnny Rivers"
"Só o ôme","Noriel Vilela"
"Segura esse samba, ogunhê","Osvaldo Nunes"
"Dio Come Ti Amo","Gigliola Cinquetti"
"Pra não dizer que não falei das flores","Geraldo Vandré"
"I love you","People"
"La Dernière Valse","Mireille Mathieu"
"Minha Primeira Desilusão","Silvinha"
"Summer Rain","Johnny Rivers"
"Hello Goodbye","The Beatles"
"The Fool On The Hill","Sergio Mendes & Brasil 66"
"Divino Maravilhoso","Gal Costa"
"Playboy","Silvinha"
"(Theme From) Valley of the Dolls","Dionne Warwick"
"Bobby Goldsboro","Honey"
"Little Green Apples","O.C. Smith"
"As Canções Que Você Fez Pra Mim","Roberto Carlos"
"Hurdy Gurdy Man","Donovan"
"Mony Mony","Tommy James & The Shondells"
"Angel Of The Morning","Merrilee Rush & The Turnabouts"
"Andança","Beth Carvalho & The Golden Boys"
"Judy in disguise","John Fred e his playboy band"
"Free Again","Barbra Streisand"
"Aranjuez mon amour","Lafayette"
"I say a little prayer","Aretha Franklin"
"Ciúme de Você","Roberto Carlos"
"Stormy","Classics IV"
"Never My Love","Association"
"Ballad Of Bonnie And Clyde","Georgie Fame"
"Le bruit des vagues","Romuald"
"The Good, The Bad and The Ugly","Hugo Montenegro e His Orchestra"
"Alvorada no morro","Clara Nunes"
"(Sittin’ On) The Dock Of The Bay","Otis Redding"
"Helena, Helena, Helena","Taiguara"
"Simon Says","1910 Fruitgum Company"
"A Pobreza","Leno e Lilian"
"Soy Loco Por Ti America","Caetano Veloso"
"O Milionário","Os Incríveis"
"Modinha","Taiguara"
"Parabéns Querida","Roberto Livi"
"Lonely","The Lovin’ Spoonful"
"Cry Like A Baby","Box Tops"
"Quero Lhe Dizer Cantando","Agnaldo Rayol"
"Sabiá","Cynara e Cybele"
"Superbacana","Caetano Veloso"
"Tom Zé","São São Paulo"
"Carolina","Chico Buarque"
"Gimme Little Sign","Brenton Wood"
"Você passa e eu acho graça","Clara Nunes"
"2001","Os Mutantes"
"Eu Sou Terrível","Roberto Carlos"
"Neon Rainbow","The Box Tops"
"Massachusetts","Bee Gees"
"Cabide de molambo","João da Baiana"
"Nem vem que não tem","Wilson Simonal"
"Eu daria a minha vida","Martinha"
"Those Were The Days","Mary Hopkin"
"Jumpin jack flash","The Rolling Stones"
"Daydream Believer","The Monkees"
"Silence is Golden","The Tremeloes"
"Alvorada no morro","Odete Amaral"
"Kid games and nursery rhymes","Shirley e Alfred"
"The Last Waltz","Engelbert Humperdinck"
"Era um garoto que como eu…","Os Incríveis"
"Dom Quixote","Os Mutantes"
"Revolution","The Beatles"
"Meu Primeiro Amor","José Ricardo"
"Me deixe em paz","Waldick Soriano"
"Samba Do Crioulo Doido","Quarteto em Cy"
"Para Pedro","José Mendes"
"Lapinha","Elis Regina"
"Aquela Rosa","Eliana Pittman & Conjunto 3D"
"Amor desperado","Orlando Dias"
"Perdoa-me","Orlando Dias"
"Yummy Yummy Yummy","Ohio Express"
"It Must Be Him","Vikki Carr"
"Anjo triste","Sérgio Reis"
"Pressentimento","Marília Medalha"
"Casa de Bamba","Martinho da Vila"
"(To Sir With Love)","LuLu"
"Green Tambourine","The Lemon Pipers"
"Ela desatinou","MPB4"
"Silêncio","Joelma"
