title,artist
"O Bêbado e a Equilibrista","Elis Regina"
"Pai","Fábio Jr."
"Too Much Heaven","Bee Gees"
"Le Freak","Chic"
"Super Homem","Gilberto Gil"
"I Will Survive","Gloria Gaynor"
"YMCA","Village People"
"Tragedy","Bee Gees"
"Explode Coração","Maria Bethânia"
"Começar de novo","Simone"
"Ring My Bell","Anita Ward"
"Vou festejar","Beth Carvalho"
"Realce","Gilberto Gil"
"Stumblin","Chris Norman & Suzi Quatro"
"Reunited","Peaches & Herb"
"Revelação","Fagner"
"Lua de São Jorge","Caetano Veloso"
"Sultans Of Swing","Dire Straits"
"Descaminhos","Joanna"
"Bye Bye Brasil","Chico Buarque"
"Bad Girls","Donna Summer"
"Casinha branca","Gilson"
"Sharing The Night Together","Dr Hook"
"Amor, meu grande amor","Ângela Rô Rô"
"Na paz do seu sorriso","Roberto Carlos"
"The Logical Song","Supertramp"
"What A fool Believes","Doobie Brothers"
"Sonho meu","Maria Bethania e Gal Costa"
"Meu Drama","Roberto Ribeiro"
"I Love The Nightlife","Alicia Bridges"
"Tô Voltando","Simone"
"Born to Be Alive","Patrick Hernandez"
"Até Parece Que Foi Sonho","Fabio Tim Maia e Hyldon"
"Medo de Aviao","Belchior"
"You Needed Me","Anne Murray"
"Da Ya Think I’m Sexy?","Rod Stewart"
"Rua ramalhete","Tavito"
"We Are Family","Sister Sledge"
"Rise","Herb Alpert"
"She Believes In Me","Kenny Rogers"
"Sob medida","Fafá de Belém"
"My Sharona","The Knack"
"How You Gonna See Me Now","Alice Cooper"
"Lead me on","Maxine Nightingale"
"Chiquitita","ABBA"
"I Just Wanna Stop","Gino Vannelli"
"Mirrors","Sally Oldfield"
"Toda menina Bahiana","Gilberto Gil"
"Who’s loving you","Dobie Gray"
"Heart Of Glass","Blondie"
"Fique Um Pouco Mais","Rosana Fiengo"
"Beleza Pura","A Cor Do Som"
"Our love (don’t throw it all away)","Andy gibbs"
"Chuva De Verão","Hermes Aquino"
"Força Estranha","Gal Costa"
"Acenda O Farol","Tim Maia"
"Good Times","Chic"
"Gostoso veneno","Alcione"
"I Can Still Remember","Samantha Sang"
"I Want Your Love","Chic"
"Shake Your Groove Thing","Peaches & Herb"
"In the Navy","Village People"
"Nicolette Larson","Lotta Love"
"No More Tears (Enough is Enough)","Barbra Streisand e Donna Summer"
"My Life","Billy Joel"
"Still","Commodores"
"Sunday","Paloma"
"Morena de Angola","Clara Nunes"
"Emoções","Wando"
"Paris at 21","Peter Allen"
"I’d Rather Hurt Myself (Then To Hurt You)","Randy Brown"
"Que me venha esse homem","Fafá de Belém"
"Sob Medida","Simone"
"3rd Melody","Steven Schlaks"
"Love Takes Time","Orleans"
"I Just Fall In Love Again","Anne Murray"
"I’ll Never Love This Way Again","Dionne Warwick"
"Cuba","Gibson Brothers"
"Let’s Fly Away","Voyage"
"Grilo Na Cuca","Dudu França"
"Maria Fumaça","Kleiton e Kledir"
"Hot Stuff","Donna Summer"
"Preto que Satisfaz","As Frenéticas"
"Álibi","Maria Bethânia"
"Brigas","Agnaldo Timóteo e Angela Maria"
"Got My Mind Made Up","Instant Funk"
"Helena","Byafra"
"Don’t Cry Out Loud","Melissa Manchester"
"Avôhai","Zé Ramalho"
"Quem me levará sou eu","Dominguinhos"
"Pigeon Without A Dove","Patrick Dimon"
"Sad Eyes","Robert John"
"Ready to take a chance again","Barry Manilow"
"Every Time I Think Of You","The Babys"
"Mania De Você","Rita Lee"
"O frete","Renato Teixeira"
"I’m a dancer","Dennis Parker"
"Belo Sentimento","Sônia Burnier"
"Knock On Wood","Amii Stewart"
"Love don’t live here anymore","Rose Royce"
