title,artist
"Theme From A Summer Place","Percy Faith"
"Banho De Lua","Celly Campello"
"A Noite Do Meu Bem","Dolores Duran"
"Esmeralda","Carlos José"
"Mulher De Trinta","Miltinho"
"Menina Moça","Tito Madi"
"Marina","Cauby Peixoto"
"Put Your Head On My Shoulder","Paul Anka"
"Alguem Me Disse","Anísio Silva"
"Everybody’s Somebody’s Fool","Connie Francis"
"Meu Dilema","Nelson Gonçalves"
"Se Acaso Você Chegasse","Elza Soares"
"Me Dá Um Dinheiro Aí","Moacyr Franco"
"The Green Leaves Of Summer","The Brothers Four"
"Estou Pensando Em Ti","Anísio Silva"
"La Violetera","Sara Montiel"
"Negue","Carlos Augusto"
"Serenata Suburbana","Dalva De Andrade"
"O Milagre Da Volta","João Dias"
"Puppy Love","Paul Anka"
"Não Tenho Lágrimas","Nat King Cole"
"Longe De Ti","Wilson Miranda"
"O Amor E A Rosa","Elizeth Cardoso"
"Por Quem Sonha Ana Maria?","Juca Chaves"
"Cinzas Do Passado","Cláudio de Barros"
"Pillow Talk","Doris Day"
"Leva Tudo Contigo","Jorge Goulart"
"Ó Crides","Ronald Golias"
"Ironia","Angela Maria"
"Fechei A Porta","Jamelão"
"Creia","Osmar Navarro"
"Tu És Meu Castigo","Agnaldo Rayol"
"Oração De Amor","Luiz Cláudio"
"I’m Sorry","Brenda Lee"
"Where Or When","Dion & The Belmonts"
"La Violetera","Angela Maria"
"Chore Comigo","Nelson Gonçalves"
"Um amor igual ao nosso","Nelson Novais"
"Green Fields","Brothers Four"
"Não Tenho Namorado","Celly Campello"
"I’ll Never Fall In Love Again","Johnnie Ray"
"Presidente Bossa Nova","Juca Chaves"
"Zelao","Sergio Ricardo"
"Marcianita","Sergio Murilo"
"Mimi","Gilberto Alves"
"Mineiro Sabido","Luiz Wanderley"
"A Canção Dos Seus Olhos","Marisa"
"Anisedade","Leila Silva"
"Adam And Eve","Paul Anka"
"The Everly Brothers","Cathy’s Clown"
"Adelita","Franquito"
"Alma De Boêmio","José Orlando"
"Amor Proibido","Carlos Nobre"
"Noite Cheia De Estrelas","Poly E Seu Conjunto"
"E Daí","Sonia Dutra"
"Arrependimento","Ellen De Lima"
"Arruma A Trouxa","Zilá Fonseca"
"Billy Boy","Jimmy Isle"
"Caixinha, Obrigado","Juca Chaves"
"Canção Do Desejo","Angela Maria"
"Leva-me Contigo","Lana Bittencourt"
"Carinho E Amor","Tito Madi"
"Coração De Mãe","Leny Eversong"
"Devolva-me","Anísio Silva"
"Diga Que Me Ama","Sonia Delfino"
"Creio Em Ti","Francisco Egydio"
"Dirce","Osny Silva"
"El Vagabundo","Trio Los Panchos"
"Brotinho Sem Juízo","Roberto Carlos"
"i Like Girls","Johnny Restivo"
"Estou Pensando Em Ti","Agostinho dos Santos"
"Folhas ao vento","Osny Silva"
"Hino Ao Amor","Morgana"
"Historia De Minha Vida","Emilinha Borba"
"Bimbombey","Sonia Delfino"
"Espante A Tristeza","Renato E Seus Blue Caps"
"Its Now Or Never","Elvis Presley"
"La Violetera","Dionísio Bernardo"
"Só Em Teus Braços","Sylvia Telles"
"Eu Preciso Namorar","Gordurinha"
"Leva-me Contigo","Marisa"
"Lonely Boy","Paul Anka"
"Long Tall Sally","Little Richard"
"Lua Azul","Léo Romano"
"Leny Eversong","Marina"
"Chiclete Com Banana","Jackson Do Pandeiro"
"Irmã da saudade","Leila Silva"
"Marina","Rocco Granata"
"O Que Tinha De Ser","Sylvia Telles"
"Meditação","Isaura Garcia"
"Leva-me Contigo","Agostinho Dos Santos"
"Perdão Para Dois","Leila Silva"
"Minhas Serás Eternamente","Orlando Dias"
"Quiero besar tu manos","Gregorio Barrios"
"Morrer Por Ti","Oswaldo Rodrigues"
"Mustapha","Bob Azzam"
"Súplica Cearense","Gordurinha"
"Mais um trago","Antonio Martins"
"Nancy","Osny Silva"
"Cacareco É O Maior","Risadinha"
