title,artist
"Livin on a Prayer","Bon Jovi"
"Que país é esse?","Legião Urbana"
"Lady in red","Chris De Burgh"
"Um certo alguem","Lulu Santos"
"With Or Without You","U2"
"O Amor e o Poder","Rosana Fiengo"
"Codinome Beija-Flor","Cazuza"
"Always","Atlantic Starr"
"Didn’t we almost have it all","Whitney Houston"
"I Still Haven ‘t Found What I’m Looking For","U2"
"Katia Flavia","Fausto Fawcett e os Robôs Efêmeros"
"Esquece e Vem","Nico Rezende"
"Flores em você","Ira!"
"Bad","Michael Jackson"
"Don’t Dream It’s Over Live","Crowded House"
"Faraó Divindade Do Egito","Olodum"
"Descendo O Rio Nilo","Capital Inicial"
"Carrie","Europe"
"Amanhã é 23","Kid Abelha"
"Shake You Down","Gregory Abbott"
"Human","Human League"
"Don t Get Me Wrong","The Pretenders"
"Ausência","Chrystian e Ralf"
"Faroeste Caboclo","Legião Urbana"
"Homem Primata","Titãs"
"Somewhere Out There","Linda Ronstadt & James Ingram"
"La Bamba","Los Lobos"
"Retratos E Canções","Sandra De Sá"
"Who’s That Girl","Madonna"
"Songbird","Kenny G"
"I’ll be Over You","Toto"
"Stay The Night","Benjamin Orr"
"Infinita Highway","Engenheiros do Hawaii"
"The Miracle Of Love","Eurythmics"
"Luka","Suzanne Vega"
"Nothing’s Gonna Stop Us Now","Starship"
"The Way It Is","Bruce Hornsby And The Range"
"I Wanna Dance With Somebody","Whitney Houston"
"Eu não quero mais","Fundo de Quintal"
"Vida dividida","Chrystian & Ralf"
"Looking For a New Love","Jody Watley"
"Emotion In Motion","Ric Ocasek"
"C’est la vie","Robbie Nevil"
"José Augusto","Sábado"
"Me perdoa poeta","Leci Brandão"
"Coming Around Again","Carly Simon"
"Eu já tirei a sua roupa","Wando"
"Madagáscar Olodum","Olodum"
"You’ve Got It All","The Jets"
"Walk Like an Egyptian","The Bangles"
"Don’t Forget Me (When I’m Gone)","Glass Tiger"
"Let’s Wait Awhile","Janet Jackson"
"Everything I Own","Boy George"
"O Nosso Amor a Gente Inventa","Cazuza"
"Head To Toe","Lisa Lisa & Cult Jam"
"I Want Your Sex","George Michael"
"Lambadas III","Fafa de Belém"
"In Too Deep","Genesis"
"Is This Love","Whitesnake"
"Tiro ao Álvaro","Elis Regina e Adoniran Barbosa"
"Right Between the Eyes","Wax"
"Two People","Tina Turner"
"(I Just) Died In Your Arms","Cutting Crew"
"Caleidoscópio","Dulce Quental"
"Familia","Titãs"
"Iluminados","Ivan Lins"
"Passos No Porão","Radio Taxi"
"LEAN ON ME","Club Nouveau"
"La Isla Bonita","Madonna"
"Glory Of Love","Peter Cetera"
"Meet Me Half Way","Kenny Loggins"
"Open Your Heart","Madonna"
"Change Of Heart","Cyndi Lauper"
"I Just Can’t Stop Loving You","Michael Jackson"
"Is This Love","Survivor"
"Hospício","Amado Batista"
"Um dia, um adeus","Guilherme Arantes"
"Nothing gonna change my love for you","Glenn Mederios"
"Terra de Gigantes","Engenheiros do Hawaii"
"Heart","Alone"
"AA UU","Titãs"
"Vá Com Deus","Roberta Miranda"
"Preciso Aprender A Só Ser","Caetano Veloso"
"Just To See Her","Smokey Robinson"
"What’s Going On","Cyndi Lauper"
"Hey Jude","Kiko Zanbianchi"
"Only in My Dreams","Debbie Gibson"
"Rhythm Is Gonna Get You","Gloria Estefan"
"Notorious","Duran Duran"
"A Voz do Rádio","Sula Miranda"
"Pinga Ni Mim","Sergio Reis"
"Holiday Rap","MC Miker G & DJ Sven"
"Até ao Fim","Veronica Sabino"
"Rolam as Pedras","Kiko Zambianchi"
"Diamonds","Herb Alpert ft. Janet Jackson"
"Eu Gosto De Mulher","Ultraje a Rigor"
"A revolta dos Dândis","Engenheiros do Hawaii"
"Quero ficar com você","Maria Bethania"
"Gone with the winner","Century"
"You’re the Voice","John Farnham"
