title,artist
"As Curvas da Estrada de Santos","Roberto Carlos"
"Aquele abraço","Gilberto Gil"
"Hoje","Taiguara"
"Aquarius/ Let The Sunshine In","The Fifth Dimension"
"Pais Tropical","Wilson Simonal"
"Get back","The Beatles"
"Mustang cor de sangue","Marcos Valle"
"Sugar, Sugar","The Archies"
"I Started A Joke","Bee Gees"
"F… Comme Femme","Salvatore Adamo"
"Que Pena","Gal Costa & Caetano Veloso"
"Charles, Anjo 45","Jorge Ben"
"Sentado a Beira do Caminho","Erasmo Carlos"
"Crimson and Clover","Tommy James & The Shondells"
"Sua Estupidez","Roberto Carlos"
"Traces","Classics IV"
"Tudo Passará","Nelson Ned"
"Proud Mary","Creedence Clearwater Revival"
"Casa de Bamba","Martinho da Vila"
"Eu Disse Adeus","Roberto Carlos"
"You Made Me So Very Happy","Blood, Sweat & Tears"
"Green River","Creedence Clearwater Revival"
"Não identificado","Gal Costa"
"Casaco Marron","Evinha"
"Smile A Little Smile For Me","The Flying Machine"
"My Cherie Amour","Stevie Wonder"
"Those Were The Days","Mary Hopkin"
"Atrás do Trio Elétrico","Caetano Veloso"
"To Sir With Love","LuLu"
"Zingara","Bobby Solo"
"Socorro, nosso amor está morrendo","Wanderley Cardoso"
"Que maravilha","Jorge Ben e Toquinho"
"The Ballad Of John And Yoko","The Beatles"
"Honky Tonk Women","Rolling Stones"
"Love is all","Malcolm Roberts"
"Stella","Fábio"
"My Way","Frank Sinatra"
"Adeus ingrata","Claudio Fontana"
"Tomorrow Tomorrow","Bee Gees"
"Get Together","The Youngbloods"
"Good morning starshine","Oliver"
"O Pequeno Burguês","Martinho da Vila"
"As flores do jardim da nossa casa","Roberto Carlos"
"For Once In My Life","Stevie Wonder"
"Cantiga por Luciana","Evinha"
"Love Theme from Romeo and Juliet","Henry Mancini"
"Je T’aime,…Moi Non Plus","Jane Birkin et Serge Gainsbourg"
"Little Green Apples","O.C. Smith"
"O Conde","Jair Rodrigues"
"Mudando de conversa","Dóris Monteiro"
"Ob La Di Ob La Da","The Marmalade"
"Casatchok","Georges Jouvin"
"I say a little prayer","Aretha Franklin"
"Easy To Be Hard","Three Dog Night"
"Do-Ré-Mi","Doris Monteiro"
"Pra que dinheiro","Martinho da vila"
"Hold Me Tight","Johnny Nash"
"2001","Os Mutantes"
"I Heard It Through The Grapevine","Marvin Gaye"
"Irene","Caetano Veloso"
"Cadê Tereza","Originais Do Samba"
"Sinal Fechado","Paulinho da Viola"
"Atlantis","Donovan"
"The Box Tops","Trains And Boats And Planes"
"Meia volta (Ana Cristina)","Wilson Simonal"
"Girl Watcher","O’Kaysions"
"In The Year 2525","Zager and Evans"
"Sentinela","Milton Nascimento e Nana Caynni"
"Levante a cabeça","Osvaldo nunes"
"Onde estão aqueles dias","Carmen Silva"
"Elenore","The Turtles"
"Cadê Tereza","Jorge Ben"
"Vai Meu Samba","Jair Rodrigues"
"Hey Jude","The Beatles"
"Madalena","Elis Regina"
"Over You","Gary Puckett and The Union Gap"
"Zazueira","Herb Alpert"
"My Special Angel","The Vogues"
"These eyes","The Guess Who"
"Linda, Meu Bem","Ary Toledo"
"Dumingaz","Jorge Ben Jor"
"Magic Carpet Ride","Steppenwolf"
"A festa dos meus 15 anos","Leno"
"1, 2, 3, Red Light","1910 Fruitgum Company"
"Dizzy","Tommy Roe"
"Hair","The Cowsills"
"Soulful Strut","Holt Unlimited"
"Se o telefone toca","Vox Deorum"
"Build Me Up Buttercup","The Foundations"
"Time Of The Season","Zombies"
"Turn Around, Look at Me","The Vogues"
"Chicletes com banana","Leila Silva"
"A Minha Menina","Jorge Ben Jor"
"Midnight Confessions","The Grass Roots"
"Eu Vou Sair Para Buscar Você","Agnaldo Timóteo"
"Touch Me","The Doors"
"What does it take","Junior Walker e the All Stars"
"Casinha pequenina","Clara Nunes"
"Crystal Blue Persuasion Roulette","Tommy James & The Shondells"
"Chewy Chewy","Ohio Express"
