title,artist
"Muito estranho","Dalto"
"Physical","Olivia Newton John"
"Banho de Espuma","Rita Lee"
"Leão Ferido","Biafra"
"Saúde","Rita Lee & Roberto de Carvalho"
"Festa do Interior","Gal Costa"
"Morena Tropicana","Alceu Valença"
"Let’s Groove","Earth, Wind & Fire"
"Bate Coração","Elba Ramalho"
"O que é, O que é?","Gonzaguinha"
"Asa morena","Zizi Possi"
"Ebony and Ivory","Paul McCartney and Stevie Wonder"
"Vem fazer glu glu","Sergio Mallandro"
"Você Não Soube Me Amar","Blitz"
"Eye in the Sky","The Alan Parsons Project"
"Reluz","Marcos Sabino"
"Fuscão Preto","Almir Rogério"
"Blue Eyes","Elton John"
"Samurai","Djavan"
"Charme do Mundo","Marina Lima"
"portela na avenida","Clara Nunes"
"Hard To Say I’m Sorry","Chicago"
"Eye Of The Tiger","Survivor"
"Ribbon In The Sky","Stevie Wonder"
"Gloria","Laura Branigan"
"Faltando um Pedaço","Djavan"
"Titles","Vangelis"
"Como Dois Animais","Alceu Valença"
"Virada","Beth Carvalho"
"Sou Boy","Magazine"
"Mulher nova bonita e carinhosa","Amelinha"
"Melô do Piripipi","Gretchen"
"Waiting for a Girl Like","Foreigner"
"Centerfold","J. Geils Band"
"I Love Rock N Roll","Joan Jett & the Blackhearts"
"Olhos coloridos","Sandra de Sá"
"Bum bum, praticumbum, prugurundum","Império Serrano"
"Fera Ferida","Roberto Carlos"
"Empty Garden (Hey, Hey Johnny)","Elton John"
"I Can’t Go For That (No Can Do)","Daryl Hall & John Oates"
"Tudo com Você","Lulu Santos"
"Dentro do Coração (Pôe Devagar)","Radio Taxi"
"Amor com café","Elba Ramalho"
"O Que é Que Há","Fábio Jr."
"Don’t You Want Me","The Human League"
"Barrados No Baile","Eduardo Dusek"
"Coisas de casal","Rádio Taxi"
"Coisa Linda","Vinicius Canturia"
"One To One","Carole King"
"Classic","Adrian Gurvitz"
"Um Auê Com Você","Baby do Brasil"
"Flagra","Rita Lee e Roberto de Carvalho"
"Tempos Modernos","Lulu Santos"
"Hurt","Carly Simon"
"Açai","Gal Costa"
"Forever","Alessi & Christopher Cross"
"Abracadabra","Steve Miller Band"
"Por debaixo dos panos","Ney Matogrosso"
"Tô Que Tô","Simone"
"I’ve Never Been To Me","Charlene"
"O melhor vai começar","Guilherme Arantes"
"The Old Songs","Barry Manilow"
"De repente, Califórnia","Lulu Santos"
"Pac Man Fever","Buckner and Garcia"
"The Other Woman","Ray Parker Jr"
"Even The Nights Are Better","Air Supply"
"Forget Me Nots","Patrice Rushen"
"Here We Are","Voggue"
"Cry Softly","Secret Service"
"Elas por elas","The Fevers"
"Simples Carinho","Ângela Ro Ro"
"It’s Good To Be The King","Mel Brooks"
"Harden My Heart","Quarterflash"
"Bilhete","Fafá de Belém"
"Only The Lonely","Motels"
"Rock da Cachorra","Eduardo Dusek"
"Tristesse","Danielle"
"Galopeira","Donizeti"
"I believe in love","Nikka Costa"
"That Girl","Stevie Wonder"
"Dancin’ the night away","Voggue"
"Banho de Cheiro","Elba Ramalho"
"How Long","Rod Stewart"
"If Leaving Me Is Easy","Phil Collins"
"Cor de Rosa Choque","Rita Lee"
"Give It To Me Baby","Rick James"
"Ai Que Saudade de Ocê","Vital Farias"
"The Piano Song","Bruno Carezza"
"Sign Of The Times","Bob James"
"Mundo delirante","Simone"
"Ousadia","Sandra Sá"
"Walk Away","Udo Jürgens"
"Coisa acesa","Moraes Moreira"
"Yesterday’s Songs","Neil Diamond"
"As Vitrines","Chico Buarque"
"Ah, como eu amei","Benito de Paula"
"Can You See The Light","Brass Construction"
"Don McLean","Castle in the air"
"Pelo amor de Deus","Emílio Santiago"
"Então Tá","Cauby Peixoto"
