title,artist
"Faz Parte do Meu Show","Cazuza"
"One More Try","George Michael"
"(I’ve Had) The Time Of My Life","Bill Medley, Jennifer Warnes"
"Piano In The Dark","Brenda Russell"
"Ideologia","Cazuza"
"Sweet Child O’ Mine","Guns N’ Roses"
"She’s Like The Wind","Patrick Swayze ft. Wendy Fraser"
"Mordida De Amor (Love Bites)","Yahoo"
"Aquarela do Brasil","Gal Costa"
"Baby Can I hold you","Tracy Chapman"
"Marvin (Patches)","Titãs"
"Where Do Broken Hearts Go","Whitney Houston"
"Kissing A Fool","George Michael"
"Red Red Wine","UB40"
"I’ve Been In Love Before","Cutting Crew"
"Mais uma vez","Placa Luminosa"
"Tá combinado","Maria Bethania"
"Anything for You","Gloria Estefan & Miami Sound Machine"
"Odé e Adão","Luiz Caldas"
"Todo o sentimento","Verônica Sabino"
"Could’ve been","Tiffany"
"Intuição","Oswaldo Montenegro"
"Manuel","Ed Motta"
"Eu preciso dizer que te amo","Marina Lima"
"Need You Tonight","INXS"
"I get weak","Belinda Carlisle"
"Love Bites","Def Leppard"
"Man in the Mirror","Michael Jackson"
"Father Figure","George Michael"
"Don’t worry Be happy","Bobby McFerrin"
"Never Gonna Give You Up","Rick Astley"
"Quase um segundo","Os Paralamas do Sucesso"
"What Have I Done To Deserve This?","Pet Shop Boys, Dusty Springfield"
"A Cura","LuLu Santos"
"Wishing Well","Terence Trent D’Arby"
"Pense e Dance","Barão Vermelho"
"Seasons Change","Exposé"
"Faith","George Michael"
"Oitava Cor","Fundo de Quintal"
"Peão","Almir Sater"
"Paradise","Sade"
"Build","The Housemartins"
"Girlfriend","Pebbles"
"Got My Mind Set On You","George Harrison"
"Rumo Certo","Sula Miranda"
"Amor bandido","Joanna"
"Silent morning","Noel"
"The Flame","Cheap Trick"
"Never Say Goodbye","Bon Jovi"
"O Beco","Os Paralamas Do Sucesso"
"Espuma da Cerveja","Gian e Giovani"
"Get Outta My Dreams, Get Into My Car","Billy Ocean"
"Promises","Basia"
"That’s What Love Is All About","Michael Bolton"
"Verdades e Mentiras","Maria Bethânia"
"Você em minha vida","Gian e Giovani"
"Pink Cadillac","Natalie Cole"
"Foolish Beat","Debbie Gibson"
"I don’t wanna go on with you like that","Elton John"
"Breakout","Swing Out Sister"
"We’ll Be Together","Sting"
"Lost In Emotion","Lisa Lisa Cult Jam"
"1,2,3","Gloria Estefan"
"A Sombra da partida","Ritchie"
"Nothing gonna change my love for you","Glenn Mederios"
"Love Changes Everything","Climie Fisher"
"The Way You Make Me Feel","Michael Jackson"
"Devil Inside","INXS"
"Penso nisso amanhã","Nico Rezende"
"Strangelove","Depeche Mode"
"Roll With It","Steve Winwood"
"I don’t want to live without you","Foreigner"
"Vida Fácil","Cazuza"
"Together Forever","Rick Astley"
"Shattered Dreams","Johnny Hates Jazz"
"I saw him standing there","Tiffany"
"Dirty Diana","Michael Jackson"
"Out Of The Blue","Debbie Gibson"
"SONHOS","Jane Duboc"
"Sugar Free","Wa Wa Nee"
"Lá vem o Sol","Lulu Santos"
"Mary’s Prayer","Danny Wilson"
"Just To See Her","Smokey Robinson"
"É","Gonzaguinha"
"Endless Summer Nights","Richard Marx"
"I Don’t Wanna Live Without Your Love","Chicago"
"Never Tear Us Apart","INXS"
"Lessons In Love","Level 42"
"I Think We’re Alone Now","Tiffany"
"Summertime II","Rosa Maria & Tony Osanah"
"Luka","Suzanne Vega"
"Vamos Dançar","Ed Motta"
"O Tico Tico","Manhoso"
"Didn’t we almost have it all","Whitney Houston"
"Unchain My Heart","Joe Cocker"
"Amante Anônimo","Gian & Giovani"
"Angel","Aerosmith"
"I’ll Always Love You","Taylor Dayne"
"Lost in you","Rod Stewart"
"So long","Eddy Benedict"
