title,artist
"Sonifera Ilha","Titãs"
"Como eu quero","Kid Abelha"
"I Just Called To Say I Love You","Stevie Wonder"
"Óculos","Os Paralamas do Sucesso"
"Vai Passar","Chico Buarque"
"Esquinas","Djavan"
"Deixa Eu Te Amar","Agepê"
"You And I","Kenny Rogers"
"Fullgás","Marina Lima"
"Inútil","Ultraje a Rigor"
"Lilás","Djavan"
"Knife","Rockwell"
"Brega Chique","Eduardo Dussek"
"Caminhoneiro","Roberto Carlos"
"Ebony Eyes","Rick James  ft. Smokey Robinson"
"Só Você","Vinicius Cantuária"
"Bete Balanço","Barão Vermelho"
"Thriller","Michael Jackson"
"All night Long","Lionel Richie"
"Recado (Meu namorado)","Joana"
"Fogueira","Angela Rô Rô"
"Meu Erro","Paralamas do Sucesso"
"Eu sou free","Sempre Livre"
"Me Chama","Lobão e os Ronaldos"
"Owner of a Lonely Heart","YES"
"Xixi Nas Estrelas","Guilherme Arantes"
"Joanna","Kool & The Gang  Ft JT Taylor"
"Radio Taxi","Eva"
"Hello","Lionel Richie"
"Lindo Lago do Amor","Gonzaguinha"
"Somebody’s Watching Me","Rockwell"
"Against All Odds (Take a Look at Me Now)","Phil Collins"
"Linda Juventude","14 Bis"
"Karma Chameleon","Culture Club"
"Over You","Lane Brody"
"I Guess That’s Why They Call It The Blues","Elton John"
"Sonho de Icaro","Biafra"
"Nada Mais","Gal Costa"
"Fixação","Kid Abelha"
"Private Dancer","Tina Turner"
"Jump","Van Halen"
"Nada tanto assim","Kid Abelha"
"Drive","The Cars"
"When Doves Cry","Prince"
"Say Say Say by","Paul McCartney and Michael Jackson"
"Just My Imagination (Running Away with Me)","Lillo Thomas"
"Song For You","John Miles"
"Careless Whisper","George Michael"
"Certas Coisas","Lulu Santos"
"Is This The End?","New Edition"
"Heart and Soul","Huey Lewis and The News"
"I can dream about you","Dan Hartman"
"What’s Love Got To Do With It","Tina Turner"
"A Mulher Invisível","Ritchie"
"Esa Mujer","Julio Iglesias"
"If ever your in my arms again","Peabo Bryson"
"Time After Time","Cyndi Lauper"
"Baile dos passarinhos","Gugu"
"Tic tic nervoso","Magazine"
"Champagne","Manolo Otero"
"Talking in Your Sleep","Romantics"
"Eyes Without A Face","Billy Idol"
"Maior Abandonado","Barão Vermelho"
"I Am What I Am.","Gloria Gaynor"
"Porque não eu","Kid Abelha"
"Dancing In the Dark","Bruce Springsteen"
"I Feel for You","Chaka Khan"
"Comer, comer!","Brazilian Genghis Khan"
"Make Believe It’s the First Time","Carpenters"
"Vamos a la playa","Righeira"
"Reggae Night","Jimmy Cliff"
"São Paulo, São Paulo","Premeditando o Breque"
"Stuck On You","Lionel Richie"
"Quando te vi","Beto Guedes"
"Beat Acelerado","Metrô"
"Transas e Caretas","Trio Los Angeles"
"Lua My Love","Eduardo Dusek"
"Hey DJ","World’s Famous Supreme Team"
"Você Em Minha Vida","Fafá de Belém"
"Toque de Malicia","Beth Carvalho"
"You’re The Inspiration","Chicago"
"Betty Frígida","Blitz"
"Let’s Stay Together","Tina Turner"
"Ao Que Vai Chegar (Voa Coração)","Toquinho"
"Boys do fall in love","Robin Gibb"
"Papel Machê","João Bosco"
"Tudo azul","Lulu Santos"
"Do What You Do","Jermaine Jackson"
"Vereda Tropical","Ney Matogrosso"
"Umberto Tozzi","Eva"
"My Girl","Lillo Thomas"
"Almost Paradise","Mike Reno & Ann Wilson"
"A Festa Dos Insetos","Gilliard"
"Miss me blind","Culture Club"
"Veneno (Veleno)","Marina Lima"
"Férias De Verão","Sandra Sá"
"Enredo do Meu Samba","Sandra de Sá"
"Where is my Man","Eartha Kitt"
"Um Desejo Só Não Basta","Simone"
"SKA","Paralamas Do Sucesso"
