title,artist
"We Are The World","USA For Africa"
"Dona","Roupa Nova"
"Um dia de domingo","Gal Costa e Tim Maia"
"Careless Whisper","George Michael"
"Louras Geladas","RPM"
"Vitoriosa","Ivan Lins"
"Like A Virgin","Madonna"
"Exagerado","Cazuza"
"Leva","Tim Maia"
"Sintonia","Tunai"
"Será","Legião Urbana"
"I Want To Know What Love Is","Foreigner"
"Nos Vamos Invadir Sua Praia","Ultraje a Rigor"
"Escrito nas Estrelas","Tetê Espíndola"
"Chuva de Prata","Gal Costa e Roupa Nova"
"Verde","Leila Pinheiro"
"Sem Pecado e Sem Juízo","Baby Consuelo"
"Take On Me","ha"
"Ainda é Cedo","Legião Urbana"
"Love is love","Culture Club"
"A Cruz e a Espada","RPM"
"Televisão","Titãs"
"Everybody wants to rule the World","Tears For Fears"
"De Volta pro Aconchego","Elba Ramalho"
"Cherish","Kool & The Gang"
"Olhar 43","RPM"
"Crazy For You","Madonna"
"Me liga","Os Paralamas Do Sucesso"
"Amante Profissional","Herva Doce"
"Tudo pode mudar","Metrô"
"Money For Nothing","Dire Straits"
"Whisky a Go Go","Roupa Nova"
"O Pobre","Leo Jaime"
"Prince & The Revolution","Purple Rain"
"Shy Moon","Caetano Veloso & Ritchie"
"Cheia de charme","Guilherme Arantes"
"Tédio","Biquini Cavadão"
"Material Girl","Madonna"
"Lately","Stevie Wonder"
"Vaca profana","Gal Costa"
"Heaven","Bryan Adams"
"Everytime You Go Away","Paul Young"
"Chora Coração","Wando"
"I Was Born To Love You","Freddie Mercury"
"Isso Aqui Tá Bom Demais","Dominguinhos e Chico Buarque"
"Still Loving You","Scorpions"
"A Fórmula do Amor","Kid Abelha"
"Wake Me Up Before You Go-Go","Wham!"
"One More Night","Phil Collins"
"Verde e Amarelo","Roberto Carlos"
"Geração Coca-Cola","Legião Urbana"
"Make No Mistake, He’s Mine","Barbra Streisand & Kim Carnes"
"I Feel for You","Chaka Khan"
"Forever by your side","Manhattans"
"Coração Aprendiz","Fafá de Belém"
"I Can Wait Forever","Air Supply"
"I miss you","Klymaxx"
"Nada por mim","Marina Lima"
"I should have known better","Jim Diamond"
"Don’t Close Your Eyes Tonight","John Denver"
"Serão extra","Dr. Silvana & Cia"
"More Than I Can Bear","Matt Bianco"
"Primeiros Erros","Kiko Zambianchi"
"Shout","Tears for Fears"
"Smooth Operator","Sade"
"Private Dancer","Tina Turner"
"It Hurts to be Love","Gino Vannelli"
"Saving All My Love For You","Whitney Houston"
"What About Me?","Kenny Rogers, Kim Carnes & James Ingram"
"Mira Ira","Lula Barbosa, Mira Miráh, Tarancon e Placa Luminosa"
"Ti Ti Ti","Banda Metrô"
"Clouds Across The Moon","Rah Band"
"Coisas do Coração","Ritchie"
"The Heat Is On","Glenn Frey"
"Lobo","Absyntho"
"Egotrip","Blitz"
"Lover Why","Century"
"Too Late for Goodbyes","Julian Lennon"
"Mistérios da Meia-Noite","Zé Ramalho"
"Never","Heart"
"Invisible","Alison Moyet"
"Steady","Jules Shear"
"Verdades e Mentiras","Sá & Guarabyra"
"A Outra","Simone"
"Missing You","Diana Ross"
"Choro","Fábio Jr."
"Doce Magia","Fafá de Belém"
"Edge Of A Dream","Joe Cocker"
"Insensível","Titãs"
"Eu Me Amo","Ultraje a Rigor"
"Remember I Love You","Jim Diamond"
"Give a little love for love","The Stylistics"
"Forever Young","Alphaville"
"Só para o vento","Ritchie"
"Jogo Do Amor","The Fevers"
"Corações Psicodélicos","Lobão e os Ronaldos"
"Tarzan Boy","Baltimora"
"Mal Nenhum","Joanna"
"Malandro sou Eu","Beth Carvalho"
"Não Diga Nada","Prêntice"
