title,artist
"Menina veneno","Ritchie"
"Billie Jean","Michael Jackson"
"Coração de estudante","Milton Nascimento"
"Como uma onda","Lulu Santos"
"Brincar de Viver","Maria Bethânia"
"Guerreiro Menino (Um Homem Também Chora)","Fagner"
"Every Breath You Take","The Police"
"Beat It","Michael Jackson"
"Anjo","Roupa Nova"
"Nosso louco amor","Gang 90 & Absurdettes"
"I’m Never Gonna Say Goodbye","Billy Preston & Syreeta"
"Me dê motivo","Tim Maia"
"Pedacinhos (Bye Bye So Long)","Guilherme Arantes"
"Uptown Girl","Billy Joel"
"Você é linda","Caetano Veloso"
"Anunciação","Alceu Valença"
"Fio de cabelo","Chitãozinho & Xororó"
"Adivinha o que","Lulu Santos"
"Menestrel das Alagoas","Fafá de Belém"
"Do You Really Want To Hurt Me","Culture Club"
"O Carimbador Maluco (Plunct, Plact, Zum)","Raul Seixas"
"A Dois Passos do Paraíso","Blitz"
"Flashdance What A Feeling","Irene Cara"
"Don’t look back","The Korgis"
"True","Spandau Ballet"
"Pintura íntima","Kid Abelha"
"Ai Que Saudade D’Ocê","Elba Ramalho"
"Vale tudo","Tim Maia & Sandra Sá"
"Eu Hoje Vou Me Dar Bem","Piu Piu de Marapendi"
"Banho de Cheiro","Elba Ramalho"
"Casanova","Ritchie"
"Pro Dia Nascer Feliz","Ney Matogrosso"
"It’s Raining Again","Supertramp"
"Mesmo que seja eu","Marina Lima"
"Nathalie","Julio Iglesias"
"Weekend","Blitz"
"O côncavo e o convexo","Roberto Carlos"
"Say, Say, Say","Paul McCartney & Michael Jackson"
"Pequenino cão","Simone"
"Got To Be There","Chaka Khan"
"Sexual Healing","Marvin Gaye"
"Electric Avenue","Eddy Grant"
"Never Gonna Let You Go","Sergio Mendes"
"Baby Come To Me","Patti Austin & James Ingram"
"Quando te vi","Beto Guedes"
"Noite Do Prazer","Brylho"
"Total Eclipse of the Heart","Bonnie Tyler"
"All Time High","Rita Coolidge"
"Quem Me Dera","Gilliard"
"Save A Prayer","Duran Duran"
"Barrados No Baile","Eduardo Dusek"
"So Many Man So Little Time","Miquel Brown"
"I Like Chopin","Gazebo"
"Maneater","Daryl Hall & John Oates"
"Beatriz","Milton Nascimento"
"Misty blue","Dorothy Moore"
"Puttin’ on the Ritz","Taco"
"Bloco do prazer","Gal Costa"
"Sensual","Roupa Nova ft. Toni Garrido"
"Tonight I celebrate my love","Peabo Bryson & Roberta Flack"
"Mais uma de amor","Blitz"
"Stop In The Name Of Love","The Hollies"
"Hard To Say I’m Sorry","Chicago"
"No me vuelvo a enamorar","Julio Iglesias"
"Romace da lua","Amelinha"
"Straight From The Heart","Bryan Adams"
"We’ve Got Tonight","Kenny Rogers & Sheena Easton"
"Baby Jane","Rod Stewart"
"Cabelos Negros…","Eduardo Dusek"
"Pelo Interfone","Ritchie"
"Masculino e Feminino","Pepeu Gomes"
"Bob Seger & The Silver Bullet Band","Shame On The Moon"
"Candy Girl","New Edition"
"Asa Morena","Zizi Possi"
"Everybody","Madonna"
"Guerra dos Sexos","The Fevers"
"Hold me ‘til the morning comes","Paul Anka"
"I don’t wanna dance","Eddy Grant"
"Ich Shaun’ Deach An (Peep Peep)","Spider Murphy Gang"
"Luz do Sol","Gal Costa"
"Saddle Up","David Christie"
"In Your Eyes","George Benson"
"Panela Velha","Sergio Reis"
"nem pensar","Kleiton & Kledir"
"My Love","Lionel Richie"
"Paixão","Fafá de Belém"
"Rio Babilônia","Jorge Ben"
"Tanto amar","Ney Matogrosso"
"Try My Side Of Love","Lites"
"Voyeur","Kim Carnes"
"Voô de coração","Ritchie"
"It Started With A Kiss","Hot Chocolate"
"Descobridor dos sete mares","Tim Maia"
"Eu Amo Amar Você (m’innamoro di te)","Giliard Harmony Cats"
"Alta Qualidade","Coisa cristalina"
"Always Something There To Remind Me","Naked Eyes"
"Praia de Ramos","Dicró"
"Sanduiche De Coração","Radio Taxi"
"Making love Out of nothing at all","Air Supply"
"Amor de Índio","Diana Pequeno"
