title,artist,lyrics
"Apelido Carinhoso","Gusttavo Lima","Amor, não é segredo entre a gente
Que o meu término é recente
E você tá arrumando o que ela revirou

E esse sentimento pendente
Que insiste em bagunçar a minha mente
Vai passar um dia, mas ainda não passou

Eu sei que você poderia ter escolhido alguém menos complicado
Que não tivesse, no presente, uma pessoa do passado
Aceitar essa situação é uma forma de amor
Mas eu preciso que você me faça só mais um favor

Ainda não me chame de meu nego
Ainda não me chame de bebê
Porque era assim que ela me chamava
E um apelido carinhoso é o mais difícil de esquecer

Ainda não me chame de meu nego
Ainda não me chame de bebê
Porque era assim que ela me chamava
E um apelido carinhoso é o mais difícil de esquecer

Eu sei que você poderia ter escolhido alguém menos complicado
Que não tivesse, no presente, uma pessoa do passado
Aceitar essa situação é uma prova de amor
Mas eu preciso que você me faça só mais um favor

Ainda não me chame de meu nego
Ainda não me chame de bebê
Porque era assim que ela me chamava
E um apelido carinhoso é o mais difícil de esquecer

Ainda não me chame de meu nego
Ainda não me chame de bebê
Porque era assim que ela me chamava
E um apelido carinhoso é o mais difícil de esquecer

Ainda não me chame de meu nego
Ainda não me chame de bebê
Porque era assim que ela me chamava
E um apelido carinhoso é o mais difícil de esquecer

Ainda não me chame de meu nego
Ainda não me chame de bebê
Porque era assim que ela me chamava
E um apelido carinhoso é o mais difícil de esquecer"
"Largado ás traças","Zé Neto e Cristiano","Meu orgulho caiu quando subiu o álcool
Aí deu ruim pra mim
E, pra piorar, tá tocando um modão
De arrastar o chifre no asfalto

Tô tentando te esquecer
Mas meu coração não entende
De novo, eu fechando esse bar
Afogando a saudade num querosene

Vou beijando esse copo, abraçando as garrafas
Solidão é companheira nesse risca faca
Enquanto cê não volta, eu tô largado às traças
Maldito sentimento que nunca se acaba

Vou beijando esse copo, abraçando as garrafas
Solidão é companheira nesse risca faca
Enquanto cê não volta, eu tô largado às traças
Maldito sentimento que nunca se acaba

Ô ô ô, ô ô ô
A falta de você, bebida não ameniza
Ô ô ô, ô ô ô
Tô tentando apagar fogo com gasolina

Meu orgulho caiu quando subiu o álcool
Aí deu ruim pra mim
E, pra piorar, tá tocando um modão
De arrastar o chifre no asfalto

Tô tentando te esquecer
Mas meu coração não entende
De novo, eu fechando esse bar
Afogando a saudade num querosene

Vou beijando esse copo, abraçando as garrafas
Solidão é companheira nesse risca faca
Enquanto cê não volta, eu tô largado às traças
Maldito sentimento que nunca se acaba

Vou beijando esse copo, abraçando as garrafas
Solidão é companheira nesse risca faca
Enquanto cê não volta, eu tô largado às traças
Maldito sentimento que nunca se acaba

Ô ô ô, ô ô ô
A falta de você, bebida não ameniza
Ô ô ô, ô ô ô
Tô tentando apagar fogo com gasolina

Ô ô ô, ô ô ô
A falta de você, bebida não ameniza
Ô ô ô, ô ô ô
Tô tentando apagar fogo com gasolina"
"Ausência","Marília Mendonça","Sei bem
O que te faz bem, eu sei
Mas no fundo eu já tentei
Não faltou coragem

É, uma hora eu ia me tocar
Que você não vai mais voltar
Não receber mensagem
Também é mensagem

Sei
Que o pra sempre virou pó
E na cabeça deu um nó
Mas eu tô bem consciente
Mas amei
Amei sozinha, mas por dois
Me conformei que agora, e não depois
Vou ter que seguir em frente

Preocupa não
Que eu não vou bater no seu portão
Preocupa não
Que não vai ver mais o meu nome em nenhuma ligação
Preocupa não
Que eu vou tomar vergonha na cara
Preocupa não
Pra um bom entendedor, meia ausência basta

Sei
Que o pra sempre virou pó
E na cabeça deu um nó
Mas eu tô bem consciente
Mas amei
Amei sozinho, mas por dois
Me conformei que agora, e não depois
Vou ter que seguir em frente

Preocupa não
Que eu não vou bater no seu portão
Preocupa não
Que não vai ver mais o meu nome em nenhuma ligação
Preocupa não
Que eu vou tomar vergonha na cara
Preocupa não
Pra um bom entendedor, meia ausência basta

Preocupa não
Que eu não vou bater no seu portão
Preocupa não
Que não vai ver mais o meu nome em nenhuma ligação
Preocupa não
Que eu vou tomar vergonha na cara
Preocupa não
Pra um bom entendedor, meia ausência basta"
"Mais amor e menos drama","Henrique e Juliano","Faz tão pouco tempo que provei teu beijo
Gostei, mas eu não nego que eu tô com medo
Vai que acontece como da última vez
Me entrego, te amo, cê foge, sobrei

Quando eu tento ir devagar, daí cê vem pra cima
Basta uma mensagem e olha você virando a esquina
Na minha intimidade, você foi entrando
Meus pais já te aprovaram e a gente tá só ficando

Mas antes de te entregar meu coração
Eu preciso saber da sua intenção
Se é só fogo de palha, qualquer boca apaga
Se for por aí, a gente para

Antes de te entregar meu coração
Eu preciso saber da sua intenção
Se é só fogo de palha, qualquer boca apaga
Se for por aí, a gente para

Para na minha cama até dizer que me ama
Mais amor e menos drama
Para na minha cama até dizer que me ama
Mais amor e menos drama

E quando eu tento ir devagar, daí cê vem pra cima
Basta uma mensagem e olha você virando a esquina
Na minha intimidade, você foi entrando
Meus pais já te aprovaram e a gente tá só ficando

Mas antes de te entregar meu coração
Eu preciso saber da sua intenção
Se é só fogo de palha, qualquer boca apaga
Se for por aí, a gente para

Antes de te entregar meu coração
Eu preciso saber da sua intenção
Se é só fogo de palha, qualquer boca apaga
Se for por aí, a gente para

Para na minha cama até dizer que me ama
Mais amor e menos drama
Para na minha cama até dizer que me ama
Mais amor e menos drama

Mas antes de te entregar meu coração
Eu preciso saber da sua intenção
Se é só fogo de palha, qualquer boca apaga
Se for por aí, a gente para

Para na minha cama até dizer que me ama
Mais amor e menos drama
Para na minha cama até dizer que me ama
Mais amor e menos drama
Mais amor e menos drama"
"Olha Ela Aí","Eduardo Costa","Vi seu coração de pedra virar de algodão
E o seu orgulho te jogar no chão
No momento em que você me disse adeus

Você se jogou num mar cheio de fantasias
Você foi mudando da noite pro dia
E, quando acordou, viu que não era eu

Olha o que deu
Olha o que deu

Olha ela aí
Deu volta no mundo e parou na minha porta
E eu aqui
Já tô te escutando há mais de uma hora
Olha ela aí
Me olhando, perguntou se ainda gosto
Querendo rasgar o papel do divórcio
Chorando, implorando o meu amor de volta

Você se jogou num mar cheio de fantasias
Você foi mudando da noite pro dia
E, quando acordou, viu que não era eu

Olha o que deu
Olha o que deu

Olha ela aí
Deu volta no mundo e parou na minha porta
E eu aqui
Já tô te escutando há mais de uma hora
Olha ela aí
Me olhando, perguntou se ainda gosto
Querendo rasgar o papel do divórcio
Chorando, implorando o meu amor de volta

E olha ela aí
Deu volta no mundo e parou na minha porta
E eu aqui
Já tô te escutando há mais de uma hora
Olha ela aí
Me olhando, perguntou se ainda gosto
Querendo rasgar o papel do divórcio
Chorando, implorando o meu amor de volta

O meu amor de volta"
"Propaganda","Jorge e Mateus","Ela queima o arroz
Quebra copo na pia
Tropeça no sofá, machuca o dedinho
E a culpa ainda é minha

Ela ronca demais
Mancha as minhas camisas
Dá até medo de olhar
Quando ela tá naqueles dias

É isso que eu falo pros outros
Mas você sabe que o esquema é outro
Só faço isso pra malandro não querer crescer o olho

Tá doido que eu vou
Fazer propaganda de você
Isso não é medo de te perder, amor
É pavor, é pavor

Tá doido que eu vou
Fazer propaganda de você
Isso não é medo de te perder, amor
É pavor
É minha, cuido mesmo, pronto e acabou

Ela queima o arroz
Quebra copo na pia
Tropeça no sofá, machuca o dedinho
E a culpa ainda é minha

Ela ronca demais
Mancha as minhas camisas
Dá até medo de olhar
Quando ela tá naqueles dias

É isso que eu falo pros outros
Mas você sabe que o esquema é outro
Só falo isso pra malandro não querer crescer o olho

Tá doido que eu vou
Fazer propaganda de você
Isso não é medo de te perder, amor
É pavor, é pavor

Tá doido que eu vou
Fazer propaganda de você
Isso não é medo de te perder, amor
É pavor
É minha, cuido mesmo, pronto e acabou"
"Beijo de varanda","Bruno e Marrone","Todo santo dia é mais um dia pra te esquecer
Acabei de ouvir a nossa música no rádio e na TV
O que será que isso quer dizer?

Tava ali fazendo palavra cruzada
Pra ver se o tempo passa e o seu nome apareceu
Agora a pouco, um vídeo no YouTube
E como de costume, sabe o que aconteceu
Aquela cena veio e acabou comigo
No terceiro replay eu já tinha me convencido
Que falta você

Nem vou culpar o vento por essa bagunça
Se fui eu que deixei a janela aberta
Então é minha culpa, ai ai
E já que entrou na minha vida, leve, é toda a sua
Quero aquele beijo de varanda e a Lua de testemunha
Eu tô até com ciúme
O vento deve estar usando o seu perfume

Tava ali fazendo palavra cruzada
Pra ver se o tempo passa e o seu nome apareceu
Agora a pouco, um vídeo no YouTube
E como de costume, sabe o que aconteceu
Aquela cena veio e acabou comigo
No terceiro replay eu já tinha me convencido
Que falta você

Nem vou culpar o vento por essa bagunça
Se fui eu que deixei a janela aberta
Então é minha culpa, ai ai
E já que entrou na minha vida, leve, é toda a sua
Quero aquele beijo de varanda e a Lua de testemunha
Eu tô até com ciúme
O vento deve estar usando o seu perfume

Nem vou culpar o vento por essa bagunça
Se fui eu que deixei a janela aberta
Então é minha culpa, ai ai
E já que entrou na minha vida, leve, é toda a sua
Quero aquele beijo de varanda e a Lua de testemunha
Eu tô até com ciúme
O vento deve estar usando o seu perfume"
"Quem Ensinou Fui Eu","Maiara e Maraisa","Tá tirando onda aí
Com o meu ex-namoradinho
Passando na boca que era minha
Coitada já caiu na conversinha

É
Já caiu no lero-lero, né?
Hahahaha

Mas eu não dou um mês
Parece até replay
A gente larga, ele arruma uma trouxa
Pra passar ciúme em mim outra vez

Não dou um mês
Parece até replay
Tá achando que é 0 km
Mas eu já rodei

Se ele te beija gostoso
Dá um amasso cabuloso
Quem ensinou fui eu
Quem ensinou fui eu

Se ele faz a noite inteira
Pede pra falar besteira
Quem ensinou fui eu
Quem ensinou fui eu

Se ele te beija gostoso
Dá um amasso cabuloso
Quem ensinou fui eu
Quem ensinou fui eu

Se ele faz a noite inteira
Pede pra falar besteira
Quem ensinou fui eu
Quem ensinou fui eu

É
Aprendeu com a mãe!
Hahahaha

Mas eu não dou um mês
Parece até replay
A gente larga, ele arruma uma trouxa
Pra passar ciúmes em mim outra vez

Não dou um mês
Parece até replay
Tá achando que é 0 km
Mas eu já rodei

Se ele te beija gostoso
Dá um amasso cabuloso
Quem ensinou fui eu
Quem ensinou fui eu

Se ele faz a noite inteira
Pede pra falar besteira
Quem ensinou fui eu
Quem ensinou fui eu

Se ele te beija gostoso
Dá um amasso cabuloso
Quem ensinou fui eu
Quem ensinou fui eu

Se ele faz a noite inteira
Pede pra falar besteira
Quem ensinou fui eu
Quem ensinou fui eu

Aprendeu tudo comigo
É Maraisa
Cabuloso!
Hahahaha
Eu que ensinei
Hahahaha

Tá tirando onda aí
Com o meu ex-namoradinho"
"Sua Melhor Versão","Bruno e Marrone","Hoje me disseram que cê beija bem
Eu sei, ontem a noite eu que te beijei
Falaram bem do cheiro do seu corpo
Conheço, esse perfume foi eu quem te dei

E nem precisa me explicar nada
Melhor não estragar a madrugada
Você já sabe onde tá pisando
O nosso tempo tá quase acabando

Em meia hora o Sol vai nascer
Eu tô querendo o melhor de você

Da porta pra fora, pouco importa
Se a gente é amante ou amigo
O que vale é que aqui na cama
Sua melhor versão tá deitada comigo"
"Zé da Recaída","Gusttavo Lima","Tô há mais de duas horas
Ensaiando uma recaída
Número já tá na tela
É só apertar o verde que liga

Me vê uma dose pra mudar minha vida
Da melhor que você tem
Pra ver se com inspiração em Old Parr, ela vem
O empurrãozinho que falta, ai ai ai
Pra completar essa chamada, ah

Atende aí
O Zé da Recaída tá ligando aí
Eu não tô nem aí
Se salvou meu nome assim
O importante é que ao vivo
Cê me chama de benzim

Atende aí
O Zé da Recaída tá ligando aí
Eu não tô nem aí
Se salvou meu nome assim
O importante é que ao vivo
Cê me chama de benzim

Me vê uma dose pra mudar minha vida
Da melhor que você tem
Pra ver se com inspiração em Old Parr, ela vem
O empurrãozinho que falta, ai ai ai
Pra completar essa chamada, ah

Atende aí
O Zé da Recaída tá ligando aí
Eu não tô nem aí
Se salvou meu nome assim
O importante é que ao vivo
Cê me chama de benzim

Atende aí
O Zé da Recaída tá ligando aí
Eu não tô nem aí
Se salvou meu nome assim
O importante é que ao vivo
Cê me chama de benzim

Atende aí
O Zé da Recaída tá ligando aí
Eu não tô nem aí
Se salvou meu nome assim
O importante é que ao vivo
Cê me chama de benzim

Atende aí"
