title,artist
"O Trovador De Toledo","Gilda Lopes"
"Prelúdio Para Ninar Gente Grande","Luiz Vieira"
"Let’s Twist Again","Chubby Checker"
"Fica Comigo Esta Noite","Nelson Gonçalves"
"Estão Voltando As Flores","Helena De Lima"
"Leva Eu Sodade","Nilo Amaro e Os Cantores de Ébano"
"Suave E A Noite","Moacyr franco"
"Multiplication","Bobby Darin"
"Tu Sabes","Martha Mendonça"
"A mesma rosa amarela","Conjunto Farroupilha"
"Amor","Rinaldo Calheiros"
"Meu Querido Lindo","Moacyr Franco"
"Quem É","Silvinho"
"Palavras De Amor","Alcides Gerardi"
"Peppermint Twist","Joey Dee & The Starliters"
"Poema","Renato Guimarães"
"Rancho Das Flores","Banda Do Corpo De Bombeiros Da Guanabara"
"Midnight In Moscow","Kenny Ball And His Jazzmen"
"The Wanderer","Dion"
"Escândalo","Cauby Peixoto"
"Rock A Hula Baby","Elvis Presley"
"Quem Eu Quero Não Me Quer","Raul Sampaio"
"Stella By Starlight","Ray Charles"
"Seria Tao Diferente","Núbia Lafayette"
"Al Di La","Emilio Pericoli"
"Ele É Engraxate","José Leão"
"Garota Solitaria","Angela Maria"
"Lembrança","Carlos José"
"Las secretarias","Harold Nicholas"
"Amargura","Ellen De Lima"
"Ya Ya","Joey Dee & The Starliters"
"Brasil Bicampeão","Os Pequenos Cantores"
"Meu Nome É Ninguém","Miltinho"
"Moon River","Henry Mancini"
"The Twist","Chubby Checker"
"Domingo De Sol","Sergio Murilo"
"Stranger On The Shore","Mr. Acker Bilk"
"Esta Noite Ou Nunca","Carlos Augusto"
"Duas taças","Mários Reis"
"Oba","Oswaldo Nunes E Bafo Da Onça"
"Breaking Up Is Hard To Do","Neil Sedaka"
"O Que É Que Eu Faço","Leila Silva"
"Amor Em Serenata","Carlos Nobre"
"Las secretarias","Ruy Rey"
"Eu Sonhei Que Tu Estavas Tão Linda","Carlos Galhardo"
"De Quem Estás Enamorado","Edith Veiga"
"Canção Da Tristeza","Vanja Orico"
"Pat Boone","Speedy Gonzalez"
"Come September","Billy Vaughn"
"Eu Que Amo Somente A Ti","José Ricardo"
"Malena","Roberto Carlos"
"Eu Sei (I Know)","Rosemary"
"Palavras de amor","Roberto Silva"
"Mona Lisa","Cyro Aguiar"
"Garota Solitária","Celly Campello"
"Porteiro, Suba E Diga","João Dias"
"E A Vida Continua","Agnaldo Rayol"
"Dois Amores","Nelson Gonçalves"
"Gente Maldosa","Luciene Franco"
"Meu Ex-amor","Angela Maria"
"Dança Dos Brotos","Rosemary"
"Amor Em Cha Cha Cha","Fernando Costa"
"Cabelos Brancos","Silvio Caldas"
"O Pranto Da Chuva","Calos Nobre"
"Baby Elephant Walk","Lawrenece Welk"
"Parceria Com A Saudade","Carlos Nobre"
"Nega do congo","Walter Levita"
"Tu És O Maior Amor Da Minha Vida","Silvinho"
"A Lua É Camarada","Angela Maria"
"Beijo Roubado","Angela Maria"
"Can’t Help Falling In Love","Elvis Presley"
"Juntinhos É Melhor","Emilinha Borba"
"Crying In The Rain","The Everly Brothers"
"Vou Ter Um Troço","Jackson Do Pandeiro"
"Sherry","Four Seasons"
"Dream Baby (how Long Must I Dream)","Roy Orbison"
"Contradizendo","Carlos Nobre"
"O Romântico","Anísio Silva"
"Norman","Sue Thompson"
"Filho Bom","Luiz De Andrade"
"Quando Setembro Vier","Billy Vaughn"
"Lição De Twist","Conjunto Alvorada"
"Influência Do Jazz","Calors Lyra"
"Pepe","Duane Eddy"
"Happy Birthday Sweet Sixteen","Neil Sedaka"
"Castigo, Meu Amor","Emilinha Borba"
"Hey Baby","Bruce Channel"
"Onde Está Coração","Rinaldo Calheiros & Silvana"
"Não Conte Pra Ninguém","Ana Shirley"
"Sonhar Contigo","Adilson Ramos"
"I Know (you Don’t Love Me No More)","Barbara George"
"Garota De Saint-tropez","jorge Veiga"
"Segredo","Rosana Toledo"
"Johnny Angel","Shelley Fabares"
"O Arlequim De Toledo (l’arlequin De Tolede)","Angela Maria"
"Estou Louco","Baby Santiago"
"Contando os dias","Marco Antonio"
"O Barquinho","Walter Wanderley"
"O Rei Do Gatilho","Moreira Da Silva"
"Love Letters","Ketty Lester"
