title,artist
"Bette Davis Eyes","Kim Carnes"
"Baila Comigo","Rita Lee"
"Nos bailes da vida","Milton Nasciemnto"
"Emoções","Roberto Carlos"
"Endless love","Lionel Ritchie e Diana Ross"
"(Just Like) Starting Over","John Lennon"
"Clarear","Roupa Nova"
"Palco","Gilberto Gil"
"Lança Perfume","Rita lee"
"Arthur’s Theme","Christopher Cross"
"Deixa Chover","Guilherme Arantes"
"Nova manhã","14 Bis"
"Lua e Estrela","Caetano Veloso"
"Kiss on my list","Daryl Hall & John Oates"
"Se eu quiser falar com Deus","Gilberto Gil"
"Woman","John Lennon"
"Paixão","Kleiton e Kledir"
"The One That You Love","Air Supply"
"Caçador de Mim","Milton Nascimento"
"Time","The Alan Parsons Project"
"Keep on Loving You","REO Speedwagon"
"Guilty","Barbra Streisand & Barry Gibb"
"Eternas Ondas","Fagner"
"Living Inside Myself","Gino Vannelli"
"Bem te vi","Renato Terra"
"Cama e mesa","Roberto Carlos"
"Eu Tambem Quero Beijar","Pepeu Gomes"
"Neném","Boca Livre"
"Conga, Conga, Conga","Gretchen"
"Abre coração","Marcelo"
"Celebration","Kool e The Gang"
"Shine On","L.T.D."
"Decisão","Joanna"
"Just the two of us","Grover Washington Jr"
"For Your Eyes Only","Sheena Easton"
"Luiza","Antonio Carlos Jobim"
"Eu Me Rendo","Fábio Jr."
"Outras Palavras","Caetano Veloso"
"O Sal da Terra","Beto Guedes"
"Quero quero","Cláudio Nucci"
"Canção de Verão","Roupa Nova"
"9 To 5 (Morning Train)","Sheena Easton"
"All those Years Ago","George Harrison’s"
"Crying","Don McLean"
"Daquilo Que Eu Sei","Ivan Lins"
"Hearts","Marty Balin"
"Reality","Richard Sanderson"
"Rapture","Blondie"
"A Chuva Cai","Beth Carvalho"
"Homem Com H","Ney Matogrosso"
"Lady","The Commodores"
"Without Your Love","Roger Daltrey"
"Being with you","Smokey Robinson"
"Take Me Now","David Gates"
"Seduzir","Djavan"
"Para Ser o Sol","A Cor do Som"
"Me deixas louca","Elis Regina"
"Tell It Like It Is","Heart"
"Dia Branco","Geraldo Azevedo"
"Tesouros da juventude","Lulu Santos"
"The Best Of Times","STYX"
"Purpurina","Lucinha Lins"
"Believe It Or Not","Joey Scarbury"
"You Weren’t In Love","Mick Fleetwood"
"9 To 5","Dolly Parton"
"What’s In A Kiss","Gilbert O’Sullivan"
"Portela na avenida","Clara Nunes"
"Bem Simples","Roupa Nova ft. Ed Motta"
"Corações a Mil","Marina Correia Lima"
"A Woman Needs Love (Just Like You Do)","Ray Parker Jr., Raydio"
"Agora só falta você","Zizi Possi"
"Chora Coração","Wando"
"A Cor do Som","Zanzibar"
"Vira Virou","Kleiton & Kledir"
"Good Thing Going","Sugar Minott"
"Onde a dor não tem razão","Paulinho da Viola"
"Pega na Mentira","Erasmo Carlos"
"I don’t need you","Kenny Rogers"
"Love On The Rocks","Neil Diamond"
"A Terceira Lâmina","Zé Ramalho"
"Estrela guia","Joanna"
"Gata Todo Dia","Marina Lima"
"Old Photographs","Jim Capaldi"
"Shaddap You Face","Joe Dolce"
"Hurt","Carly Simon"
"Sentinela","Milton Nascimento"
"Perdidos Na Selva","Gang 90 & Absurdettes"
"If Leaving Me Is Easy","Phil Collins"
"Physical","Olivia Newton John"
"Planeta água","Guilherme Arantes"
"Stars On 45 (Medley)","Stars On 45"
"Vida","Beth Goulart"
"Viajante","Ney Matogrosso"
"Veveco, Panelas e Canelas","Beto Guedes"
"Comin’in And Out Of Your Life","Barbra Streisand"
"Do you miss me","Morris Albert"
"Eu Velejava em Você","Zizi Possi"
"Eu voltei","Claudia Telles"
"Mordomia","Almir Guineto"
"Meu bem, meu mau","Gal Costa"
