title,artist
"Feelings","Morris Albert"
"Excuse me","Junior"
"Goodbye Yellow Brick Road","Elton John"
"No silêncio da madrugada","Luiz Ayrão"
"You make me feel brand new","The Stylistics"
"O portão","Roberto Carlos"
"Don’t Let The Sun Go Down On Me","Elton John"
"Love’s Theme","Love Unlimited Orchestra"
"Na Rua Na Chuva Na Fazenda","Hyldon"
"Me And You","Dave Maclean"
"The Air That I Breath","The Hollies"
"Gita","Raul Seixas"
"Song for Anna","Herb Ohta"
"Clifford T Ward","Gaye"
"Abre Alas","Ivan Lins"
"Band On The Run","Paul McCartney & Wings"
"So Very Hard To Go","Tower Of Power"
"Rock Your Baby","George McCrae"
"O mundo melhor de Pixinguinha","Jair Rodrigues"
"Manhãs de setembro","Vanusa"
"Jungle Boogie","Kool And The Gang"
"Vô bate pa tu","Baiano e Os Novos Caetanos"
"Eres tu","Mocedades"
"Bennie and the Jets","Elton John"
"Sideshow","Blue Magic"
"Stormy","Dennis Yost & The Classics IV"
"Eu Quero Apenas","Roberto Carlos"
"Canta Canta Minha Gente","Martinho Da Vila"
"Oh Very Young","Cat Stevens"
"Se Não For Amor","Benito Di Paula"
"Tu Nella Mia Vita","Wess & Dori Ghezzi"
"My Mistake","Diana Ross & Marvin Gaye"
"Amor com amor se paga","Carmen Silva"
"Quantas lágrimas","Cristina Buarque"
"Flores Astrais","Secos & Molhados"
"Cadeira de Rodas","Fernando Mendes"
"Sunshine On My Shoulders","John Denver"
"Toró de Lágrimas","Antonio Carlos e Jocafi"
"All In Love Is Fair","Barbra Streisand"
"Arrasta a Sandália","Trio Esperança"
"Until You Come Back To Me","Aretha Franklin"
"Tu sei Così","Fred Bongusto"
"Anastácio (Samba Enrêdo Para Um Sambista Morto)","Cesar Costa Filho"
"Vai doer","Nazareno e Pena Branca"
"A Noite mais Linda do Mundo","Odair José"
"We can make it happen again","The Stylistics"
"Beleza que é você mulher","Benito Di Paula"
"She","Charles Aznavour"
"Hello, Old Friend","James Taylor"
"Noi due per sempre","Wess e Dori Ghezzi"
"Lady It’s Time To Go","Stu Nunnery"
"Let’s Put it All Together","The Stylistics"
"Eu Quero Apenas Carinho","José Augusto"
"The Way We Were","Barbra Streisand"
"My love","Margie Joseph"
"Angie","The Rolling Stones"
"Stop, look, listen to your heart","Diana Ross & Marvin Gaye"
"Sylvia","Stevie Wonder"
"Amendoim torradinho","Doris Monteiro"
"Cadê Você","Odair José"
"Toró de Lágrimas","Djalma Dias"
"Disritimia","Martinho da Vila"
"Machine Gun","Commodores"
"Bandeira do divino","Ivan Lins, Zizi Possi, Simone e Vercilo"
"Soleado","Francisco Cuoco"
"Além de tudo","Benito de Paula"
"Alvorecer","Clara Nunes"
"Dancing Machine","The Jackson 5"
"Amor Que Não Presta Não Serve Pra mim","Angela Maria"
"Devil Or Angel","Brian Hyland"
"Aquarela Brasileira","Elza Soares"
"As andorinhas","Secos e Molhados"
"Dança do carimbó","Eliana Pittman"
"Don’t You Worry ‘Bout a Thing","Stevie Wonder"
"The Ballad of Danny Bailey","Elton John"
"Diacho de dor","Maria Creuza, Antonio Carlos & Jocafi"
"Conto de areia","Clara Nunes"
"Chrystian","No broken heart"
"De amor eu morrerei","Gal Costa"
"Dona de Casa","Antônio Carlos e Jocafi"
"Na hora do almoço","Belchior"
"Charlie Brown","Benito Di Paula"
"E Lá Vou Eu","Joao Nogueira"
"El rey","Secos e Molhados"
"Pledging My Love","Marvin Gaye & Diana Ross"
"Esses Moços (Pobres Moços)","Gilberto Gil"
"All In Love Is Fair","Stevie Wonder"
"In the rain","The Dramatics"
"João de Barro","Sergio Reis"
"Maior é Deus","Beth Carvalho"
"Make It Easy on Yourself","Oscar Toney Jr"
"Maracatu Atómico","Gilberto Gil"
"De Conversa em Conversa","Maria Creuza"
"Veneno","Márcia, Eduardo Gudin & Paulo César Pinheiro"
"Nervos de Aço","Paulinho da Viola"
"A dona do primeiro andar","Os Originais do Samba"
"Tell Me a Lie","Sammi Jo"
"O trem das Sete","Raul Seixas"
"Como É Duro Trabalhar","Toquinho & Vinícius de Moraes"
"O Espigão","Zé Rodrix"
