title,artist,lyrics
"Fui Eu","Zezé Di Camargo & Luciano","É mais um dia sem você
Mais uma noite que eu espero
Se alguém no mundo quis você
Fui eu

Te dei os sonhos que eu sonhei
Te imaginei pra vida inteira
Se alguém fez tudo por você
Fui eu

Diz agora o que é que eu faço pra viver
Se a cada dia é mais difícil te esquecer?
Tudo isso faz doer demais
Eu queria só voltar atrás
Ficar contigo

Diz agora o que é que eu faço pra aceitar
Será que existe outra pessoa em meu lugar?
Mas o tempo vai te convencer
E um dia vai reconhecer
Que sem mim não pode mais viver

Sentimento dói por dentro
E a solidão não quer parar de machucar
Sentimento dói por dentro
Meu coração não quer ninguém no seu lugar"
"Vamos fugir","Skank","Vamos fugir
Deste lugar, baby
Vamos fugir
Tô cansado de esperar
Que você me carregue

Vamos fugir
Pra outro lugar, baby
Vamos fugir
Pra onde quer que você vá
Que você me carregue

Pois diga que irá
Irajá, Irajá
Pra onde eu só veja você, você veja a mim só
Marajó, Marajó
Qualquer outro lugar comum, outro lugar qualquer
Guaporé, Guaporé
Qualquer outro lugar ao Sol, outro lugar ao sul
Céu azul, céu azul
Onde haja só meu corpo nu junto ao seu corpo nu

Vamos fugir
Pra outro lugar, baby
Vamos fugir
Pra onde haja um tobogã
Onde a gente escorregue

Vamos fugir
Deste lugar, baby
Vamos fugir
Tô cansado de esperar
Que você me carregue

Pois diga que irá
Irajá, Irajá
Pra onde eu só veja você, você veja a mim só
Marajó, Marajó
Qualquer outro lugar comum, outro lugar qualquer
Guaporé, Guaporé
Qualquer outro lugar ao Sol, outro lugar ao sul
Céu azul, céu azul
Onde haja só meu corpo nu junto ao seu corpo nu

Vamos fugir
Pra outro lugar, baby
Vamos fugir
Pra onde haja um tobogã
Onde a gente escorregue

Todo dia de manhã
Flores que a gente regue
Uma banda de maçã
Outra banda de reggae
Tô cansado de esperar
Que você me carregue

Todo dia de manhã
Flores que a gente regue

Uma banda de maçã
Outra banda de reggae"
"Você sempre será","Marjorie Estiano","Quando a Lua tentar me encontrar
Diga a ela que eu me perdi
Na neblina que cobre o mar
Mas me deixa te ver partir

Um instante, um olhar
Vi o Sol acordar
Por de trás do seu sorriso
Me fazendo lembrar

Que eu posso tentar te esquecer
Mas você sempre será
A onda que me arrasta
Que me leva pro teu mar

Sinto a calma em volta de mim
O teu vento vem me perturbar
Me envolve me leva daqui
Me afoga de novo no mar

Um instante, um olhar
Vi o Sol acordar
Por detrás do seu sorriso
Me fazendo lembrar

Que eu posso tentar te esquecer
Mas você sempre será
A onda que me arrasta
Que me leva pro teu mar

Me perco nos teus olhos
E mergulho sem pensar
Se voltarei

Posso tentar te esquecer
Mas você sempre será
A onda que me arrasta
Que me leva pro teu mar

Me envolve e me leva
Pra longe daqui

Me perco nos teus olhos
E mergulho sem pensar
Se voltarei
Se voltarei"
"Um Minuto Para o Fim do Mundo","CPM 22","Me sinto só
Mas quem é que nunca se sentiu assim?
Procurando um caminho pra seguir uma direção
Respostas!
Um minuto para o fim do mundo
Toda sua vida em 60 segundos
Uma volta no ponteiro do relógio pra viver

O tempo corre contra mim
Sempre foi assim e sempre vai ser
Vivendo apenas pra vencer a falta que me faz você
De olhos fechados eu tento esconder a dor agora
Por favor entenda eu preciso ir embora porque

Quando estou com você
Sinto meu mundo acabar
Perco o chão sob os meus pés
Me falta o ar pra respirar
E só de pensar em te perder por um segundo
Eu sei que isso é o fim do mundo

Volto o relógio para trás tentando adiar o fim
Tentando esconder o medo de te perder quando me sinto assim
De olhos fechados eu tento enganar meu coração
Fugir pra outro lugar em uma outra direção porque

Quando estou com você
Sinto meu mundo acabar
Perco o chão sob os meus pés
Me falta o ar pra respirar
E só de pensar em te perder por um segundo
Eu sei que isso é o fim do mundo

Quando estou com você
Sinto meu mundo acabar
Perco o chão sob os meus pés
Me falta o ar pra respirar
E só de pensar em te perder por um segundo
Eu sei que isso é o fim do mundo

Eu sei que isso é o fim do mundo

Eu sei que isso é o fim
Eu sei que isso é o fim

Eu sei que isso é o fim do mundo!"
"Cade Meu Amor","Zeca Pagodinho","Cadê meu amor tão bonito?
Do início da paixão!
Cadê minha felicidade?
Saudade não abre mão...

Errei quando me apaixonei
Quando lhe entreguei
Todo o meu coração
Cantei!
Tristeza se acabou
Quando você chegou
Mas foi só ilusão...

Errei!
Errei quando me apaixonei
Quando lhe entreguei
Todo o meu coração
Cantei!
Tristeza se acabou
Quando você chegou
Mas foi só ilusão...

Cadê meu amor tão bonito?
Do início da paixão!
Cadê minha felicidade?
Saudade não abre mão...

Quem fez desse amor agasalho
Oh! Oh! Oh!
Orvalho foi temporal
Oh! Oh! Oh
Do sonho de primavera
Oh! Oh! Oh!
Garoa fez um vendaval...

Amargo essa dor no meu canto
Sabor tão ruim, desencanto
Como dói desilusão
Pena esse amor, eu quis tanto
Em troca recebo esse pranto
Prá banhar minha solidão...

Errei!
Errei quando me apaixonei
Quando lhe entreguei
Todo o meu coração
Cantei!
Tristeza se acabou
Quando você chegou
Mas foi só ilusão...

Cadê meu amor tão bonito?
Oh! Oh! Oh!
Do início da paixão!
Oh! Oh! Oh!
Cadê minha felicidade?
Oh! Oh! Oh!
Saudade não abre mão...

Quem fez desse amor agasalho
Oh! Oh! Oh!
Orvalho foi temporal
Oh! Oh! Oh!
Do sonho de primavera
Oh! Oh! Oh!
Garoa fez um vendaval...

Amargo essa dor no meu canto
Sabor tão ruim, desencanto
Como dói desilusão
Pena esse amor, eu quis tanto
Em troca recebo esse pranto
Prá banhar minha solidão...

Cadê meu amor tão bonito?
Oh! Oh! Oh!
Do início da paixão!
Oh! Oh! Oh!
Cadê minha felicidade?
Oh! Oh! Oh!
Saudade não abre mão...(2x)"
"Festa no Apê","Latino","Hoje é festa lá no meu apê
Pode aparecer
Vai rolar bundalelê
Hoje é festa lá no meu apê
Tem birita
Até amanhecer

Chega aí
Pode entrar
Quem tá aqui tá em casa

Chega aí
Pode entrar
Quem tá aqui tá em casa

Olá, prazer!
A noite (hum) é nossa
Garçom, por favor, venha aqui
E sirva bem a visita

Tá bom
Tá é bom
Aqui ninguém fica só
Entra aí e toma um drinque
Porque a noite é uma criança

Hoje é festa lá no meu apê
Pode aparecer
Vai rolar bundalelê
Hoje é festa lá no meu apê
Tem birita
Até amanhecer

Tesão, sedução, libido no ar
No meu quarto tem gente até fazendo orgia

Tá bom
Tá é bom
Tudo é festa
Pegação
Vou zoar o mulherio
E a chapa vai esquentar

Hoje é festa lá no meu apê
Pode aparecer
Vai rolar bunda lelê
Hoje é festa lá no meu apê
Tem birita
Até amanhecer
Chega aí
Pode entrar
Quem tá aqui tá em casa

Chega aí
Pode entrar
Quem tá aqui tá em casa
Chega aí
Pode entrar
Quem tá aqui tá em casa"
"Um Mais Um","Skank","Éramos nós
Éramos nós
Um mais um
Éramos mais
Que só dois

Éramos um
Feito de dois
Mais que nós dois
Nunca então sós

Eu era eu
Quando era nela
Ela em mim
Como ela era

Éramos um
Feito de dois
Mais que nós
Nunca então sós

Soma sem subtração
Múltiplos sem divisão
Dois que se amavam então
Éramos multidão

E na matemática torta
Da vida aqui sem ela
Dois menos um é zero
Eu não sou nada do que eu era"
"É Amor Demais","Edson e Hudson","O que você tem? Diz pra mim
Posso ver nos teus olhos
Vem diz, pra mim
O que for, tô aqui
Faço tudo pra te ver novamente sorrir

Tô cansado de te ver sofrer
Por alguém que não soube te amar
Vendo tudo isso acontecer
É o momento de me declarar

É amor demais! É coisa de Deus
Verdadeiro e profundo são os sonhos meus
É amor! Sem maldade
Sentimento nasceu da mais pura amizade
Desculpa, não quero te assustar
Mas se quer um amor de verdade
Tô aqui pra te dar

Tô cansado de te ver sofrer
Por alguém que não soube te amar
Vendo tudo isso acontecer
É o momento de me declarar

É amor demais! É coisa de Deus
Verdadeiro e profundo são os sonhos meus
É amor! Sem maldade
Sentimento nasceu da mais pura amizade
Desculpa, não quero te assustar
Mas se quer um amor de verdade
Tô aqui pra te dar

É amor demais! É coisa de Deus
Verdadeiro e profundo são os sonhos meus
É amor! Sem maldade
Sentimento nasceu da mais pura amizade
Desculpa, não quero te assustar
Mas se quer um amor de verdade
Tô aqui pra te dar

Pra te dar"
"Doce Desejo","Babado Novo","Tá no jeito de olhar
Tá no gosto do beijo
Na expressão do sorriso
Tá no meu paraíso
Tá no doce desejo

Tá no cheiro da flor
Estampado na cara
Tá na força do amor
Na beleza da cor
Tá pulsando e não pára

Meu amor é só seu
Seu amor é só meu
Nosso amor é assim
Eu só sei te querer
Também sei que você
Só tem olhos pra mim"
"Irreversivel","CPM 22","A vida me sorri, então
Recolho os cacos que deixei no chão
Milhares de recordações
Transformam tudo em canções
E essa daqui é pra você!

Se eu pudesse desfazer
Tudo de errado entre nós
E apagar cada lembrança sua
Que ainda existe em mim
Eu sei que nada que eu diga vai trazer
O longe pra mais perto de mim dessa vez
Porque gostar de alguém vai ser sempre assim?
Irreversível

A vida ri de mim, então
Percebo o quanto é triste te esperar em vão
Mas acho forças pra cantar
Quem sabe você possa me escutar
Eu só queria te dizer

Se eu pudesse desfazer
Tudo de errado entre nós
E apagar cada lembrança sua
Que ainda existe em mim
Eu sei que nada que eu diga vai trazer
O longe pra mais perto de mim dessa vez
Porque gostar de alguém vai ser sempre assim?
Irreversível

A cada passo que eu dou pra frente
Sinto o meu corpo indo pra trás
E a cada hora que vivo sem sentido
Parece me fazer te querer cada vez mais
Eu trago em mim apenas um sorriso
Braços abertos pra te receber
Mas acabo sempre triste e sozinho
Procurando uma maneira de entender
Se é irreversível para mim
Então é reversível pra você
Se tudo tem que ser assim
Então deixa ser!

Mas só queria te dizer

Se eu pudesse desfazer
Tudo de errado entre nós
E apagar cada lembrança sua
Que ainda existe em mim
Eu sei que nada que eu diga vai trazer
O longe pra mais perto de mim dessa vez
Porque gostar de alguém vai ser sempre assim

Irreversível é só o fim!
Irreversível é só o fim, pra mim!"
