title,artist
"Alone Again","Gilbert O’Sullivan"
"Ilu Ayê","Clara Nunes"
"Fio maravilha","Maria Alcina"
"First Time Ever I Saw Your Face","Roberta Flack"
"Rock And Roll Lullaby","B.J.Thomas"
"Como vai você","Roberto Carlos"
"Summer Holiday","Terry Winter"
"Casa No Campo","Elis Regina"
"Without You","Harry Nilsson"
"Ben","Michael Jackson"
"Minha Madrinha, Mangueira Querida","Salgueiro"
"Soley Soley","Middle Of The Road"
"Imagine","John Lennon & The Plastic Ono Band"
"Betcha By Golly Wow","Stylistics"
"Águas de Março","Elis Regina"
"Tell me once again","Light Reflections"
"A Horse With No Name","America"
"Atras da Porta","Elis Regina"
"Long Ago Tomorrow","BJ Thomas"
"Oração a mãe menininha","Maria Bethânia e Gal Costa"
"Das 200 pra lá","Eliana Pittman"
"Let’s Stay Together","Al Green"
"Bloco Na Rua","Sérgio Sampaio"
"Mamy Blue","Ricky Shayne"
"Esperanças perdidas","Os Originais do Samba"
"Morning has broken","Cat Stevens"
"Rocket Man","Elton John"
"Concerto pour un été","Alain Patrick"
"Canário do reino","Tim Maia"
"Eu Não Sou Cachorro não","Waldick Soriano"
"I Can See Clearly Now","Johnny Nash"
"Run to me","Bee Gees"
"Regra Três","Toquinho"
"There’s No More Corn On The Brasos","The Walkers"
"Got To Be There","Michael Jackson"
"Day After Day","Badfinger"
"I’m so happy","Trio Galleta"
"Saturday In The Park","Chicago"
"Precious & Few","Climax"
"A Montanha","Roberto Carlos"
"Oração de um jovem triste","Antonio Marcos"
"Vou tirar você deste lugar","Odair José"
"Dose pra leão","Cesar Costa Filho"
"Pérola Negra","Gal Costa"
"Sacramento","Middle Of The Road"
"Nada sera como antes","Elis Regina"
"Oh Girl","The Chi Lites"
"Don´t want to say goodbye","The Raspberries"
"Bala com Bala","Elis Regina"
"Song Song Blue","Neil Diamond"
"Everything I Own","Bread"
"So Far Away","Carole King"
"Mon Amour, Meu Bem, Ma Femme","Reginaldo Rossi"
"A Taste of Excitement","Carnaby Street Pop Orchestra & Choir"
"Quando as Crianças Sairem de Férias","Roberto Carlos"
"Mercy Mercy Me","Marvin Gaye"
"Frightened Girl","Silent Majority"
"Son of my father","Giorgio"
"I Wanna Be Where You Are","José Feliciano"
"La question","Françoise Hardy"
"Do Lado Direito da Rua Direita","Originais do Samba"
"Im still in love with you","Al Green"
"Esse mar é meu","Eliana Pittman"
"San Vicente","Milton Nascimento"
"Beira Mar","Eliana Pittman"
"Violão não se empresta a ninguém","Benito Di Paula"
"Hurting Each Other","Carpenters"
"Pop concerto Show","Pop Concerto Orchestra"
"Preta Pretinha","Novos Baianos"
"Martim Cererê","Zé Catimba e Brasil Ritmo 67"
"Cais","Milton Nascimento"
"Casa e Comida","Núbia Laffayete"
"Cravo e Canela","Milton Nascimento"
"Baby I’m A Want You","Bread"
"Where is The Love","Roberta Flack e Donny Hathaway"
"Índia","Gal Costa"
"goin back to indiana","Jackson 5"
"Long Cool Woman (In A Black Dress)","The Hollies"
"Remember Me","Diana Ross"
"Taj Mahal","Jorge Ben jor"
"The Candy Man","Sammy Davis Jr"
"Mucuripe","Elis Regina"
"Segure tudo","Martinho da Vila"
"Floy Joy","The Supremes"
"Por Deus eu juro","Claudia Barroso"
"O menino da gaita","Sérgio Reis"
"Ninguém tasca","Djalma Dias"
"Meu Guarda Chuva","Elizabeth Viana"
"Heart Of Gold","Neil Young"
"Oração de Mãe Menininha","Dorival Caymmi"
"Stick Up","Honey Cone"
"Skyline Pigeon","Elton John"
"Jogo do Amor","Milionário e José Rico"
"How Do You Do","Mouth and MacNeal"
"Quando o carnaval chegar","Chico Buarque"
"American Pie","Don McLean"
"Hoje Ainda é Dia de Rock","Sá & Guarabyra"
"Dança do Escorrega","Manhoso"
"The Lion Sleeps Tonight","Robert John"
"Cavaleiro de Aruanda","Ronnie Von"
