title,artist,lyrics
"Se eu não te amasse tanto assim","Ivete Sangalo","Meu coração, sem direção
Voando só por voar
Sem saber onde chegar
Sonhando em te encontrar

E as estrelas
Que hoje eu descobri no seu olhar
As estrelas vão me guiar

Se eu não te amasse tanto assim
Talvez perdesse os sonhos dentro de mim
E vivesse na escuridão
Se eu não te amasse tanto assim
Talvez não visse flores por onde eu vim
Dentro do meu coração

Hoje eu sei, eu te amei
No vento de um temporal
Mas fui mais, muito além
Do tempo do vendaval

Nos desejos
Num beijo
Que eu jamais provei igual
E as estrelas dão um sinal

Se eu não te amasse tanto assim
Talvez perdesse os sonhos dentro de mim
E vivesse na escuridão
Se eu não te amasse tanto assim
Talvez não visse flores por onde eu vim
Dentro do meu coração

Coração"
"Amor I Love You","Marisa Monte","Deixa eu dizer que te amo
Deixa eu pensar em você
Isso me acalma, me acolhe a alma
Isso me ajuda a viver

Hoje contei pras paredes
Coisas do meu coração
Passeei no tempo, caminhei nas horas
Mais do que passo a paixão
É o espelho sem razão
Quer amor, fique aqui

Deixa eu dizer que te amo
Deixa eu gostar de você
Isso me acalma, me acolhe a alma
Isso me ajuda a viver

Hoje contei pras paredes
Coisas do meu coração
Passeei no tempo, caminhei nas horas
Mais do que passo a paixão
É o espelho sem razão
Quer amor, fique aqui

Meu peito agora dispara
Vivo em constante alegria
É o amor que está aqui

Amor, I love you
Amor, I love you
Amor, I love you
Amor, I love you

Amor, I love you
Amor, I love you
Amor, I love you
Amor, I love you

Tinha suspirado
Tinha beijado o papel devotamente!
Era a primeira vez que lhe escreviam
Aquelas sentimentalidades

E o seu orgulho dilatava-se
Ao calor amoroso que saía delas
Como um corpo ressequido
Que se estira num banho tépido

Sentia um acréscimo de estima por si mesma
E parecia-lhe que entrava
Enfim, numa existência
Superiormente interessante

Onde cada hora tinha o seu encanto diferente
Cada passo conduzia a um êxtase
E a alma se cobria
De um luxo radioso de sensações!

Amor, I love you
Amor, I love you
Amor, I love you
Amor, I love you

Amor, I love you
Amor, I love you
Amor, I love you
Amor, I love you

Amor, I love you
Amor, I love you
Amor, I love you
Amor, I love you"
"Anna Júlia","Los Hermanos","Quem te vê passar assim por mim
Não sabe o que é sofrer
Ter que ver você, assim, sempre tão linda
Contemplar o Sol do teu olhar, perder você no ar
Na certeza de um amor
Me achar um nada
Pois sem ter teu carinho
Eu me sinto sozinho
Eu me afogo em solidão

Oh, Anna Júlia
Oh, Anna Júlia

Nunca acreditei na ilusão de ter você pra mim
Me atormenta a previsão do nosso destino
Eu passando o dia a te esperar
Você sem me notar
Quando tudo tiver fim, você vai estar com um cara
Um alguém sem carinho
Será sempre um espinho
Dentro do meu coração

Oh, Anna Júlia
Oh, Anna Júlia

Sei que você já não quer o meu amor
Sei que você já não gosta de mim
Eu sei que eu não sou quem você sempre sonhou
Mas vou reconquistar o seu amor todo pra mim

Oh, Anna Júlia
Oh, Anna Júlia
Oh, Anna Júlia
Oh, Anna Júlia, Júlia, Júlia"
"Xibom bombom","As Meninas","Bom xibom, xibom, bombom
Bom xibom, xibom, bombom
Bom xibom, xibom, bombom
Bom xibom, xibom, bombom

Analisando essa cadeia hereditária
Quero me livrar dessa situação precária
Analisando essa cadeia hereditária
Quero me livrar dessa situação precária
Onde o rico cada vez fica mais rico
E o pobre cada vez fica mais pobre

E o motivo todo mundo já conhece
É que o de cima sobe e o de baixo desce
E o motivo todo mundo já conhece
É que o de cima sobe e o de baixo desce

Bom xibom, xibom, bombom
Bom xibom, xibom, bombom
Bom xibom, xibom, bombom
Bom xibom, xibom, bombom

Mas eu só quero educar meus filhos
Tornar um cidadão com muita dignidade
Eu quero viver bem, quero me alimentar
Com a grana que eu ganho, não dá nem pra melar

E o motivo todo mundo já conhece
É que o de cima sobe e o de baixo desce
E o motivo todo mundo já conhece
É que o de cima sobe e o de baixo desce

Bom xibom, xibom, bombom
Bom xibom, xibom, bombom
Bom xibom, xibom, bombom
Bom xibom, xibom, bombom

Bom, bom, xibom, bombom
Bom, bom, xibom, bombom

Analisando essa cadeia hereditária
Quero me livrar dessa situação precária
Analisando essa cadeia hereditária
Quero me livrar dessa situação precária
Onde o rico cada vez fica mais rico
E o pobre cada vez fica mais pobre

E o motivo todo mundo já conhece
É que o de cima sobe e o de baixo desce
E o motivo todo mundo já conhece
É que o de cima sobe e o de baixo desce

Bom xibom, xibom, bombom
Bom xibom, xibom, bombom
Bom xibom, xibom, bombom
Bom xibom, xibom, bombom

Mas eu só quero educar meus filhos
Tornar um cidadão com muita dignidade
Eu quero viver bem, quero me alimentar
Com a grana que eu ganho, não dá nem pra melar

E o motivo todo mundo já conhece
É que o de cima sobe e o de baixo desce
E o motivo todo mundo já conhece
É que o de cima sobe e o de baixo desce

Bom xibom, xibom, bombom
Bom xibom, xibom, bombom
Bom xibom, xibom, bombom
Bom xibom, xibom, bombom

Bom xibom, xibom, bombom
Bom xibom, xibom, bombom
Bom xibom, xibom, bombom
Bom xibom, xibom, bombom"
"To te Filmando (Sorria)","Os travessos","Toda vez que eu vejo você
Sinto uma coisa diferente
Toda vez que eu penso em você
Te vejo nos meus sonhos tão carente (tão carente)

Por que você não cola do meu lado?
Esquece os grilos todos do passado
Vem comigo e tenta ser feliz
Pare de dizer: Tá tudo errado
Deixa eu logo ser seu namorado
O resto, o destino é quem diz

Sorria que eu estou te filmando
Sorria, o coração tá gravando
O seu nome aqui dentro de mim, ooh
Sorria que o prazer já vem vindo
Sorria, nosso amor tá tão lindo
Não quero ver você tão triste assim

Sorria que eu estou te filmando
Sorria, o coração tá gravando
O seu nome aqui dentro de mim, ooh
Sorria que o prazer já vem vindo
Sorria, nosso amor tá tão lindo
Não quero ver você tão triste assim

Toda vez que eu vejo você
Sinto uma coisa diferente, diferente
Toda vez que eu penso em você
Te vejo nos meus sonhos tão carente, tão carente

Por que você não cola do meu lado?
Esquece os grilos todos do passado
Vem comigo e tenta ser feliz
Pare de dizer: Tá tudo errado
Deixa eu logo ser seu namorado
O resto, o destino é quem diz

Sorria que eu estou te filmando
Sorria, o coração tá gravando
O seu nome aqui dentro de mim, ooh
Sorria que o prazer já vem vindo
Sorria, nosso amor tá tão lindo
Não quero ver você tão triste assim

Sorria que eu estou te filmando
Sorria, o coração tá gravando
O seu nome aqui dentro de mim, ooh
Sorria que o prazer já vem vindo
Sorria, nosso amor tá tão lindo
Não quero ver você tão triste assim, ooh

Sorria que eu estou te filmando (te filmando)
Sorria, o coração tá gravando (o coração tá gravando)
O seu nome aqui dentro de mim (dentro de mim, ooh)"
"Vai dar Samba","Daniel","Gosto, e isso não é nenhum segredo
Quero te namorar
Gosto, gosto de você faz muito tempo
E como é gostoso gostar

Ando junto com você qualquer caminho
Sonho bom, de viver
Quando, você se render aos meus carinhos
Não vai nem chorar nem sofrer

Tem coisas que a gente sente
No fundo do coração
Nós nascemos um pro outro
Diz a minha intuição
É a canoa e o rio, é a corda e a caçamba
Não tem erro, não dá outra, vai dar samba

Tem coisas que a gente sente
No fundo do coração
Nós nascemos um pro outro
Diz a minha intuição
É a canoa e o rio
É a corda e a caçamba
Não tem erro
Não dá outra
Vai dar samba

Tem coisas que a gente sente
No fundo do coração
Nós nascemos um pro outro
Diz a minha intuição
É a canoa e o rio
É a corda e a caçamba
Não tem erro
Não dá outra
Vai dar samba

Gosto, e isso não é nenhum segredo
Quero te namorar
Gosto, gosto de você faz muito tempo
E como é gostoso gostar

Ando junto com você qualquer caminho
Sonho bom de viver
Quando você se render aos meus carinhos
Não vai nem chorar nem sofrer

Tem coisas que a gente sente
No fundo do coração
Nós nascemos um pro outro
Diz a minha intuição
É a canoa e o rio
É a corda e a caçamba
Não tem erro
Não dá outra
Vai dar samba

Tem coisas que a gente sente
No fundo do coração
Nós nascemos um pro outro
Diz a minha intuição
É a canoa e o rio
É a corda e a caçamba
Não tem erro
Não dá outra
Vai dar samba"
"A dor desse amor","KLB","Perdoa se estou te ligando, amor, nesse momento
Mas me fazia falta escutar de novo
Só por um instante sua respiração
Desculpa, sei que estou quebrando o nosso juramento
Sei que existe outro em seu pensamento
Mas meu coração pediu pra te dizer

Que estou morrendo
Morrendo por dentro (estou morrendo)
É tanta saudade morando em meu peito, uh

Vida, devolva minhas fantasias
Meu sonho de viver a vida
Devolva-me o ar
Sem teu carinho, meu mundo fica tão vazio
Os dias quentes são tão frios
E as noites me trazem
A dor desse amor

Queria te dizer que hoje estou de bem com a vida
Que não senti nada com sua partida
Mas com um só dedo não se tapa o Sol

Eu estou morrendo
Morrendo por dentro (estou morrendo)
É tanta saudade morando em meu peito, uh

Vida, devolva minhas fantasias
Meu sonho de viver a vida
Devolva-me o ar
Sem teu carinho, meu mundo fica tão vazio
Os dias quentes são tão frios
E as noites me trazem
A dor desse amor

Vida, devolva minhas fantasias (as fantasias)
Meu sonho de viver a vida (meu sonho de viver a vida)
Devolva-me o ar
Sem teu carinho, meu mundo fica tão vazio (fica tão vazio)
Os dias quentes são tão frios
E as noites me trazem
A dor desse amor

Vida, devolva as minhas fantasias
Meu sonho de viver a vida
Devolva o meu ar

Perdoa se estou te ligando, amor, nesse momento
Mas me fazia falta escutar de novo
Só por um instante sua respiração"
"Papo de Jacaré","P.O Box","Tô viajando na onda
Dessa menina
Que dá aula de inglês
Toma vinho português
E vive rindo
Da minha ignorância
Mas a minha tolerância
Vai fundir a sua cuca

Vou te bater uma real
(Vou dizer que sou o tal)
Bater um papo no café
(É papo de jacaré)
Mas vê se fala por favor
(A minha língua)
Que já tem até uma íngua
Por causa do seu inglês

Eu não sei falar
Também não sei entender
Sou só, sou só suburbano
Sou latino-americano

Sei quem é fulano
Mas não sei quem é cicrano
E o seu inglês
Fica pegando no meu pé

Vou te bater uma real
Vou dizer que sou o tal
Bater um papo no café
É papo de jacaré
Mas vê se fala por favor
A minha língua
Que já tem até uma íngua
Por causa do seu inglês

Diz que vai me ensinar
Então diga como é?

Tô viajando na onda
Dessa menina
Que dá aula de inglês
Toma vinho português
E vive rindo
Da minha ignorância
Mas a minha tolerância
Vai fundir a sua cuca

Vou te bater uma real
Vou dizer que sou o tal
Bater um papo no café
É papo de jacaré
Mas vê se fala por favor
A minha língua
Que já tem até uma íngua
Por causa do seu inglês

Eu não sei falar
Também não sei entender
Sou só, sou só suburbano
Sou latino-americano

Sei quem é fulano
Mas não sei quem é cicrano
E o seu inglês
Fica pegando no meu pé

Vou te bater uma real
Vou dizer que sou o tal
Bater um papo no café
É papo de jacaré
Mas vê se fala por favor
A minha língua
Que já tem até uma íngua
Por causa do seu inglês

Diz que vai me ensinar
Então diga como é?

E o que é essa garota
Tá querendo me dizer?
I love meu chuchu
Merci beaucoup
Meu chuchu, isso é francês
E não inglês

Não, não, não
Eu não quero mais não
Oh, boy, take it easy, relax
Não, sai prá lá, eu desisto, eu desisto
Oh, come on, I'm going to teach you
Como é que é? Titio?
Eu não sou titio não
Oh, no, you are my puppet, come on
Não, não, não, eu tô ficando doido!
What? Are you crazy?
Não!"
"Pensando Em Você","Maurício Manieri","Meu amor, hoje eu acordei
pensando em você...
Não dá mais, pra viver assim
longe de você

Um ano sem voce louco
pra te ver
E eu aqui sozinho, amor
Suas fotos pelo chão
momentos de paixão
que não voltam
nunca mais
Quero tanto dizer
O quanto amo voce ie ie ie ieee

Meu amor, hoje eu acordei
pensando em você...
Não dá mais, pra viver assim
longe de você

Talvez ligue pra voce
tentar te convencer
Pra voltar
de vez pra mim
Mas o dia vai passar
nada vai mudar
Quem vai me fazer dormir
Quero tanto dizer
O quanto amo voce ie ie ie ieee

Meu amor, hoje eu acordei
pensando em você...
Não dá mais, pra viver assim
longe de você"
"Esperando na janela","Cogumelo Plutão","Quando me perdi, você apareceu
Me fazendo rir do que aconteceu
E de medo, olhei tudo ao meu redor
Só assim enxerguei que agora eu estou melhor

Você é a escada na minha subida
Você é o amor da minha vida
É o meu abrir de olhos no amanhecer
Verdade que me leva a viver

Você é a espera na janela
A ave que vem de longe tão bela
A esperança que arde em calor
Você é a tradução do que é o amor

E a dor saiu, foi você quem me curou
Quando o mal partiu
Vi que algo em mim mudou
No momento em que quis
Ficar junto de ti
E agora sou feliz
Pois lhe tenho bem aqui

Você é a escada na minha subida
Você é o amor da minha vida
É o meu abrir de olhos no amanhecer
Verdade que me leva a viver

Você é a espera na janela
A ave que vem de longe tão bela
A esperança que arde em calor
Você é a tradução do que é o amor

Quando me perdi, você apareceu
Me fazendo rir do que aconteceu
E de medo, olhei tudo ao meu redor
Só assim enxerguei que agora eu estou melhor

Você é a escada na minha subida
Você é o amor da minha vida
É o meu abrir de olhos no amanhecer
Verdade que me leva a viver

Você é a espera na janela
A ave que vem de longe tão bela
A esperança que arde em calor
Você é a tradução do que é o amor

Do que é o amor
Do que é o amor
Do que é o amor"
