title,artist
"Amigo","Roberto Carlos"
"Sonhos","Peninha"
"You light up my life","Debby Boone"
"Flor de Lis","Djavan"
"I Just Want to Be Your Everything","Andy Gibb"
"Best Of My Love","Emotions"
"When I Need You","Leo Sayer"
"Menina de Cabelos Longos","Agepê"
"Arrombou a festa","Rita Lee"
"Romaria","Elis Regina"
"Maluco Beleza","Raul Seixas"
"I’m your Boogie Man","KC and the Sunshine Band"
"Tonight’s The Night (Gonna Be Alright)","Rod Stewart"
"California","Eagles Hotel"
"Somos Todos Iguais Nesta Noite","Ivan Lins"
"Marcas do que se foi","Márcio Lott"
"Falando sério","Roberto Carlos"
"Star Wars Theme/Cantina Band","Meco"
"You and Me","Alice Cooper"
"Zodiacs","Roberta Kelly"
"Isn’t She Lovely","Stevie Wonder"
"Nobody Does It Better","Carly Simon"
"Coleção","Cassiano"
"Sorte Tem Quem Acredita Nela","Fernando Mendes"
"Jura secreta","Simone"
"You make me feel like dancing","Leo Sayer"
"My Dear","Manchester"
"Evergreen","Barbra Streisand"
"The Commodores","Easy"
"Sir Duke","Stevie Wonder"
"Livin’ Thing","Electric Light Orchestra"
"Gonna Fly Now","Bill Conti"
"I Never Cry","Alice Cooper"
"Keep It Comin’ Love","KC & The Sunshine Band"
"O dia em que a Terra parou","Raul Seixas"
"Desencontro De Primavera","Hermes Aquino"
"Dancing Queen","ABBA"
"Começaria tudo outra vez","Simone e Daniel Gonzaga"
"Perdido na noite","Agnaldo Timóteo"
"Saco de feijão","Beth Carvalho"
"Baby I Love Your Way","Peter Frampton"
"Pombo correio","Moraes Moreira"
"Tranquei a Vida","Ronnie Von"
"Don’t Cry For Me Argentina","Julie Covington"
"You Don’t Have to Be a Star","Marilyn McCoo & Billy Davis Jr."
"Cavalgada","Roberto Carlos"
"Tigresa","Gal Costa"
"Boogie Nights","Heatwave"
"Morte De Um Poeta","Alcione"
"Car Wash","Rose Royce"
"Dance and shake your tambourine","Universal Robot Band"
"Eu Preciso Te Esquecer","Cláudia Telles"
"Lost Without Your Love","Bread"
"Fim de tarde","Cláudi Telles"
"I Love You","Donna Summer"
"Pra que vou recordar o que chorei","Carlos Dafé"
"I´m Lost","Barry Mann"
"Let’s Be Young Tonight","Jermaine Jackson"
"Don’t Stop","Fleetwood Mac"
"Slow Dancing Swayin To The Music","Johnny Rivers"
"Love So Right","The Bee Gees"
"Ma Baker","Boney M"
"Sonho de um palhaço","Antônio Marcos"
"Maria fumaça","Banda Black Rio"
"C’est La Vie","Emerson, Lake & Palmer"
"Nega","Emilio Santiago"
"Pensando Nela","Dom Beto"
"So Sad The Song","Gladys Knight The Pips"
"Dom De Iludir","María Creuza"
"My Sorrow","Michael Sullivan"
"That’s The Trouble","Grace Jones"
"Filho Único","Erasmo Carlos"
"Se te agarro com outro te mato","Sidney Magal"
"Um Caso Meu","Rosemary"
"Senhorita, senhorita","Wando"
"Vai Levando","Vinicius de Moraes, Tom Jobim, Miúcha & Toquinho"
"Jeito estupido de te amar","Maria Bethania"
"Loco-motivas","Rita Lee"
"Barra Pesada","Dicró"
"Conversation","Morris Albert"
"Bijuterias","João Bosco"
"Velho Demais","Placa Luminosa"
"Yes Sir, I Can Boogie","Baccara"
"You Are My Love","Liverpool Express"
"Young Hearts Run Free","Candi Staton"
"Lumiar","Beto Guedes"
"Più","Ornella Vanoni"
"Flor amorosa","Maria Martha"
"Cálix Bento","Milton Nascimento"
"I Remember Yesterday","Donna Summer"
"O Leaozinho","Caetano Veloso"
"Maria solidaria","Beto Guedes"
"Meu sangue ferve por você","Sidney Magal"
"Espere por mim morena","Gonzaguinha"
"Comportamento","Márcio Lott"
"Golden Years","David Bowie"
"Boi da cara branca","Helio Matheus"
"Basta um dia","Clara Nunes"
"New York You Got Me Dancing","Andrea True Connection"
"You took my breath away","Kaplan Kaye"
