title,artist
"Night Fever","Bee Gees"
"Outra vez","Roberto Carlos"
"Força Estranha","Roberto Carlos"
"Sampa","Caetano Veloso"
"How Deep Is Your Love","Bee Gees"
"Don’t Let Me Be Misunderstood","Santa Esmeralda"
"Dancing Days","As Freneticas"
"MacArthur Park","Donna Summer"
"Não existe pecado ao sul do Equador","Ney Matogrosso"
"Cálice","Chico Buarque e Milton Nascimento"
"Emotion","Samantha Sang"
"Perigosa","As Freneticas"
"Shadow Dancing","Andy Gibb"
"Stayin’ Alive (Saturday Night Fever)","Bee Gees"
"Folhetim","Gal Costa"
"We Are The Champions","Queen"
"A Noite Vai Chegar","Lady Zu"
"Café da Manhã","Roberto Carlos"
"Baby Come Back","Player"
"Grease","Frankie Valli"
"Os amantes","Luiz Ayrão"
"You’re The One That I Want","John Travolta e Olivia Newton John"
"Just the Way You Are","Billy Joel"
"Todo menino é um rei","Roberto Ribeiro"
"You’re in my heart","Rod Stewart"
"Get Off","Foxy"
"Three Times A Lady","Commodores"
"Float On","The Floaters"
"Macho Man","Village People"
"Bandeira do divino","Ivan Lins, Zizi Possi, Simone e Vercilo"
"Gosto De Maçã","Wando"
"We’re all alone","Rita Coolidge"
"Dance A Little Bit Closer","Charo & The Salsoul Orchestra"
"The Closer I Get To You","Roberta Flack ft. Donny Hathaway"
"Boogie Oogie Oogie","A Taste Of Honey"
"Sandra Rosa Madalena","Sidney Magal"
"Sufoco","Alcione"
"Baker street","Gerry Rafferty"
"Hopelessly Devoted to You","Olivia Newton John"
"Wuthering Heights","Kate Bush"
"Miss You","The Rolling Stones"
"Automatic Lover","Dee D. Jackson"
"Querelas do Brasil","Elis Regina"
"Shame","Evelyn ‘Champagne’ King"
"No Woman, No Cry","Bob Marley & The Wailers"
"Terra","Caetano Veloso"
"Flor amorosa","Maria Martha"
"I loved you","Freddy Cole"
"Quem Tem a Viola","Boca Livre"
"Amanhã","Guilherme Arantes"
"Black coco","Painel de Controle"
"João e Maria","Chico Buarque e Nara Leão"
"De fogo, luz e paixão","Marcelo e Gal Costa"
"Easy to love","Leo Sayer"
"La Vie En Rose","Grace Jones"
"Dreamin","Liverpool Express"
"Fool (If You Think It’s Over)","Chris Rea"
"From East To West","Voyage"
"I’m sagitarius","Roberta Kelly"
"Minha esquina","Emílio Santiago"
"Maria Maria","Milton Nascimento"
"On And On","Stephen Bishop"
"Panorama Ecológico","Erasmo Carlos"
"Rivers of Babylon","Boney M"
"You’re too far away","David Castle"
"Self Pity","Lucifer"
"Sossego","Tim Maia"
"You and I","Rick James"
"Scotch Machine","Voyage"
"Apesar de Você","Chico Buarque"
"Dancin’ Days Medley","Harmony Cats"
"Everybody Dance","Chic"
"Face a face","Simone"
"14 Anos","Guilherme Arantes"
"Follow You, Follow Me","Genesis"
"Vou festejar","Beth Carvalho"
"I Will Still Love You","Stone Bolt"
"It’s A Heartache","Bonnie Tyler"
"You","Rita Coolidge"
"Count On Me","Jefferson Starship"
"Cavalo Bravo","Renato Teixeira"
"Foi assim","Fafá de Belém"
"Goodbye Girl","David Gates"
"Pai","Fábio Jr."
"Keep Doin’ It","Showdown"
"Keep On Jumpin","Musique"
"Kitch Zona Sul","Ronaldo Resedá"
"Love For Sale","Boney M."
"Only the strong survive","Billy Paul"
"Salve o verde","Quarteto em Cy"
"Sou rebelde","Lilian"
"Wizard of Oz","Meco"
"The Loneliest Man On The Moon","David Castle"
"Amante Amado","Jorge Ben Jor"
"You Make Me Feel","Sylvester"
"A Chave do Mundo","Marina Lima"
"Agora é Moda","Rita Lee & Tutti Frutti"
"Eu e Meu Gato","Rita Lee"
"For Once In My Life","Roberto Carlos & Freddy Cole"
"Hey baby","Harmony Cats"
