title,artist
"Moça","Wando"
"Além do horizonte","Roberto Carlos"
"I’m Not in Love","10CC"
"Moro Onde Não Mora Ninguém","Agepê"
"Paralelas","Vanusa"
"O mestre sala dos Mares","Elis Regina"
"Like a locomotion","Left Side"
"Flying (Turning Round)","Chris de Burgh"
"One day in your life","Michael Jackson"
"Charlie Brown","Benito Di Paula"
"Fé Cega, Faca Amolada","Milton Nascimento & Beto Guedes"
"Philadelphia Freedom","Elton John"
"Kung Fu Fighting","Carl Douglas"
"Dois pra lá, dois pra cá","Elis Regina"
"Severina Xique-Xique","Genival Lacerda"
"The Old Fashioned Way","Charles Aznavour"
"Island Girl","Elton John"
"O Mar Serenou","Clara Nunes"
"Love Will Keep Us Together","Captain & Tennille"
"Only Yesterday","Carpenters"
"Get Down Tonight","KC & The Sunshine Band"
"Olha","Roberto Carlos"
"You’re My First My Last My Everything","Barry White"
"1800 colinas","Beth Carvalho"
"Mandy","Barry Manilow"
"Bilu Tetéia","Mauro Celso"
"July, july, july","Billy Paul"
"Critica","Cyro Aguiar"
"Please Mr Postman","Carpenters"
"Lovin’ You","Minnie Riperton"
"Filho da Bahia","Fafá de Belém"
"Pôxa","Gilson de Souza"
"Secretária da beira do cais","Cesar Sampaio"
"A Lua e Eu","Cassiano"
"You Are So Beautiful…","Joe Cocker"
"I don’t like to sleep alone","Paul Anka & Odia Coates"
"Argumento","Paulinho da Viola"
"Lady Marmalade","(Patti) LaBelle"
"Você Não Passa de Uma Mulher","Martinho Da Vila"
"Kid Cavaquinho","Maria Alcina"
"O Ouro e a Madeira","Conjunto Nosso Samba"
"My Eyes Adored You","Frankie Valli"
"Dont let me cry","Mark Davis"
"Na Sombra de Uma Árvore","Hyldon"
"Let me be forever","Steve Feldman"
"The hustle","Van McCOY"
"I’ll be holding you","Al Downing"
"Nó na Madeira","João Nogueira"
"Beijo partido","Milton Nascimento"
"Laughter In The Rain","Neil Sedaka"
"Lucy in the Sky with Diamonds","Elton John & John Lennon"
"Fio da véia","Luis Américo"
"Shame, Shame, Shame","Shirley & Company"
"Rain and memories","Paul Denver"
"Agora Só Falta Você","Rita Lee"
"Beleza que é você mulher","Benito Di Paula"
"Juízo final","Clara Nunes"
"Enamorada do sambão","Beth Carvalho"
"Boogie On Reggae Woman","Stevie Wonder"
"Juventude Transviada","Luiz Melodia"
"Its my first day without you","Denis Yost"
"Modinha para Gabriela","Gal Costa"
"Sad sweet dreamer","Sweet Sensation"
"The Miracle","Stylistics"
"Emoriô","Fafá de Belém"
"Amor com amor se paga","Carmen Silva"
"Embaixada do morro","Wander Pires"
"Dentro de Mim Mora um Anjo","Sueli Costa"
"Linha Do Horizonte","Azymuth"
"Terceiro Ato","Antônio Carlos & Jocafi"
"Esse tal de Roque Enrow","Rita Lee"
"A deusa dos orixás","Clara Nunes"
"Á sombra do teu sorriso","Moacyr franco"
"As Dores Do Mundo","Hyldon"
"Cuca Legal","Chico Batera"
"Beijo Partido","Nana Caymmi"
"Deixe meu marido","Claudia Barroso"
"I’m down","Hollies"
"Espelho mágico","Silvio Brito"
"Pandeiro e Viola","Beth Carvalho"
"Foi assim","Fafá de Belém"
"Ovelha negra","Rita Lee & Tutti Frutti"
"Foi tudo culpa do amor","Diana"
"Folia de Rei","Baiano e Os NOvos Caetanos"
"From His Woman To You","Barbara Mason"
"Melô Da Cuica","Azimuth"
"I’m Prisioner","Paul Jones"
"Lua Lua Lua Lua","Caetano Veloso"
"De frente pro crime","Simone"
"Tango Para Tereza","Angela Maria"
"Meu Perdão","Beth Carvalho"
"O Maior golpe do mundo","Deny e Dino"
"Mulher Brasileira","Benito Di Paula"
"Quem é de samba chora","Gilson de Souza"
"Não Esquente a Cabeça","Golden Boys"
"Antes que volte a ser nada","Leci Brandao"
"Não precisa me perdoar","Benito Di Paula"
"Vai Levando","Chico Buarque e Caetano Veloso"
"Never can say goodbye","Gloria Gaynor"
"Onde está a Honestidade","Beth Carvalho"
