title,artist,lyrics
"Chora Me Liga","João Bosco e Vinícius","Não era pra você se apaixonar
Era só pra gente ficar
Eu te avisei
Meu bem, eu te avisei
Você sabia que eu era assim
Paixão de uma noite que logo tem fim
Eu te falei, meu bem, eu te falei

Não vai ser tão fácil assim
Você me ter nas mãos
Logo você que era acostumada
A brincar com outro coração

Não venha me perguntar
Qual a melhor saída
Eu sofri muito por amor
Agora eu vou curtir a vida

Chora, me liga, implora
Meu beijo de novo
Me pede socorro
Quem sabe eu vou te salvar
Chora, me liga, implora
Pelo meu amor
Pede por favor
Quem sabe um dia eu volto a te procurar

Não era pra você se apaixonar
Era só pra gente ficar
Eu te avisei
Meu bem, eu te avisei
Você sabia que eu era assim
Paixão de uma noite que logo tem fim
Eu te falei, meu bem, eu te falei

Não vai ser tão fácil assim
Você me ter nas mãos
Logo você que era acostumada
A brincar com outro coração

Não venha me perguntar
Qual a melhor saída
Eu sofri muito por amor
Agora eu vou curtir a vida

Chora, me liga, implora
Meu beijo de novo
Me pede socorro
Quem sabe eu vou te salvar
Chora, me liga, implora
Pelo meu amor
Pede por favor
Quem sabe um dia eu volto a te procurar"
"Versos simples","Chimarruts","Sabe
Já faz tempo
Que eu queria te falar
Das coisas que trago no peito

Saudade
Já não sei
Se é a palavra certa para usar
Ainda lembro do seu jeito

Não te trago ouro
Porque ele não entra no céu
E nenhuma riqueza
Deste mundo

Não te trago flores
Porque elas secam e caem ao chão
Te trago os meus versos simples
Mas que fiz de coração

Sabe
Já faz tempo
Que eu queria te falar
Das coisas que eu trago no peito

Saudade
Já não sei
Se é a palavra certa para usar
Ainda lembro do seu jeito

Não te trago ouro
Porque ele não entra no céu
E nenhuma riqueza
Deste mundo

Não, não te trago flores
Porque elas secam e caem ao chão
Te trago os meus versos simples
Mas que fiz de coração

Fiz de coração
Coração"
"Não tente me impedir","Bruno e Marrone","Dumdêrarium
Dumdêrarium
Dumdêrarium

Dumdêrarium
Dumdêrarium
Dumdêrarium

Eu, jurar amor, para quê?
Você não me engana mais
Me anulei por você
Só pra ter desilusão

Você pode até chorar
De joelhos implorar
Que eu não vou voltar atrás
Na minha decisão

Dumdêrarium
Dumdêrarium
Dumdêrarium

Eu sempre fui tão fiel
Você nem pensou em mim
Me envolveu e mentiu
Mas agora que acabou

Se recusa a entender
Não aceita e não crê
Mas de fato não dá mais
Nem pra mim e pra você

Nem que o mundo acabe eu vou partir
Pro seu próprio bem, não tente me impedir
Chega de amor unilateral
Só vivi um sonho, nunca foi real

Nem que o mundo acabe eu vou partir
Pro seu próprio bem, não tente me impedir
Você só me deu desilusão
Agora te dou a solidão

Dumdêrarium
Dumdêrarium
Dumdêrarium"
"A Lhe Esperar","Os Paralamas do Sucesso","Lá onde o vento vai dar
Onde a nuvem beija o mar
Onde fica o fim do mundo
Onde o escuro é mais profundo
Eu estou a lhe esperar

Onde a pálpebra aconchega
Onde já fechou o bar
Na esquina da alameda
Na virada da vereda
Eu estou a lhe esperar

Água venha, água vá
Arda lenha, cave pá
Chova chuva, vire curva
Gire roda, quebre mar
Mude moda, sangre ríngue

Pia pingue, ferva chá
Rua muro, role pedra
Mude lua de luar
Vou estar numa parada dessa estrada a lhe esperar
Eu estou a lhe esperar

Todo dia, toda hora, em qualquer lugar
Eu estou a lhe esperar
Todo dia, toda hora, em qualquer lugar
Eu estou a lhe esperar
Quando é que você vai chegar?"
"Me encontra","Charlie Brown Jr","Hoje eu vou sair para encontrar o amor
Que espero a tanto tempo e ainda não rolou
O vento diz que é hoje em meio à multidão
Que eu vou encontrar a dona do meu coração
Aí sempre
Sorrir e chorar e ter alguém pra compartilhar
Sempre
Viver para alguém que me ama e dividir
Sempre
Felicidade e amor
Então

Me encontra ou deixa eu te encontrar
Me encontra ou deixa eu te encontrar
Me encontra ou deixa eu te encontrar
Me encontra ou deixa eu te encontrar

Eu não conheço todas as flores
Mas vou mandar todas que eu puder
Vivemos tempos de loucos amores
Só é feliz quem sabe o que quer

Me encontra ou deixa eu te encontrar
Me encontra ou deixa eu te encontrar
Me encontra ou deixa eu te encontrar
Me encontra ou deixa eu te encontrar

Fico pensando onde está você
E se você estaria pensando em me encontrar
Como sou, onde estou e onde quero chegar?
Como sou, como é que vai ser e onde vou te levar?
Mas se você me ver, pode acenar pra mim
Já pensou que louco te encontrar assim?
Eu vou na boa, vou na fé, sei que vou te encontrar
E quando eu te encontrar nós vamos comemorar!

Me encontra ou deixa eu te encontrar
Me encontra ou deixa eu te encontrar
Me encontra ou deixa eu te encontrar
Me encontra ou deixa eu te encontrar
Te encontrar"
"Cadê Dalila","Ivete Sangalo","Are you ready? Vambora!
Mas eu tô vendo todo mundo, só não tô vendo Dalila
Cadê Dalila?
Where is Dalila?

Vai buscar (Dalila)
Vai buscar Dalila ligeiro
Buscar Dalila
Vai buscar Dalila ligeiro
Ligeiro, ligeiro, ligeiro
Ligeiro, ligeiro, ligeiro

Bota pra chacoalhar
Get it up!
Hem, hem, hem, hem, oh
Hem, hem, hem, hem, oh
Everybody get up!

Mas eu vi (vai levando)
Esse povo é vip (vai levando)
Ninguém é triste (vai levando)
O futuro existe (vai levando)
Eu vi (vai levando)
O trio não para, Dodô (vai levando)
Batuqueiro não para, Dodô (vai levando)
O amor não para

Hem, hem, hem, hem, oh
Eu vou
Hem hem hem hem oh
Eu vou
Hem, hem, hem, hem, oh
Eu vou
Hem, hem, hem, hem, oh

Simbora!
Mas eu vi (vai levando)
Ta tudo preparado (vai levando)
Pra chegar lá em cima (vai levando)
Quem quiser vem comigo (vai levando)
Eu vi (vai levando)
Motorista não para (vai levando)
Operário não para (vai levando)
E o Brasil não para (vai levando)

Hem, hem, hem, hem, oh
Hem, hem, hem, hem, oh
Eu vou
Hem, hem, hem, hem, oh
Hem, hem, hem, hem, oh

Todo mundo pro lado de lá!
Simbora!

Lá vai, lá vai, lá vai
Lá vai o trio e o povo
(Levanta coração, sujeito carinhoso)

Lá vai, lá vai, lá vai
Lá vai o trio e o povo
(Levanta coração, sujeito carinhoso)
Oh, oh
Oh, oh

Vai buscar Dalila
Vai buscar Dalila ligeiro
(Vai buscar Dalila)
Vai buscar Dalila ligeiro

Hem, hem, hem, hem, oh
E aí?
Hem, hem, hem, hem, oh
Eu vou
Hem, hem, hem, hem, oh
Eu vou
Hem, hem, hem, hem, oh

Cadê Dalila?

Vai buscar (Dalila)
Dalila ligeiro
Vai buscar Dalila
Vai buscar Dalila ligeiro

Lá vai, lá vai, lá vai
Lá vai o trio e o povo
(Levanta coração, sujeito carinhoso)

Lá vai, lá vai, lá vai
Lá vai o trio e o povo
(Levanta coração, sujeito carinhoso)

Vai buscar Dalila
Vai buscar Dalila ligeiro
(Vai buscar Dalila)
Vai buscar Dalila ligeiro

Vai buscar Dalila
Vai buscar Dalila ligeiro
(Vai buscar Dalila)
Oh, vai buscar Dalila ligeiro

Ligeiro, ligeiro, ligeiro, ligeiro!"
"Me Adora","Pitty","Tantas decepções eu já vivi
Aquela foi de longe a mais cruel
Um silêncio profundo e declarei
Só não desonre o meu nome

Você que nem me ouve até o fim
Injustamente julga por prazer
Cuidado quando for falar de mim
E não desonre o meu nome

Será que eu já posso enlouquecer
Ou devo apenas sorrir?
Não sei mais o que eu tenho que fazer
Pra você admitir

Que você me adora
Que me acha foda
Não espere eu ir embora pra perceber
Que você me adora
Que me acha foda
Não espere eu ir embora pra perceber

Perceba que não tem como saber
São só os seus palpites na sua mão
Sou mais do que o seu olho pode ver
Então não desonre o meu nome

Não importa se eu não sou o que você quer
Não é minha culpa a sua projeção
Aceito a apatia, se vier
Mas não desonre o meu nome

Será que eu já posso enlouquecer
Ou devo apenas sorrir?
Não sei mais o que eu tenho que fazer
Pra você admitir

Que você me adora
Que me acha foda
Não espere eu ir embora pra perceber
Que você me adora
Que me acha foda
Não espere eu ir embora pra perceber

Que você me adora
Que me acha foda
Não espere eu ir embora pra perceber
Que você me adora
Que me acha foda
Não espere eu ir embora pra perceber
Que você me adora
Que me acha foda
Não espere eu ir embora pra perceber"
"Alguém Que Te Faz Sorrir","Fresno","Eu nunca consegui saber diferenciar
Não querer com não mais sentir
Não merecer com não mais amar

E hoje eu estou aqui
Sem ter lugar pra ficar
Escrevendo canções pra que
Você possa escutar
Com outro alguém do seu lado

Alguém que te faz sorrir
Alguém que vai te abraçar
Quando a escuridão cair
Te impedindo de me enxergar

E eu que hoje estou aqui
E pra sempre vou ficar
Segundos antes de dormir
De mim você vai lembrar

Tente me ouvir
Tente me ver
Um outro alguém
(Eu vou mudar)
Eu juro que eu vou ser

Alguém que te faz sorrir
Alguém que vai te abraçar
Quando a escuridão cair
Quando você precisar

De alguém que não vai mentir
Que não quer te magoar
Segundos antes de dormir
De mim você vai lembrar

Alguém que te faz sorrir
Alguém que vai te abraçar
Quando a escuridão cair
Quando você precisar

De alguém que não vai mentir
Que não quer te magoar
Segundos antes de dormir
De mim você vai lembrar"
"Cartas pra você","NX Zero","Eu tento te esquecer
Mas tudo que eu escrevo é sobre você
Eu não posso me enganar
Fingir que estou bem
Porque não estou

Preciso de você
Preciso de você
Essa noite

E hoje estou aqui só pra te cobrar
O que você disse que iria ser pra sempre
Mas não foi assim
Agora o que me resta
Escrever nessa carta
Pra lembrar

Eu passo tanto tempo
Só te procurando em um outro alguém
Mas não posso me enganar
Sinto sua falta e ninguém pode ver

Preciso de você
Preciso de você
Essa noite

E hoje estou aqui só pra te cobrar
O que você disse que iria ser pra sempre
Mas não foi assim
Agora o que me resta
Escrever nessa carta
Preciso de você"
"Daqui pra frente","NX Zero","Estou aqui pra dizer que eu jamais
Imaginei te ver sofrendo assim
Te ver chorar vai me fazer sofrer ainda mais
Estou aqui pra dizer que eu jamais
Quis te ver assim (quis te ver assim)
E escrever aqui (escrever aqui)
Tudo o que senti

Mas espero que daqui pra frente
Tudo se renove pra nós dois
Nossas vidas são tão diferentes
Viva agora tudo o que sonhou
Muita coisa ainda está por vir
Muita coisa ainda vai mudar
Eu espero que daqui pra frente

Estou aqui pra dizer: Seu coração
Vai te mostrar exatamente pra onde ir
Que temos muito o que viver
Enganar o tempo não dá mais
Estou aqui pra dizer que eu jamais
Quis te ver assim (quis te ver assim)
E escrever aqui (e escrever aqui)
Tudo o que senti

Mas espero que daqui pra frente
Tudo se renove pra nós dois
Nossas vidas são tão diferentes
Viva agora tudo o que sonhou
Muita coisa ainda está por vir
Muita coisa ainda vai mudar
Eu espero que daqui pra frente

Eu siga o meu caminho e você siga o seu
E acho que isso é mais forte que eu
Tive minha chance e não sobrou mais nada
Que possa fazer você ficar

Mas espero que daqui pra frente
Tudo se renove pra nós dois
Nossas vidas são tão diferentes
Viva agora tudo o que sonhou
Muita coisa ainda está por vir
Muita coisa ainda vai mudar
Esse é meu preço pra deixar você ir"
