title,artist
"Bem Que Se Quis","Marisa Monte"
"Deus Te Proteja De Mim","Wando"
"Entre Tapas E Beijos","Leandro & Leonardo"
"Don’t Wanna Lose You","Gloria Estefan"
"Straight Up","Paula Abdul"
"Adelaide","Inimigos do Reu"
"Nuvem de lágrimas","Chitãozinho & Xororó"
"When I See You Smile","Bad English"
"Adocica","Beto Barbosa"
"Eternal Flame","The Bangles"
"Tudo que se quer","Emilio Santiago e Veronica Sabino"
"The living Years","Mike & The Mechanics"
"Baby I Love Your Way","Will to Power"
"Direto No Olhar","Rosana"
"Tieta","Luiz Caldas"
"Lost In Your Eyes","Debbie Gibson"
"No Rancho Fundo","Chitãozinho & Xororó"
"Anjo","Yahoo"
"Onde o amor me leva","Rosana"
"Two Hearts","Phil Collins"
"Pais e Filhos","Legião Urbana"
"Blame It On the Rain","Milli Vanilli"
"Giving You The Best That I Got","Anita Baker"
"Forever Your Girl","Paula Abdul"
"I’ll Be There For You","Bon Jovi"
"Tempero","Grupo Raça"
"Fica Comigo","Placa Luminosa"
"Paixão de Beata","Pinto do Acordeon"
"She Drives Me Crazy","Fine Young Cannibals"
"Bye Bye Tristeza","Sandra de Sá"
"If You Don’t Know Me By Now","Simply Red"
"Nascemos Pra Cantar","Chitãozinho e Xororó"
"When I’m With You","Sheriff"
"Oceano","Djavan"
"The Look","Roxette"
"Love Shack","52’s"
"Meia Lua Inteira","Caetano Veloso"
"Like A Prayer","Madonna"
"Uma Barata Chamada Kafka","Inimigos Do Rei"
"Look Away","Chicago"
"Paixão antiga","Tim Maia"
"Coraçao Do Agreste","Fafá de Belém"
"Patience","Guns N’ Roses"
"Hold Me In Your Arms","Rick Astley"
"Baby Don’t Forget My Number","Milli Vanilli"
"Á francesa","Marina"
"Right Here Waiting","Richard Marx"
"Minta meu sonho","Zeca Pagodinho"
"Vem me dar um beijo","Banda beijo"
"Wild Thing","Tone Loc"
"Dancei","Martinho da Vila"
"Back To Life","Soul II Soul"
"Angelia","Richard Marx"
"Miudinho Meu Bem","Fundo De Quintal"
"Chama","Roupa Nova"
"Girl You Know It’s True","Milli Vanilli"
"Toy Soldiers","Martika"
"Bamboleo","Gipsy Kings"
"Let The River Run","Carly Simon"
"Lua e Flor","Osvaldo Montenegro"
"One","Bee Gees"
"Walking Away Mouth To Mouth","Information Society"
"Especially For You","Kylie Minogue & Jason Donovan"
"Kokomo","The Beach Boys"
"Domino Dancing","Pet Shop Boys"
"How can i go on","Freddie Mercury e Montserrat Caballe"
"Sonho Encantado","Yahoo"
"One moment in time","Whitney Houston"
"Renascer","Zizi Possi"
"Paradise City","Guns N’ Roses"
"Miss You Much","Janet Jackson"
"Dreamin","Vanessa Williams"
"Don’t Rush Me","Taylor Dayne"
"If I Could Turn Back Time","Cher"
"A Groovy Kind Of Love","Phil Collins"
"O tempo não para","Simone"
"Hey Jude","Kiko Zambianchi"
"Jade","João Bosco"
"I Believe In You","Stryper"
"In Your Room","The Bangles"
"Dizer não é dizer sim","Kid Abelha"
"Babilônia Maravilhosa","Evandro Mesquita"
"Orinoco Flow (Sail Away)","Enya"
"I’ll Be Loving You (Forever)","New Kids On The Block"
"Que rei sou eu","Eduardo Dusek & Luni"
"Someday We’ll Be Together (Algum Dia Estaremos Juntos)","Santa Fé"
"Eu te amo","Zeze Di Camargo e Luciano"
"Wild Wild West","The Escape Club"
"Flores","Titas"
"What I Am","Edie Brickell & New Bohemians"
"Desejo De Amar","João Paulo e Daniel"
"Alma Gêmea","Sandra de Sá"
"Every Rose Has Its Thorn","Poison"
"Feira de Acari","MC Batata"
"I’ll Always Love You","Taylor Dayne"
"A Lua e o Mar","Moraes Moreira e Pepeu Gomes"
"Burguesia","Cazuza"
"Amarra o Teu Arado a uma Estrela","Gilberto Gil"
"When The Children Cry","White Lion"
"Madrugada amiga","Ataíde e Alexandre"
