title,artist
"Balancê","Gal Costa"
"Another Brick In The Wall","Pink Floyd"
"Crazy Little Thing Called Love","Queen"
"Momentos","Joanna"
"Menino do Rio","Baby Consuelo"
"Toada (Na Direção do Dia)","Boca Livre"
"Lady","Kenny Rogers"
"Lost In Love","Air Supply"
"Meu Bem Querer","Djavan"
"Alô, Alô, Marciano","Elis Regina"
"Grito de alerta","Maria Bethania"
"Don’t Stop ‘Til You Get Enough","Michael Jackson"
"Sailling","Christopher Cross"
"Admirável Gado Novo","Zé Ramalho"
"20 e Poucos Anos","Fábio Jr."
"Xanadu","Olivia Newton John"
"Foi Deus que fez voce","Amelinha"
"Little Jeannie","Elton John"
"Amante á moda antiga","Roberto Carlos"
"Mania De Você","Rita Lee"
"Magic","Olivia Newton John"
"Coração bobo","Alceu Valença"
"All Out Of Love","Air Supply"
"Cruisin","Smokey Robinson"
"Demônio Colorido","Sandra de Sá"
"Do that to me one more time","Captain & Tennille"
"Cheiro de Mato","Fátima Guedes"
"Another One Bites the Dust","Queen"
"Noturno","Fagner"
"The Winner Takes It All","ABBA"
"Bandolins","Oswaldo Montenegro"
"Canção da América","Milton Nascimento"
"With You I’m Born Again","Billy Preston & Syreeta"
"Feminina","Joyce"
"Him","Rupert Holmes"
"Babe","Styx"
"Upside down","Diana Ross"
"Essa tal criatura","Leci Brandão"
"Please don’t go","KC & The Sunshine Band"
"Sol de Primavera","Beto Guedes"
"Call me","Blondie"
"Chega mais","Rita Lee"
"Só nos resta viver","Angela Rô Rô"
"Fame","Irene Cara"
"Shinning Star","The Manhattans"
"Nosso Estranho Amor","Marina Lima feat. Caetano Veloso"
"Special Lady","Ray, Goodman & Brown"
"After You","Michael Johnson"
"Do Right","Paul Davis"
"Meu Amigo Meu Heroi","Zizi Possi"
"Lá vem o Brasil Descendo a Ladeira","Moraes Moreira"
"Into the Night","Benny Mardones"
"Just Like You Do","Carly Simon"
"Menino Sem Juízo","Alcione"
"Eu e a Brisa","Baby Consuelo"
"More Than I Can Say","Leo Sayer"
"Noites Cariocas","Gal Costa"
"Ponto de interrogação","Gonzaguinha"
"Gonna get along without you now","Viola Wills"
"Give Me The Night","George Benson"
"Lead me on","Maxine Nightingale"
"I Never fall in love","Davitt Sigerson"
"Desesperar Jamais","Simone"
"You and i","Mireille Mathieu e Paul Anka"
"Quem Tem a Viola","Boca Livre"
"Quero Colo","Fábio Jr."
"Semente do Amor","A Cor do Som"
"Shine On","L.T.D."
"I’m so glad that i’m a woman","Love Unlimited"
"Ships","Barry Manilow"
"Agonia","Oswaldo Montenegro"
"Survive","Jimmy Buffett"
"Bola De Meia, Bola De Gude","14 Bis"
"Three Times In Love","Tommy James"
"Wave","João Gilberto"
"Canção de Verão","Roupa Nova"
"Sheena Easton","Modern Girl"
"More Love","Kim Carnes"
"Pra não dizer que não falei das flores","Simone"
"Love i need","Jimmy Cliff"
"Aroma","Lucia Turnbull"
"Planeta Sonho","14 Bis"
"Cais","Milton Nascimento"
"Escravo da alegria","Toquinho e Vinicius"
"First Be A Woman","Leonore O’Malley"
"Clareana","Joyce"
"Fracasso","Gilliard"
"Quero quero","Cláudio Nucci"
"Novo Tempo","Ivan Lins"
"Lembranças","Katia"
"Meninas do Brasil","Moraes Moreira"
"Never Knew Love Like This Before","Stephanie Mills"
"Rua Ramalhete","Tavito"
"Faltando um Pedaço","Djavan"
"Se eu quiser falar com Deus","Elis Regina"
"Doce de pimenta","Olivia Byington"
"No night so long","Dionne Warwick"
"Nova manhã","14 Bis"
"The Second Time Around","Shalamar"
"A Massa","Raimundo Sodré"
