title,artist
"Juventude Transviada","Luiz Melodia"
"Meu Mundo e Nada Mais","Guilherme Arantes"
"If You Leave Me Now","Chicago"
"À Flor da Terra (O que Será?)","Chico Buarque e Milton Nascimento"
"Meu Caro Amigo","Chico Buarque de Hollanda"
"Don’t Go Breaking My Heart","Elton John & Kiki Dee"
"Fly, Robin, Fly","Silver Convention"
"Nuvem passageira","Hermes Aquino"
"Sobradinho","Sá E Guarabyra"
"Pavão Mysteriozo","Ednardo"
"December, 1963","The Four Seasons"
"As Rosas Não Falam","Beth Carvalho"
"Não deixe o Samba morrer","Alcione"
"Nem Ouro Nem Prata","Ruy Maurity"
"Os botões da blusa","Roberto Carlos"
"All By MySelf","Eric Carmen"
"Pecado capital","Paulinho da Viola"
"Eu nasci há 10 mil anos atrás","Raul Seixas"
"Misty blue","Dorothy Moore"
"Gracias a la Vida","Grupo Taracón"
"You’ll Never Find Another Love Like Mine","Lou Rawls"
"Olhos nos Olhos","Maria Bethânia"
"Os meninos da mangueira","Ataulfo Jr"
"Vá mas volte","Angela Maria"
"Vai ficar na saudade","Benito Di Paula"
"Bohemian Rhapsody","Queen"
"Sailing","Rod Stewart"
"Como Nossos Pais","Elis Regina"
"Dolannes Melodie","Jean Claude Borelly"
"You Should Be Dancing","Bee Gees"
"I write the songs","Barry Manillow"
"O Surdo","Alcione"
"Tu T`en Vas","Alain Barriere & Noelle Cordier"
"Kiss And Say Goodbye","The Manhattans"
"DreamWeaver","Gary Wright"
"Incompatibilidade de Gênios","João Bosco"
"(Shake Shake Shake) Shake Your Booty","KC & The Sunshine Band"
"Apesar de Você","Chico Buarque"
"Andrea True Connection","More, More More"
"Silly Love Songs","Wings"
"Love hurts","Nazareth"
"Happy","Michael Jackson"
"O Rancho da Goiabada","Elis Regina"
"Levante os olhos","Silvio Cesar"
"A Fifth Of Beethoven","Walter Murphy e The Big Apple Band"
"Show Me The Way","Peter Frampton"
"Ilegal, Imoral ou Engorda","Roberto Carlos"
"I Need To Be In Love","Carpenters"
"Cuide se bem","Guilherme Arantes"
"Cry To me","Loleatta Holloway"
"Do You Know Where You’re Going To","Diana Ross"
"I’m Easy","Keith Carradine"
"Olhos nos Olhos","Agnaldo Timóteo"
"Love Me Like a Stranger","The Lettermen"
"Love To Love You Baby","Donna Summer"
"Pra não morrer de tristeza","Ney Matogrosso"
"Caso você case","Marília Barbosa"
"Lady Bump","Penny McLean"
"Mineira","João Nogueira"
"Coisas Da Vida","Rita Lee"
"Paralelas","Vanusa"
"My life","Michel Sullivan"
"She’s my girl","Morris Albert"
"Só Louco","Gal Costa"
"This Time I’ll Be Sweeter","Linda Lewis"
"Winners and losers","Hamilton Joe Frank & Reynolds"
"Afternoon Delight","Starland Vocal Band"
"Boogie Fever","The Sylvers"
"Capim Novo","Luiz Gonzaga"
"Apenas um rapaz latino americano","Belchior"
"Zing Went The Strings of My Heart","The Trammps"
"Os Cinco Companheiros","Paulinho da Viola"
"Cavaquinho Camarada","Beth Carvalho"
"Marido ideal","Evinha"
"Theme From S.W.A.T.","Rhythm Heritage"
"Fascinação","Elis Regina"
"When you’re gone","Maggie Macneal"
"Menina de Cabelos Longos","Agepê"
"Ain’t Nobody Straight In Los Angeles","The Miracles"
"Give Me A Second Chance","Junior"
"Inseparable","Natalie Cole"
"Alain Patrick","Dolannes Melodie"
"True Love","Steve Maclean"
"Sweet Love","Commodores"
"I’ll Be Good To You","The Brothers Johnson"
"The Twins","Tenderness"
"Pôxa","Gilson de Souza"
"Beijinho doce","Nalva Aguiar"
"Deixa","Bandits Of Love"
"Chão, Pó, Poeira","Gonzaguinha"
"Olhos nos Olhos","Chico Buarque"
"Let Your Love Flow","Bellamy Brothers"
"Xamego","Fafá de Belém"
"Tudo está no seu lugar","Benito Di Paula"
"Retrato","Sueli Costa"
"Menina do mato","Ruy Maurity"
"Like Roses","Jack Jones"
"Jeca Total","Gilberto Gil"
"Espere por mim morena","Gonzaguinha"
"Os Homens Não Devem Chorar","Barros de Alencar"
