title,artist,lyrics
"Humilde Residência","Michel Teló","Vou te esperar aqui
Mas vê se atende o telefone mesmo se for a cobrar
Hoje eu não vou sair
Porque meu carro tá quebrado
Eu não tô podendo gastar

Quando chegar aqui
Me dê um grito lá na frente
Eu vou correndo te buscar
Não tem ninguém aqui
Mas vou deixar a luz acesa

Já te passei meu celular e o endereço
Naquele dia em que te vi sair de casa
Eu tô ligado que você sempre me deu uma moral
Até dizia que me amava

Agora tá mudada, se formou na faculdade
No meu cursinho eu não cheguei nem na metade
Você tá muito diferente
Eu vou atrás, você na frente
Tô louco pra te pegar

Vou te esperar
Na minha humilde residência
Pra gente fazer amor
Mas eu te peço só um pouquinho de paciência
A cama tá quebrada e não tem cobertor

Vou te esperar
Na minha humilde residência
Pra gente fazer amor
Mas eu te peço só um pouquinho de paciência
A cama tá quebrada e não tem cobertor"
"Assim Você Mata o Papai","Sorriso Maroto","Ai,ai! Ai ai ai ai

Essa mina tá me olhando
Acho que tá dando mole
Ela tá me provocando já faz tempo
Isso não vai prestar
Não vai

Ela é maravilhosa, tem um sorriso maroto
O que será que ela tá querendo?
Vou chamar pra dançar

Vem cá mulher
Vem cá, dançar
Comigo agarradinho, vem cá que você vai gostar!
Ah, vai! Isso, assim, vem pra mim
Que delícia, tá gostoso demais
Isso não vai prestar
Beija minha boca

Ai, ai! Ai ai ai ai! Assim você mata o papai
Ai, ai! Ai ai! Que boca gostosa, eu quero mais
Ai, ai! Ai ai ai ai! Assim você mata o papai
Ai, ai! Ai ai! Você tá cheirosa demais"
"Camaro amarelo","Munhoz e Mariano","Agora eu fiquei doce, doce, doce, doce
Agora eu fiquei do-do-do-do-doce, doce

Agora eu fiquei doce, doce, doce, doce
Agora eu fiquei do-do-do-do-doce, doce

E agora eu fiquei doce igual caramelo
Tô tirando onda de Camaro amarelo
E agora você diz: vem cá que eu te quero
Quando eu passo no Camaro amarelo

Quando eu passava por você
Na minha CG, você nem me olhava
Fazia de tudo pra me ver, pra me perceber
Mas nem me olhava

Aí veio a herança do meu véio
E resolveu os meus problemas, minha situação
E do dia pra noite fiquei rico
Tô na grife, tô bonito, tô andando igual patrão

Agora eu fiquei doce igual caramelo
Tô tirando onda de Camaro amarelo
E agora você diz: vem cá que eu te quero
Quando eu passo no Camaro amarelo

E agora você vem, né?
Agora você quer?
Só que agora vou escolher
Tá sobrando mulher

E agora você vem, né?
Agora você quer?
Só que agora vou escolher
Tá sobrando mulher

Quando eu passava por você
Na minha CG, você nem me olhava
Fazia de tudo pra me ver, pra me perceber
Mas nem me olhava

Aí veio a herança do meu véio
E resolveu os meus problemas, minha situação
E do dia pra noite fiquei rico
Tô na grife, tô bonito, tô andando igual patrão

Agora eu fiquei doce igual caramelo
Tô tirando onda de Camaro amarelo
Agora você diz: vem cá que eu te quero
Quando eu passo no Camaro amarelo

E agora você vem, né?
Agora você quer?
Só que agora vou escolher
Tá sobrando mulher

E agora você vem, né?
Agora você quer?
Só que agora vou escolher
Tá sobrando mulher

Agora eu fiquei doce igual caramelo
Tô tirando onda de Camaro amarelo
E agora você diz: vem cá que eu te quero
Quando eu passo no Camaro amarelo

Agora eu fiquei doce, doce, doce, doce
Agora eu fiquei do-do-do-do-doce, doce
Agora eu fiquei doce, doce, doce, doce
Agora eu fiquei do-do-do-do-doce, doce"
"Te Vivo","Luan Santana","Quando me sinto só
Te faço mais presente
Eu fecho os meus olhos
E enxergo a gente

Em questão de segundos
Voo pra outro mundo, outra constelação
Não dá para explicar ao ver você chegando
Qual a sensação

A gente não precisa tá colado pra tá junto
Os nossos corpos se conversam por horas e horas
Sem palavras, tão dizendo a todo instante um pro outro
O quanto se adoram

Eu não preciso te olhar pra te ter em meu mundo
Porque, aonde quer que eu vá, você está em tudo
Tudo, tudo que eu preciso (oh, oh, oh)
Te vivo

Quando me sinto só
Te faço mais presente
Eu fecho os meus olhos
E enxergo a gente

Em questão de segundos
Voo pra outro mundo, outra constelação
Não dá para explicar ao ver você chegando
Qual a sensação (oh, oh, oh)

A gente não precisa tá colado pra tá junto
Os nossos corpos se conversam por horas e horas
Sem palavras, tão dizendo a todo instante um pro outro
O quanto se adoram

Eu não preciso te olhar pra te ter em meu mundo
Porque, aonde quer que eu vá, você está em tudo
Tudo, tudo que eu preciso (oh, oh, oh)

A gente não precisa tá colado pra tá junto
Os nossos corpos se conversam por horas e horas
Sem palavras, tão dizendo a todo instante um pro outro
O quanto se adoram

Eu não preciso te olhar pra te ter em meu mundo
Porque, aonde quer que eu vá, você está em tudo
Tudo, tudo que eu preciso (oh, oh, oh)
Te vivo"
"Lê Lê Lê","João Neto e Frederico","Em plena sexta feira
Fui tentar me distrair
Chegando na balada
Toda linda eu te vi

Você no camarote
E eu rodado no pedaço
Caçando um jeitinho
De invadir o seu espaço

Não tenho grana
Não tenho fama
Não tenho carro
Tô de carona

O meu cartão
Foi bloqueado
E o meu limite
Tá estourado

Sou simples
Mas eu te garanto
Eu sei fazer um Lê Lê Lê

Lê Lê Lê
Lê Lê Lê
Se eu te pegar você vai ver
Lê Lê Lê
Lê Lê Lê
Você jamais vai me esquecer

Lê Lê Lê
Lê Lê Lê
Se eu te pegar você vai ver
Lê Lê Lê
Lê Lê Lê
Você jamais vai me esquecer"
"Incondicional","Luan Santana","Eu vou pedir ao Sol pra iluminar nosso caminho
E todas as estrelas pra enfeitar nosso destino
Me leve onde for, segure a minha mão
Pois sei que você vai ser a minha direção

A gente é assim, temos tanta coisa em comum
Você tem marca em mim e pra você não sou mais um
Assim é nosso amor, tão forte como a noite
Perfeito como o dia

Eu vou subir nas nuvens pra desenhar o teu sorriso
E, no azul do céu, vou ver os seus olhos brilhando
E em meio às estrelas fico flutuando
Em minhas digitais já tem um pouco de você
Eu sigo os seus sinais, assim nunca vou te perder
É incondicional, você tem a forma exata pra me prender
Em você

A gente é assim, temos tanta coisa em comum
Você tem marca em mim e pra você não sou mais um
Assim é nosso amor, tão forte como a noite
Perfeito como o dia

Eu vou subir nas nuvens pra desenhar o teu sorriso
E, no azul do céu, vou ver os seus olhos brilhando
E em meio às estrelas fico flutuando
Em minhas digitais já tem um pouco de você
Eu sigo os seus sinais, assim nunca vou te perder
É incondicional, você tem a forma exata pra me prender
Em você

Eu vou subir nas nuvens pra desenhar o teu sorriso
E, no azul do céu, vou ver os seus olhos brilhando
E em meio às estrelas fico flutuando
Em minhas digitais já tem um pouco de você
Eu sigo os seus sinais, assim nunca vou te perder
É incondicional, você tem a forma exata pra me prender
Em você

Em minhas digitais já tem um pouco de você
Eu sigo os seus sinais, assim nunca vou te perder
É incondicional, você tem a forma exata pra me prender
Em você"
"É Tenso","Fernando & Sorocaba","É meu defeito, eu bebo mesmo
Beijo mesmo, pego mesmo
E no outro dia nem me lembro
É tenso demais!

Beijar: eu gosto
Beber: adoro
Qualquer lugar pra mim tá bom
Qualquer paixão me diverte
Tem farra, tô pronto!
Se é festa, me chama!
Sou sem frescura e sem limites

O problema é que eu bebo e apronto
Mas depois não lembro de nada
Tudo bem, não faz mal
A gente bota culpa na cachaça

É meu defeito, eu bebo mesmo
Beijo mesmo, pego mesmo
E no outro dia nem me lembro
É tenso demais!

É meu defeito, eu bebo mesmo
Beijo mesmo, pego mesmo
E no outro dia nem me lembro
É tenso demais!

Beijar: eu gosto
Beber: adoro
Qualquer lugar pra mim tá bom
Qualquer paixão me diverte
Tem farra, tô pronto!
Se é festa, me chama!
Sou sem frescura e sem limites

O problema é que eu bebo e apronto
Mas depois não lembro de nada
Tudo bem, não faz mal
A gente bota culpa na cachaça

É meu defeito, eu bebo mesmo
Beijo mesmo, pego mesmo
E no outro dia nem me lembro
É tenso demais!

É meu defeito, eu bebo mesmo
Beijo mesmo, pego mesmo
E no outro dia nem me lembro
É tenso demais!"
"Eu Sem Você","Paula Fernandes","Eu tô carente desse teu abraço
Desse teu amor que me deixa leve
Eu tô carente desses olhos negros
Desse teu sorriso branco feito neve
Eu tô carente desse olhar que mata
Dessa boca quente revirando tudo
Tô com saudade dessa cara linda
Me pedindo: Fica só mais um segundo

Tô feito mato, desejando a chuva
Madrugada fria, esperando o Sol
Tô tão carente feito um prisioneiro
Vivo um pesadelo, beijo sem paixão
Tô com vontade de enfrentar o mundo
Ser pra sempre o guia do seu coração
Sou a metade de um amor que vibra
Numa poesia em forma de canção

Sem você, sou caçador sem caça
Sem você, a solidão me abraça
Sem você, sou menos que a metade
Sou incapacidade de viver por mim
Sem você, eu sem você

Eu tô carente desse teu abraço
Desse teu amor que me deixa leve
Eu tô carente desses olhos negros
Desse teu sorriso branco feito neve
Eu tô carente desse olhar que mata
Dessa boca quente revirando tudo
Tô com saudade dessa cara linda
Me pedindo: Fica só mais um segundo

Tô feito mato desejando a chuva
Madrugada fria esperando o Sol
Tô tão carente feito um prisioneiro
Vivo um pesadelo, beijo sem paixão
Tô com vontade de enfrentar o mundo
Ser pra sempre o guia do seu coração
Sou a metade de um amor que vibra
Numa poesia em forma de canção

Sem você, sou caçador sem caça
Sem você, a solidão me abraça
Sem você, sou menos que a metade
Sou incapacidade de viver por mim

Sem você, sou caçador sem caça
Sem você, a solidão me abraça
Sem você, sou menos que a metade
Sou incapacidade de viver por mim
Sem você

Sem você, oh
Sem você, eu sem você
Sem você"
"Não Me Perdoei","Victor & Leo","Eu queria ser um anjo
E não passo apenas do que sou
Te daria um par de estrelas
E o que tenho é o meu amor

Eu só sei sonhar contigo
Aceitando o meu regresso
Tenho medo de perdê-la
Te amo, confesso

Aonde estão seus olhos
Quando não estão em mim?
Aonde estão seus passos
Se não chegamos ao fim?
Eu voltaria aonde te deixei
Não queria que chorasse, chorei
Queria que me perdoasse
Não me perdoei

Eu queria ser um anjo
E não passo apenas do que sou
Te daria um par de estrelas
E o que tenho é o meu amor

Eu só sei sonhar contigo
Aceitando o meu regresso
Tenho medo de perdê-la
Te amo, confesso

Aonde estão seus olhos
Quando não estão em mim?
Aonde estão seus passos
Se não chegamos ao fim?
Eu voltaria aonde te deixei
Não queria que chorasse, chorei
Queria que me perdoasse
Não me perdoei"
"Nega","Luan Santana","Eu sei, você sofreu demais
E sabe que eu não fui capaz
Mas, mas, mas
Aquele sonho que era meu
Descobri não era seu
É, não deu

Não deu certo quanto a gente planejou
Mas o amor nos deu mais uma chance
Volta e vem viver esse romance

Nega, chega junto
Vem me amar
Vem cá
Já tava arrumando a minha vida
Mas tô doido procê bagunçar
Nega

Nega, a saudade não quer sossegar
Só tá aumentando e o seu nego
Tá indo aí pra te buscar
Nega
Eu tô pronto pra te amar"
