title,artist
"Greatest Love Of All","Whitney Houston"
"Take My Breath Away","Berlin"
"Demais","Veronica Sabino"
"Eduardo e Mônica","Legião Urbana"
"Quando Gira o Mundo","Fábio Jr."
"The Captain Of Her Heart","Double"
"Alagados","Paralamas do Sucesso"
"Sina","Djavan"
"Nikita","Elton John"
"That’s What Friends Are For","Dionne Warwick"
"On My Own","Patti LaBelle Michael McDonald"
"Aa uu","Titãs"
"Só pro meu prazer","Heróis da Resistência"
"Words Get in the Way","Gloria Estefan"
"Say You Say Me","Lionel Richie"
"Índios","Legião Urbana"
"Perigo","Zizi Possi"
"True Colors","Cyndi Lauper"
"Bad Boy","Miami Sound Machine"
"Rock Me Amadeus","Falco"
"Sweet Love","Anita Baker"
"Só pra contrariar","Fundo de Quintal"
"Transas","Ritchie"
"Joga Fora","Sandra Sá"
"Nem Um Toque","Rosana"
"Glory Of Love","Peter Cetera"
"Holding Back The Years","Simply Red"
"Decadence Avec Elegance","Lobão e Os Ronaldos"
"When I Think Of You","Janet Jackson"
"Tempo Perdido","Legião Urbana"
"Broken Wings","Mr. Mister"
"Musica Urbana","Capital Inicial"
"Só O Fim","Camisa de Vênus"
"Taken In","Mike + The Mechanics"
"I miss you","Klymaxx"
"Julieta","Sandro Becker"
"Kiss","Prince"
"More Than I Can Bear","Matt Bianco"
"Toda Forma de Poder","Engenheiros do Hawaii"
"Garotos","Kid Abelha"
"Propaganda","Duel"
"Why Worry","Dire Straits"
"The Sweetest Taboo","Sade"
"West End Girls","Pet Shop Boys"
"Sweet Freedom","Michael McDonald"
"Something about you","Level 42"
"Alive And Kicking","Simple Minds"
"If Looks Could Kill","Heart"
"There’ll Be Sad Songs (To Make You Cry)","Billy Ocean"
"Tudo bem","Lulu Santos"
"Livre Pra Viver","Claudio Zoli"
"Live To Tell","Madonna"
"Venus","Bananarama"
"Sledgehammer","Peter Gabriel"
"Forever Young","Alphaville"
"Você","Os Paralamas do Sucesso"
"Secret Lovers","Atlantic Star"
"Burning Heart","Survivor"
"Conga","Miami Sound Machine"
"Sara","Starship"
"So Far Away","Dire Straits"
"These Dreams","Heart"
"Deus Nos Acuda","Fundo de Quintal"
"Casa nova","Lulu Santos"
"Yes","Tim Moore"
"Garota de Berlim","Tokyo e Nina Hagen"
"Dancing On The Ceiling","Lionel Richie"
"With You All The Way","New Edition"
"In Between Days","The Cure"
"Papa Don’t Preach","Madonna"
"I’ll be Over You","Toto"
"If You Leave","Orchestral Manoeuvres in the Dark"
"The Finest","S.O.S. Band"
"Sahara Night","FR David"
"New York, Rio, Tokyo","Trio Rio"
"Sintonia","Moraes Moreira"
"Judia de mim","Zeca Pagodinho"
"I’m Your Man","Wham!"
"Higher Love","Steve Winwood"
"Caminhoneiro do amor","Sula Miranda"
"Do Leme ao Pontal","Tim Maia"
"Stuck with you","Huey Lewis e The News"
"Gosto do Prazer","A Cor do Som/Gilberto Gil"
"I’ll Never be (Maria Magdalena)","Sandra"
"Em flor","Simone"
"Only Love","Nana Mouskouri"
"Don’t Forget Me (When I’m Gone)","Glass Tiger"
"Polícia","Titãs"
"Living in America","James Brown"
"Melo Do Marinheiro","Os Paralamas do Sucesso"
"Codinome Beija-Flor","Barão Vermelho & Cazuza"
"It’s Only Love","Bryan Adams & Tina Turner"
"Manic Monday","The Bangles"
"Gato encantado","Claudia Olivetti"
"I love you baby","Adriana Arydes"
"Sede dos Marujos","Ivan Lins"
"Invisible Touch","Genesis"
"Anos Dourados","Maria Bethânia"
"Só Eu Sei","Gilliard"
"Veraneio Vascaína","Capital Inicial"
