title,artist
"Quero Que Vá Tudo Pro Inferno","Roberto Carlos"
"Yesterday","Beatles"
"A Banda","Nara leão"
"Capri C’est Fini","Herve Vilard"
"Esqueça","Roberto Carlos"
"Io Che Non Vivo Senza Te","Pino Donaggio"
"Michelle","Beatles"
"Meu bem","Ronnie Von"
"Disparada","Jair Rodrigues"
"A Volta","Os Vips"
"Strangers In the Night","Frank Sinatra"
"Aline","Christophe"
"The More I See You","Chris Montez"
"Coruja","Dney e Dino"
"Um Grande Amor","Jerry Adriani"
"A Praia","Agnaldo Rayol"
"Whipped Cream","Herb Alpert & The Tijuana Brass"
"(I Can’t Get No) Satisfaction","The Rolling Stones"
"Day Tripper","The Beatles"
"Pobre menina","Leno e Lilian"
"California Dreamin","The Mamas & the Papas"
"Tema de Lara (Lara’s Theme Doctor Jivago)","The Jordans"
"Não Diga Nada (Non Dirmi Niente)","Joelma"
"Eu te darei bem mais","Moacyr Franco"
"É Papo Firme","Roberto Carlos"
"Tristeza","Jair Rodrigues"
"Ternura","Wanderléa"
"Yesterday","Matt Monro"
"Io Ti Darò Di Più","Ornella Vanoni"
"Meu primeiro amor","Renato e Seus Blue Caps"
"Guarânia da saudade","Carlos José"
"Mamãe Passou Açúcar Em Mim","Wilson Simonal"
"Giramundo","Pery Ribeiro"
"O bom","Eduardo Araujo"
"Monday Monday","The Mamas & The Papas"
"The Sound of Silence","Simon & Garfunkel"
"N’avoue jamais","Guy Martell"
"O Muro de Berlim","The Bells"
"Il Mondo","Jimmy Fontana"
"Cinderela","Angela Maria"
"Mamãe","Agnaldo Timóteo"
"La Boheme","Charles Aznavour"
"Devolva-me –","Leno e Lilian"
"Upa Neguinho","Elis Regina"
"Wooly Bully","Sam the Sham & The Pharaos"
"Bang Bang","Cher"
"Aline","Agnaldo Timoteo"
"Mexericos da Candinha","Roberto Carlos"
"Noite dos Mascarados","Chico Buarque, Odete Lara e MPB-4"
"The Shadow of Your Smile","Tony Bennett"
"Apelo","Elizeth Cardoso"
"Theme For Young Lovers","The Jet Blacks"
"As Tears Go By","The Rolling Stones"
"Brigas","Altemar Dutra"
"Canto de Ossanha","Elis regina"
"Ninguém poderá julgar me","Jerry Adriani"
"Eu Te Darei o Céu","Roberto Carlos"
"Tema de Lara","The Jordans"
"Juanita Banana","The Peels"
"Mágoa","Golden Boys"
"Il Silenzio","Nini Rosso"
"carango","Wilson Simonal"
"Anda Luzia","Maria Bethania"
"Somewhere My Love","Ray Conniff"
"Girl","Beatles"
"Wayne Fontana","Gina"
"Hang on sloopy","The MaCoys"
"Juramento de Playboy","Carlos Gonzaga"
"É tão fácil dizer não fique triste","Cidinha Santos"
"Forget Him","Bobby Rydell"
"I Only Want to Be with You","Dusty Springfield"
"You’ve Got To Hide Your Love Away","Ronnie Von"
"Alguém Na Multidão","Golden Boys"
"Deus te acompanhe","Wanderley Cardoso"
"Eu te amo","José Ricardo"
"Vem Chegando A Madrugada","Jair Rodrigues"
"Nossa Canção","Roberto Carlos"
"Samba Na Palma Mão","Luiz Carlos"
"Maringá","Eduardo Araujo"
"Eterna paixão","José Ricardo"
"Les Cornichons","Nino Ferrer"
"Michelle","Golden Boys"
"Não Quero Ver Você Triste","Roberto Carlos"
"Fim de Sonho","Marcos Roberto"
"Não me deixe só","Denise Barreto"
"I Am A Rock","Simon & Garfunkel"
"A Rita","Chico Buarque"
"Eu te agradeço","Silvio Cesar"
"Dia das Rosas","Maysa"
"Bang Bang","Maritza Fabiani"
"Suburbana","Carlos José"
"Like a Rolling Stone","Bob Dylan"
"Olê olá","Chico Buarque"
"Winchester Cathedral","New Vaudeville Band"
"Cabelos Longos, Ideias Curtas","The Brazilian Bitles"
"Paperback Writer","The Beatles"
"These Boots Are Made for Walkin’","Nancy Sinatra"
"Porta Estandarte","Geraldo Vandre"
"Dia das rosas","Sonia Delfino"
"Vai Ser Bom (Ca Serait Beau)","The Fevers"
