title,artist
"Mais Que Nada","Jorge Ben"
"Sonhar Contigo","Adilson Ramos"
"Volta Por Cima","Noite Ilustrada"
"I Can’t Stop Loving You","Ray Charles"
"Chove Chuva","Jorge Ben"
"Tudo De Mim","Altemar Dutra"
"Hava Nagila","Chubby Checker"
"Balanço Zona Sul","Tito Madi"
"Enigma","Nelson Gonçalves"
"Filme Triste","Trio Esperança"
"Splish Splash","Roberto Carlos"
"Amor Sincero","Silvinho"
"Tem Bobo Pra Tudo","Alcides Gerardi"
"O Passo Do Elefantinho","Trio Esperança"
"Blame It On The Bossa Nova","Eydie Gormie"
"African Beat","Bert Kaempfert"
"Uirapuru","Nilo Amaro e Os Cantores do Ébano"
"Boogie Do Bebe","Tony Campello"
"Tu És O Maior Amor Da Minha Vida","Silvinho"
"Na Cadência Do Samba","Elizete Cardoso"
"Roberta","Peppino Di Capri"
"The End Of The World","Skeeter Davis"
"I Will Follow Him","Little Peggy March"
"O Morro Não Tem Vez","Jair Rodrigues"
"Paz Do Meu Amor","Luiz Vieira"
"Sukiyaki (ue O Muite Arukou)","Kyu Sakamoto"
"Garota De Ipanema","Pery Ribeiro"
"Bolinha De Sabão","Sonia Delfino"
"Chariot","Lana Bittencourt"
"Baby Elephant Walk","Lawrence Welk"
"Rio","Os Cariocas"
"Ave Maria Dos Namorados","Cauby Peixoto"
"O Trovador De Toledo","Gilda Lopes"
"Se A Vida Fosse Um Sonho Bom","Orlando Dias"
"A Hora Do Amor","Gilda Lopes"
"Go Away, Little Girl","Steve Lawrence"
"Amor Ingrato","Silvinho"
"Papa Oom Mow Mow","The Rivingtons"
"Não Diga Nada (non Dirmi Niente)","Joelma"
"O Prisioneiro","Jorge Goulart"
"Serenata Da Chuva","Carlos Nobre"
"Baby Sittin’ Boogie","Buzz Clifford"
"Deixa","Cyro Monteiro"
"Baby Sittin’ Boogie","Ralf Bendix"
"Wipe Out","Surfaris"
"Samba Do Avião","Os Cariocas"
"Eu Que Amo Somente A Ti","José Ricardo"
"Caixinha De Segredo","Rômulo Alencar"
"Franqueza","Dalva De Oliveira"
"Love Me With All Your Heart","Ray Charles Singers"
"E O Bicho Não Deu","Emilinha Borba"
"Nos Braços Da Saudade","Carlos Nobre"
"Doce Amargura","Moacyr Franco"
"Papai Walt Disney (daddy Walt Disney)","Conjunto Farroupilha"
"Blue Velvet","Bobby Vinton"
"Ela É Carioca","Os Cariocas"
"Pergunte ao coração","Jorge Goulart"
"Hey Paula","Paul And Paula"
"O Último A Saber","Dircinha Batista"
"Sabor De Sal","Ed Wilson"
"Days Of Wine And Roses","Henry Mancini"
"Restos De Saudade","Carlos Nobre"
"Our Day Will Come","Ruby & The Romantics"
"Samba Em Prelúdio","Vinicius De Moraes & Odete Lara"
"Foi Assim","Jamelão"
"Volte Pra Casa","Noite Ilustrada"
"Saudade Em Cada Adeus","Carlos Nobre"
"Tem Bobo Pra Tudo","Isaura Garcia"
"A Lua É Camarada","Angela Maria"
"Abraça Me","Anisio Silva"
"Canção Do Fim","Moacyr Franco"
"Olha A Polícia","Nhá Barbina"
"Perdidamente Te Amarei","Joelma"
"All Alone Am I","Brenda Lee"
"Ave Maria Dos Namorados","Anísio Silva"
"Bolinha De Sabão","Orlandivo"
"It’s My Party","Lesley Gore"
"Baby Elephant Walk","Henry Mancini"
"Big Girls Don’t Cry","Frankie Valli And The Four Seasons"
"Gostoso É Sambar","Dóris Monteiro"
"Cuando Calienta El Sol","Antonio Prieto"
"Aprendiz De Feiticeiro","Angela Maria"
"Sabe Deus","Carlos Alberto"
"Dona Maria Tereza","Juca Chaves"
"Let’s Dance","Chris Montez"
"Samba Da Madrugada","Dora Lopes"
"Samba De Uma Nota Só","Radamés Gnatalli"
"Só Danço Samba","Elza Soares"
"Foi Deus","Gilda Lopes"
"Vigésimo Andar","Albert Pavão"
"The Guns Of Navarone","Joe Reisman"
"Marcha Da Condução","José Messias"
"Al Di La","Emilio Pericoli"
"Gina","Johnny Mathis"
"Dancin’ Party","Chubby Checker"
"Prá Sempre Te Adorar","Paulo Marquez"
"Metade Homem E Metade Mulher","Walter Levita"
"Fascination","Leny Eversong"
"Esta Noite Eu Queria Que O Mundo Acabasse","Silvinho"
"Boneca De Doce","Paulo Ricardo"
