title,artist
"Foi um Rio que passou em Minha Vida","Paulinho da Viola"
"Pra frente Brasil","Coral de Joab"
"Jesus Cristo","Roberto Carlos"
"Madalena","Elis Regina"
"Yellow River","Christie"
"Bridge Over Troubled Water","Simon and Garfunkel"
"Azul da Cor do Mar","Tim Maia"
"Raindrops Keep Fallin’ On My Head","B.J.Thomas"
"Let It Be","Beatles"
"BR 3","Tony Tornado e Trio Ternura"
"ABC","The Jackson 5"
"Reflections of my life","The Marmelade"
"Eu te amo meu Brasil","Dom e Ravel"
"Primavera (Vai Chuva)","Tim Maia"
"Something in the way she moves","Beatles"
"Marie Jolie","Aphrodite’s Child"
"Menina","Paulinho Nogueira"
"Universo no teu corpo","Taiguara"
"Quero voltar pra bahia","Paulo Diniz"
"Bandeira Branca","Dalva de Oliveira"
"Teletema","Evinha"
"O amor é o meu pais","Ivan Lins"
"London London","Gal Costa"
"Venus","Shocking Blue"
"Airport love theme","Vincent Bell"
"I’ll Be There","Jackson 5"
"In The Summertime","Mungo Jerry"
"Coqueiro Verde","Erasmo Carlos"
"They Long To Be (Close To You)","Carpenters"
"120…150…200 km por hora","Roberto Carlos"
"Ti voglio tanto bene","Rossano"
"American woman","The Guess Who"
"Midnight Cowboy","Ferrante & Teicher"
"Gente humilde","Angela Maria"
"The Long And Winding Road","The Beatles"
"Make It With You","Bread"
"Cracklin’ Rosie","Neil Diamond"
"Get ready","Rare Earth"
"Adeus Solidão","Carmem Silva"
"Everybody’s Talkin","Harry Nilsson"
"Pra Você","Silvio Cesar"
"Para Lennon e McCartney","Milton Nascimento"
"Coroné Antônio Bento","Tim Maia"
"Spill The Wine","Eric Burdon & War"
"Lay Down (Candles In The Rain)","Melanie And The Edwin Hawkins Singers"
"Meu laiáraiá","Martinho da Vila"
"Green-Eyed Lady","Sugarloaf"
"My Baby Loves Loving","White Plains"
"Rainy Night in Georgia","Brook Benton"
"Padre Cícero","Tim Maia"
"Paixão de homem","Waldick Soriano"
"Teletema","Regininha"
"Hotel Das Estrelas","Gal Costa"
"The Boxer","Simon & Garfunkel"
"Procurando tu","Ivon Curi"
"Irmãos coragem","Jair Rodrigues"
"Carta de amor","Waldick Soriano"
"Eu amo você","Tim Maia"
"Come Together","The Beatles"
"Yester me yester you yesterday","Stevie Wonder"
"Vou deitar e rolar","Elis Regina"
"Je T’aime (Moi Non Plus)","Jane Birkin et Serge Gainsbourg"
"Without Love","Tom Jones"
"Esse meu coracão sem juizo","Moacyr Franco"
"Noi ci amiamo","Noi Giovani"
"Hoje","Taiguara"
"John Lennon","Instant Karma"
"Mama Told Me (Not To Come)","Three Dog Night"
"Eu Te Amo Meu Brasil","Os Incríveis"
"Que bom seria","Agnaldo Timóteo"
"Verão vermelho","Elis Regina"
"Ê Baiana","Clara Nunes"
"Coco Verde","Doris Monteiro"
"Procurando Tú","Jackson Do Pandeiro"
"Ando Meio Desligado","Os Mutantes"
"Tá chegando fevereiro","Os Originais do Samba"
"Up Around The Bend","Creedence Clearwater Revival"
"Wedding Bell Blues","Fifth Dimension"
"na na hey hey kiss him goodbye","Steam"
"Travellin’ Band","Creedence Clearwater Revival"
"Assim na terra como no céu","Tim Maia"
"Suspicious Minds","Elvis Presley"
"Hey There Lonely Girl","Eddie Holman"
"Alguém me disse","Emílio Santiago"
"Eu Também Quero Mocotó","Trio Mocotó"
"Take A Letter Maria","R.B. Greaves"
"Bamboleando","Francisco Egydio"
"Down On The Corner","Creedence Clearwater Revival"
"And when i die","Blood Sweat & Tears"
"Canção do marinheiro (Cisne Branco)","Dalva de Oliveira"
"Deixa Estar","MPB4"
"O cabeção","Golden Boys"
"I can’t get next to you","The Temptations"
"Patches","Clarence Carter"
"Não Quero Saber","Manhoso"
"Rio de Lagrimas","Tião Carreiro e Pardinho"
"Leaving on a Jet Plane","Peter, Paul and Mary"
"Little Woman","Bobby Sherman"
"The Originals","Baby I’m for real"
"Which Way You Goin’ Billy","The Poppy Family"
