title,artist
"Detalhes","Roberto Carlos"
"Tarde em Itapoã","Toquinho, Vinivius de Moraes e Marília Medalha"
"It’s Too Late","Carole King"
"Você abusou","Antonio Carlos e Jocafi"
"How Can You Mend A Broken Heart","Bee Gees"
"Have You Ever Seen The Rain?","Creedence Clearwater Revival"
"Debaixo dos caracóis dos seus cabelos","Roberto Carlos"
"Ê Baiana","Clara Nunes"
"Maggie May","Rod Stewart"
"Candida","Dawn"
"Never Can Say Goodbye","Jackson 5"
"Menina da ladeira","João Só"
"Como 2 e 2","Gal Costa"
"Cotidiano","Chico Buarque"
"Rose Garden","Lynn Anderson"
"You’ve got a Friend","James Taylor"
"A Tonga Da Mironga Do Kabuletê","Toquinho e Vinicius de Moraes"
"My Sweet Lord","George Harrison"
"Você","Tim Maia"
"black magic woman","Santana"
"What’s Going On","Marvin Gaye"
"If","Bread"
"Joy To The World","Three Dog Night"
"Festa para um rei negro","Jair Rodrigues"
"Me & Bobby McGee","Janis Joplin"
"Be my baby","Andy Kim"
"Theme From Shaft","Isaac Hayes"
"Amada amante","Roberto Carlos"
"O cafona","Marcos Valle"
"No Matter What","Badfinger"
"Não Quero Dinheiro","Tim Maia"
"Lonely Days","Bee Gees"
"Another Day","Paul McCartney & Wings"
"I Love You For All Seasons","The Fuzz"
"Mother","John Lennon/Plastic Ono Band"
"Casa No Campo","Elis Regina"
"She’s a lady","Tom Jones"
"Theme from Love Story","Francis Lai"
"Com mais de 30","Marcos Valle"
"De Noite Na Cama","Doris Monteiro"
"Don’t Pull Your Love","Hamilton, Joe Frank And Reynolds"
"Desacato","Antonio Carlos e Jocafi"
"Fire And Rain","James Taylor"
"It Don’t Come Easy","Ringo Starr"
"Family Affair","Sly & Family Stone"
"Capim gordura","Ivon Cury"
"Knock Three Times","Dawn"
"Quem mandou você errar","Claudia Barroso"
"16 Toneladas","Noriel Vilela"
"A festa de santos reis","Tim Maia"
"Mudei de Ideia","Antonio Carlos & Jocafi"
"One bad apple","The Osmonds"
"Balada Nº 7","Moacyr Franco"
"Mas Que Doidice","Maria Creuza"
"Ovo de Codorna","Luiz Gonzaga"
"É impossivel acreditar que te perdi","Marcio Greyck"
"Oh me, Oh my","B.J. Thomas"
"Sanctus Sanctus Halleluiah.","Barry Ryan"
"Gypsy Woman","Brian Hyland"
"Carta de Amor","Waldick Soriano"
"Amanda","Taiguara"
"Look around (You’ll find me there)","Al Martino"
"Construção","Chico Buarque"
"Minha Madrinha, Mangueira Querida","Salgueiro"
"Bloco Da Solidão","Altermar Dutra"
"Kokorono Niji","Os Incríveis"
"O Último romãntico","Agnaldo Timóteo"
"José","Nalva Aguiar"
"Boêmio Demodê","Cyro Aguiar"
"Oh Me Oh My I`m A Fool For You Baby","Lulu"
"Deus Lhe Pague","Chico Buarque de Hollanda"
"It Don’t Matter To Me","Bread"
"Superstar","Carpenters"
"Brown sugar","The Rolling Stones"
"One less bell to answer","The 5th Dimension"
"Eu Não Tenho Onde Morar","Ed Lincoln"
"Toast and Marmalade for Tea","Tin Tin"
"Montego Bay","Bobby Bloom"
"I Think I Love You","Partridge Family"
"Não existe nada além de nós","Joelma"
"Como Dois e Dois","Roberto Carlos"
"Procurando tu","Ivon Curi"
"Domingo de Solidão","Carmen Silva"
"Te amo, te amo (Te quiero, Te quiero)","Joelma"
"Tears Of A Clown","Smokey Robinson & The Miracles"
"Adeus Solidão","Carmem Silva"
"Acapulco Gold","Mason & Dixon"
"O fim","Carmen Silva"
"Pra Começo de Assunto","Elizabeth Cardoso"
"De Tanto Amor","Claudette Soares"
"Ei, pai","Demetrius"
"Bloco da Solidão","Maysa"
"O Velho e o Novo","Taiguara"
"Mr. Big Stuff","Jean Knight"
"Just my imagination","The Temptations"
"Lá se vão meus anéis","Márcia"
"All Right Now","Free"
"Ainda Queima a Esperança","Gilberto & Gilmar"
"We’ve Only Just Begun","The Carpenters"
"Lola","The Kinks"
