title,artist,lyrics
"É O Amor","Zezé Di Camargo & Luciano","Eu não vou negar que sou louco por você
Tô maluco pra te ver
Eu não vou negar

Eu não vou negar, sem você tudo é saudade
Você traz felicidade
Eu não vou negar

Eu não vou negar, você é meu doce mel
Meu pedacinho de céu
Eu não vou negar

Você é minha doce amada, minha alegria
Meu conto de fada, minha fantasia
A paz que eu preciso pra sobreviver
Eu sou o seu apaixonado de alma transparente
Um louco alucinado, meio inconsequente
Um caso complicado de se entender

É o amor
Que mexe com minha cabeça e me deixa assim
Que faz eu pensar em você e esquecer de mim
Que faz eu esquecer que a vida é feita pra viver

É o amor
Que veio como um tiro certo no meu coração
Que derrubou a base forte da minha paixão
Que fez eu entender que a vida é nada sem você

Eu não vou negar, você é meu doce mel
Meu pedacinho de céu
Eu não vou negar

Você é minha doce amada, minha alegria
Meu conto de fada, minha fantasia
A paz que eu preciso pra sobreviver
Eu sou o seu apaixonado de alma transparente
Um louco alucinado, meio inconsequente
Um caso complicado de se entender

É o amor
Que mexe com minha cabeça e me deixa assim
Que faz eu pensar em você e esquecer de mim
Que faz eu esquecer que a vida é feita pra viver

É o amor
Que veio como um tiro certo no meu coração
Que derrubou a base forte da minha paixão
Que fez eu entender que a vida é nada sem você"
"Noite Preta","Vange Leonel","Luzes da cidade
Meus olhos não aguentam mais
Luzes artificiais
E cadê a noite preta?
Eu saio da cidade
Procuro só a escuridão
A purificação na calada da noite
Da noite preta

Calada noite preta, noite preta
Calada noite preta, noite preta
Calada noite preta!

Fecho os meus olhos
A caverna e o coração
Perdidos entre um sim e um não
Na calada da noite preta
Deus, Deus, Deus
Aonde eu vim parar
À noite preta vou me entregar"
"Swing da cor","Daniela Mercury","Não
Não me abandone
Não me desespere
Porque eu não posso
Ficar sem você

Não, não, não
Não me abandone
Não me desespere
Porque eu não posso
Ficar sem você

Eu não posso ficar
Ficar sem você
Eu não posso ficar
Ficar sem te ver

Vem
Pro swing da cor
Relaxar o calor
E quem sabe
Me amarrar

Vem
Que o teu sorriso
É pequeno
No teu beijo
Tem veneno
E está querendo
Me apaixonar

Ticurupaco, kioiô
Eu sou Muzenza, larauê
Ticurupaco, kioiô
Eu sou Muzenza, larauê

Ticurupaco, kioiô
Eu sou Muzenza, larauê
Ticurupaco, kioiô
Eu sou Muzenza, larauê

Aia, ulêlêlê lêlê aia
ulêlêlê lêlê aia
Com Muzenza eu vou
Ah, ah, ah, ah"
"Beija Eu","Marisa Monte","Seja eu! Seja eu!
Deixa que eu seja eu
E aceita o que seja seu
Então deita e aceita eu

Molha eu! Seca eu!
Deixa que eu seja o céu
E receba o que seja seu
Anoiteça e amanheça eu

Beija eu! Beija eu!
Beija eu, me beija
Deixa o que seja ser

Então beba e receba
Meu corpo no seu
Corpo eu, no meu corpo
Deixa! Eu me deixo
Anoiteça e amanheça

Seja eu! Seja eu!
Deixa que eu seja eu
E aceita o que seja seu
Então deita e aceita eu

Molha eu! Seca eu!
Deixa que eu seja o céu
E receba o que seja seu
Anoiteça e amanheça eu

Ah, ah, ah, ah, ah! Ah!
Ah! Ah, ah, ah!
Ah! Ah, ah, ah!
Ah, ah, ah

Beija eu! Beija eu!
Beija eu, me beija
Deixa o que seja ser

Então beba e receba
Meu corpo no seu
Corpo eu, no meu corpo
Deixa! Eu me deixo
Anoiteça e amanheça

Aaaah! Aaaaah!
Oh oh oh oh oh oh!
Oh oh oh oh oh oh!

Aaaah! Aaaaah
Oh oh oh oh oh oh!
Oh oh oh oh oh oh!

Aaaah! Aaaaah
Oh oh oh oh oh oh!"
"Paz Na Cama","Leandro & Leonardo","Quando alguém lhe perguntar por que voltei
Não precisa a verdade esconder
Diga que voltei por que te amo
Que voltei por que te quero
E que sou louco por você

E se alguém insistir em perguntar
Por que foi que você me aceitou
Diga que sem mim você não vive
E que sente minha falta e depende desse amor

E se de dia a gente briga, a noite a gente se ama
É que nossas diferenças se acabam no quarto em cima da cama
E se de dia a gente briga, a noite a gente se ama
É que nossas diferenças se acabam no quarto em cima da cama

Quando alguém lhe perguntar por que voltei
Não precisa a verdade esconder
Diga que voltei por que te amo
Que voltei por que te quero
E que sou louco por você

E se alguém insistir em perguntar
Por que foi que você me aceitou
Diga que sem mim você não vive
E que sente minha falta e depende desse amor

E se de dia a gente briga, a noite a gente se ama
É que nossas diferenças se acabam no quarto em cima da cama
E se de dia a gente briga, a noite a gente se ama
É que nossas diferenças se acabam no quarto em cima da cama

E se de dia a gente briga, a noite a gente se ama
É que nossas diferenças se acabam no quarto em cima da cama
E se de dia a gente briga, a noite a gente se ama"
"O teatro dos vampiros","Legião Urbana","Sempre precisei de um pouco de atenção
Acho que não sei quem sou, só sei do que não gosto
E destes dias tão estranhos
Fica a poeira se escondendo pelos cantos

Esse é o nosso mundo
O que é demais nunca é o bastante
E a primeira vez é sempre a última chance
Ninguém vê onde chegamos
Os assassinos estão livres, nós não estamos

Vamos sair, mas não temos mais dinheiro
Os meus amigos todos estão procurando emprego
Voltamos a viver como há dez anos atrás
E a cada hora que passa, envelhecemos dez semanas

Vamos lá, tudo bem, eu só quero me divertir
Esquecer dessa noite, ter um lugar legal pra ir
Já entregamos o alvo e a artilharia
Comparamos nossas vidas, esperamos que um dia
Nossas vidas possam se encontrar

Quando me vi tendo de viver
Comigo apenas e com o mundo
Você me veio como um sonho bom
E me assustei, não sou perfeito
Eu não esqueço

A riqueza que nós temos
Ninguém consegue perceber
E de pensar nisso tudo
Eu, homem feito
Tive medo e não consegui dormir

Vamos sair, mas estamos sem dinheiro
Os meus amigos todos estão procurando emprego
Voltamos a viver como há dez anos atrás
E a cada hora que passa, envelhecemos dez semanas

Vamos lá, tudo bem, eu só quero me divertir
Esquecer, dessa noite ter um lugar legal pra ir
Já entregamos o alvo e a artilharia
Comparamos nossas vidas e mesmo assim
Não tenho pena de ninguém"
"Cartas","Roupa Nova","Cartas
Não olham nos olhos
Foi bem mais fácil escrever
Dentro
De cada palavra
Vai um pouquinho do meu coração

Um verso de amor
Não conhece a timidez
Nem treme na presença de quem ama

Um verso de amor
Vai tomar o meu lugar
Quem sabe ele me ajuda a confessar

Você vai ler
Que tudo em mim
Pede o fim do silêncio
Esperar
Já não é o bastante
E vai saber
Que o meu amor
É maior que tudo
E está escrito
Que é seu pra sempre

Dentro de cada palavra
Eu me desenho inteiro pra você
Um verso de amor
Não conhece a timidez
Nem treme na presença de quem ama

Um verso de amor
Vai tomar o meu lugar
Quem sabe ele me ajuda a confessar

Você vai ler
Que tudo em mim
Pede o fim do silêncio
Esperar
Já não é o bastante
E vai saber
Que o meu amor
É maior que tudo
E está escrito
Que vai ser pra sempre

Você vai ler
Que tudo em mim
Pede o fim do silêncio
Esperar
Já não é o bastante
E vai saber
Que o meu amor
É maior que tudo...
E está escrito
Que vai ser pra sempre.

Cartas...
Esperam resposta."
"Não vou ficar","Kid Abelha","Há muito tempo eu vivi calada
Mas agora resolvi falar
Chegou a hora, tem que ser agora
E com você não posso mais ficar

Não vou ficar não
Não, não
Não posso mais ficar
Não, não, não
Não, não
Não posso mais ficar não

Toda a verdade deve ser falada
E não vale nada se enganar
Não tem mais jeito
Tudo está desfeito
E com você não posso mais ficar

Não vou ficar não
Não, não
Não posso mais ficar
Não, não, não
Não, não
Não posso mais ficar não

Pensando bem
Não vale a pena
Ficar tentando em vão
O nosso amor não tem mais condição
Não, não, não, não, não, não, não

Por isso resolvi agora lhe deixar de fora do meu coração
Com você não dá mais certo
E ficar sozinha é minha solução
É solução sim

Ah, ah
Não tem mais solução
Não, não, não
Não, não
Não tem mais solução não

Pensando bem
Não vale a pena
Ficar tentando em vão
O nosso amor não tem mais condição
Não, não, não, não, não, não, não

Por isso resolvi agora lhe deixar de fora do meu coração
Com você não dá mais certo
E ficar sozinha é minha solução
É solução sim

Ah, ah
Não tem mais solução
Não, não, não
Não, não
Não tem mais solução não

Não, não
Não tem mais solução
Não, não, não
Não, não
Não tem mais solução não

Ah, ah
Não posso mais ficar
Não, não, não
Não, não
Não posso mais ficar não

Ah, ah
Não posso mais ficar
Não, não, não
Não, não
Não posso mais ficar não"
"Olhos de Jade","Beto Guedes","Sou um rei sem palácio
Não dá nem pra contar de onde eu vim
As nuvens que passam
Esperam por mim

Sou quem vê a miragem
E quer acreditar no que vê
Seus olhos de jade
Que invadem meu ser

Me queima o sol
Me queima e nem assim
Percebe o quanto amei
Nada que eu possa falar
Fala por tudo que eu sei
Sei que te amo
E quero ser feliz
Sei que te amo
E quero ser feliz
Sem fim

Vou seguir os teus rastros
Eu sei que num lugar do sem fim
Existem dois astros
Que velam e esperam por mim

Me queima o sol
Me queima e nem assim
Percebe o quanto amei
Nada que eu possa falar
Fala por tudo que eu sei
Sei que te amo
E quero ser feliz
Sim, eu te amo
E quero ser feliz
Sem fim"
"Acontecimentos","Marina Lima","Eu espero
Acontecimentos
Só que quando anoitece
É festa no outro apartamento

Todo amor
Vale o quanto brilha
Aí
E o meu brilhava
Brilho de joia e de fantasia

O que que há com nós?
O que que há com nós dois, amor?
Me responda depois
Me diz por onde você me prende
Por onde foge
E o que pretende de mim

Era fácil
Nem dá pra esquecer
Aí e eu nem sabia
Como era feliz de ter você

Como pôde
Queimar nosso filme
Um longe um do outro
Morrendo de tédio e de ciúmes

O que que há com nós?
O que há com nós dois amor?
Me responda depois
Me diz por onde você me prende
Por onde foge
E o que pretende de mim"
