title,artist
"Gina","Wayne Fontana"
"Coração de papel","Sérgio Reis"
"Namoradinha de um amigo meu","Roberto Carlos"
"Love Me Please Love Me","Michel Polnareff"
"A Praça","Ronnie Von"
"O bom rapaz","Wanderley Cardoso"
"Bus Stop","The Hollies"
"Travessia","Milton Nascimento"
"Quando","Roberto Carlos"
"Something Stupid","Frank & Nancy Sinatra"
"See You In September","The Happenings"
"Era Um Garoto Que Como Eu Amava Os Beatles E Os Rolling Stones","Os Incríveis"
"Black is Black","Los Bravos"
"Nossa Canção","Roberto Carlos"
"Para Pedro","José Mendes"
"The Beatles tribute","Penny Lane"
"There’s a Kind of Hush","Herman’s Hermits"
"Quem Não Quer","Jerry Adriani"
"Tijolinho","Bobby Di Carlo"
"Coisinha Estupida","George Freedman"
"A white shade of pale","Protocol Harun"
"Acorda, Maria Bonita","Ary Cordovil"
"Georgy Girl","The Seekers"
"Poor Side Of Town","Johnny Rivers"
"Caderninho","Erasmo Carlos"
"Meu grito","Agnaldo Timóteo"
"This Is My Song","Petula Clark"
"Súplica Cearense","Ary Lobo"
"No Milk Today","Herman’s Hermits"
"Alegria, Alegria","Caetano Veloso"
"You Only Live Twice","Nancy Sinatra"
"Love Is All You Need","The Beatles"
"Pare o Casamento","Wanderléa"
"I’m a Believer","The Monkees"
"Domingo no Parque","Gilberto Gil"
"Cant Take My Eyes Off You","Frankie Valli and The 4 Seasons"
"Estou feliz","Ed Carlos"
"Music To Watch Girls By","Bob Crewe Generation"
"Last Train To Clarksville","The Monkees"
"Sunny","Chris Montez"
"Triste madrugada","Jair Rodrigues"
"Doce de coco","Wanderley Cardoso"
"Ave Maria dos olhos dela","Wilson Miranda"
"Maria, Carnaval e Cinzas","Roberto Carlos"
"Roda Viva","Chico Buarque"
"Winchester Cathedral","New Vaudeville Band"
"A garota do Roberto","Waldirene"
"Eu não presto mas eu te amo","Demétrius"
"Western Union","Five Americans"
"Anna (Go to him)","The Beatles"
"Guantanamera","The Sandpipers"
"O mundo encantado de Monteiro Lobato","Elza Soares"
"Máscara negra","Zé Kéti"
"Ruby Tuesday","The Rolling Stones"
"A catedral","Ronnie Von"
"A Bomba Esta Para Explodir Na Praça Enquanto a Banda Passa","Roberto Rei"
"Eu Sou Terrível","Roberto Carlos"
"Barra Limpa","Martinha"
"Só Vou Gostar de Quem Gosta de Mim","Roberto Carlos"
"Linda","João Dias"
"Margarida","Gutemberg Guarabira e Grupo Manifesto"
"Born Free","Matt Monro"
"A Little Bit Me A Little Bit You","The Monkees"
"C’era un ragazzo che come me…","Gianni Morandi & Claudio Baglioni"
"Happy together","Os Baobás"
"Como é grande o meu amor por você","Roberto Carlos"
"Eu Te Amo Mesmo Assim","Martinha"
"Happy Together","The Turtles"
"Coisinha Estúpida","Leno e Lilian"
"Day Tripper","The Beatles"
"Confia","João Dias"
"Jardim De Infância","Ronnie Von"
"Deixa meu cabelo em Paz","Osvaldo Nunes"
"Feitiço de broto","Rosemary"
"Música Para Ver A Garota Passar","Ronnie Von"
"Não pense em mim","Morgana"
"Alfie","Dionne Warwick"
"Anjo azul","Adriana"
"Prova de fogo","Wanderléa"
"A Partida","Os Iguais"
"For Your Love","The Yardbirds"
"Noir c’est noir","Johnny Hallyday"
"É o amor","Nalva Aguiar"
"Só eu e Você","Carlos Gonzaga"
"Tributo a Martin Luther King","Wilson Simonal"
"A Groovy Kind Of Love","The Mindbenders"
"Mellow Yellow","Donovan"
"Eu só quero ver","Deny e Dino"
"Ponteio","Marilia Medalha e Edu Lobo"
"Eu e a brisa","Marcia"
"Mamãe, Ele Está de Olho em Mim","Suzy Darlen"
"Foi assim","Wanderleia"
"Uma tarde no Circo","Rosemary"
"Meu Bem Só Gosta de Mim","Kátia Cilene"
"Ho capito che ti amo","Luigi Tenco"
"Born Free","Andy Williams"
"Carolina","Cynara e Cibele"
"Reach Out (I’ll Be There)","The Four Tops"
"Meu boi","Zé Fidélis"
"Eu daria a Minha vida","Roberto Carlos"
