title,artist,lyrics
"Ficha limpa","Gusttavo Lima","Quando você me toca não arrepia a pele
Suas palavras não me cortam, mas me ferem

Eu não tô feliz, você também
A gente tá enganando quem?
Tá tudo fora do normal
No momento, a gente pode ser tudo
Tudo, tudo, menos um casal

Doa a quem doer, no caso eu
Tô indo embora com minha ficha limpa
De saudade, de cabeça erguida
Eu vou sofrer, mas não vou recair
Mas já você vai precisar de mim

Doa a quem doer, no caso eu
Tô indo embora com minha ficha limpa
De saudade, de cabeça erguida
Eu vou sofrer, mas não vou recair
Mas já você vai precisar de mim
Pra te tirar do fundo desse poço que eu saí

Eu não tô feliz, você também
A gente tá enganando quem?
Tá tudo fora do normal
No momento, a gente pode ser tudo
Tudo, tudo, menos um casal

Doa a quem doer, no caso eu
Tô indo embora com minha ficha limpa
De saudade, de cabeça erguida
Eu vou sofrer, mas não vou recair
Mas já você vai precisar de mim

Doa a quem doer, no caso eu
Tô indo embora com minha ficha limpa
De saudade, de cabeça erguida
Eu vou sofrer, mas não vou recair
Mas já você vai precisar de mim
Pra te tirar do fundo desse poço que eu saí

Eu vou sofrer, mas não vou recair
Mas já você vai precisar de mim
Pra te tirar do fundo desse poço que eu saí"
"Morena","Luan Santana","Você podia ter caprichado menos no beijo
Devia ter pegado leve na hora de amar
Podia ter falado não, ao invés de aceito
Talvez a história da gente não tava onde tá

O que eu dei pra você?
Tudo, tudo que eu tinha pra dar
E do quê que adiantou?
Nada, você só queria brincar

Se eu não conseguir dormir, não é a cafeína
É culpa da morena, do beijo da morena
Se na balada eu zerar, não faltou esquema
É culpa da morena, do beijo da morena

Me diz quê que eu posso fazer se ela rouba a cena?
Se até deitado no colo da loira, eu lembro da morena?

Parei no segundo exato
Que seus lábios falsos tocaram os meus
Sempre que alguém me perguntava, dizia
Sinto nada o amor evaporou, morreu

Mesmo sabendo que as minhas chances são praticamente nulas
O meu coração ainda te procura
Lá vou eu deitar na minha cama
Me virar pro outro lado e esquecer
Não esqueci

Se eu não conseguir dormir, não é a cafeína
É culpa da morena, do beijo da morena
Se na balada eu zerar, não faltou esquema
É culpa da morena, do beijo da morena

O que eu dei pra você?
Tudo, tudo que eu tinha pra dar
E do que que adiantou?
Nada, você só queria brincar

Se eu não conseguir dormir, não é cafeína
É culpa da morena, do beijo da morena

Se eu não conseguir dormir, não é a cafeína
É culpa da morena, do beijo da morena
Se na balada eu zerar, não faltou esquema
É culpa da morena, do beijo da morena

Me diz quê que eu posso fazer se ela rouba a cena?
Se até deitado no colo da loira, eu lembro da morena?

Me diz quê que eu posso fazer se ela rouba a cena?
Se até deitado no colo da loira, eu lembro da morena?"
"Despedida de casal","Gustavo Mioto","Mesa pra dois num restaurante chique
Vinho chileno, na entrada um ceviche
Toda cheirosa, fez até penteado
Batom vermelho e vestido colado

Ela passou a noite sorrindo
Falou que eu tava lindo
Queria que a noite fosse inesquecível
E foi

Foi nosso jantar à luz de adeus
Nossa despedida de casal
Ela terminou sem derramar nenhuma lágrima
E eu ainda não digeri esse final

Foi nosso jantar à luz de adeus
Nossa despedida de casal
Ela terminou sem derramar nenhuma lágrima
E eu ainda não digeri esse final

Tá engasgado aqui aquele tchau

Mesa pra dois num restaurante chique
Vinho chileno, na entrada um ceviche
Toda cheirosa, fez até penteado
Batom vermelho e vestido colado

Ela passou a noite sorrindo
Falou que eu tava lindo
Queria que a noite fosse inesquecível
E foi

Foi nosso jantar à luz de adeus
Nossa despedida de casal
Ela terminou sem derramar nenhuma lágrima
E eu ainda não digeri esse final

Foi nosso jantar à luz de adeus
Nossa despedida de casal
Ela terminou sem derramar nenhuma lágrima
E eu ainda não digeri esse final

Tá engasgado aqui aquele tchau"
"Batom de cereja","Israel e Rodolffo","Parei, pensei
Quase travei
Será que agora eu vou passar a vez
Será que eu vou ficar de boa
Pegando outra e vendo você ficar com outra pessoa?

Não vou, não
Já dispensei a gata que eu tava
Eu vim aqui foi pra beber e passar raiva
Tô sofrendo na night
Cê tá batendo muito mais que o grave

Enquanto o som do paredão toca
Cê gasta o seu batom de cereja
Eu bebo, cê beija
Eu bebo, cê beija

Enquanto o som do paredão toca
Cê gasta o seu batom de cereja
Eu bebo, cê beija
Eu bebo, cê beija

Não vou, não
Já dispensei a gata que eu tava
Eu vim aqui foi pra beber e passar raiva
Tô sofrendo na night
Cê tá batendo muito mais que o grave

Enquanto o som do paredão toca
Cê gasta o seu batom de cereja
Eu bebo, cê beija
Eu bebo, cê beija

Enquanto o som do paredão toca
Cê gasta o seu batom de cereja
Eu bebo, cê beija
Eu bebo, cê beija

Enquanto o som do paredão toca
Cê gasta o seu batom de cereja
Eu bebo, cê beija
Eu bebo, cê beija

Enquanto o som do paredão toca
Cê gasta o seu batom de cereja
Eu bebo, cê beija
Eu bebo, cê beija

Eu bebo, cê beija
Eu bebo, cê beija"
"Desbloqueado","Diego e Victor Hugo","É, não é que seu espelho anda diferente?
Tá refletindo um sorriso muito mais atraente
Notei que seu cabelo tem mais brilho e tá cheia de vida
Seu olhar confirma que se sente muito mais bonita

A minha mão te procurou, não te sentiu
Disparei o meu sorriso que não te atingiu
Resumiu o meu beijo em dois, três segundos e saiu

Esqueceu desbloqueado em cima da mesa
Celular vibrou, vrum
A tela acesa
E um contato estranho te perguntando

Cê já contou pra ele da gente?
Não esconde nada, não mente
Eu não dormi a noite te esperando, impaciente

Cê já contou pra ele da gente?
Não esconde nada, não mente
E esse digitando aí?
Tá demorando, tá me consumindo, oh

Oi, aqui quem fala é o que tá sobrando
Ela ainda não falou comigo
Mas calma, ela já tá indo

Oh, a minha mão te procurou, não te sentiu
Disparei o meu sorriso que não te atingiu
Resumiu o meu beijo em dois, três segundos e saiu

Esqueceu desbloqueado em cima da mesa
Celular vibrou, vrum
A tela acesa
E um contato estranho te perguntando

Cê já contou pra ele da gente?
Não esconde nada, não mente
Eu não dormi a noite te esperando, impaciente

Cê já contou pra ele da gente?
Não esconde nada, não mente
E esse digitando aí?
Tá demorando, tá me consumindo, oh

Oi, aqui quem fala é o que tá sobrando
Ela ainda não falou comigo
Mas calma, ela já tá indo"
"Sigilo","Guilherme e Benuto","Roubou meu olhar
Minha atenção
Depois de um esbarrão
Uma desculpa, foi nada não

Virou conversa
Esse esbarrão
Nós dois nessa festa
Minha boca querendo borrar o seu batom

A minha mente mandou avisar
Que se o seu beijo virar vicio
Vai ser foda
Vou querer todo dia uma dose disso

Então foge comigo
Tô querendo seu corpo
Pode ser no sigilo
Vamos meter o louco

E sair dessa festa
Já que o tempo voa
Fazer amor sem pressa
E acordar sem roupa

Então foge comigo
Tô querendo seu corpo
Pode ser no sigilo
Vamos meter o louco

E sair dessa festa
Já que o tempo voa
Fazer amor sem pressa
E acordar sem roupa
Então foge comigo

A minha mente mandou avisar
Que se o seu beijo virar vicio
Vai ser foda
Vou querer todo dia uma dose disso

Então foge comigo
Tô querendo seu corpo
Pode ser no sigilo
Vamos meter o louco

E sair dessa festa
Já que o tempo voa
Fazer amor sem pressa
E acordar sem roupa

Então foge comigo
Tô querendo seu corpo
Pode ser no sigilo
Vamos meter o louco

E sair dessa festa
Já que o tempo voa
Fazer amor sem pressa
E acordar sem roupa
Então foge comigo"
"Moça do caixa","Raffa Torres","Moça do caixa do supermercado
Tá se perguntando pra que tanto álcool
Não, hoje não vai ter festa lá em casa
É que pra mim isso aqui é farmácia
Na minha compra não tem exceção
É tudo remédio pro meu coração
Sem mais perguntas, moça, colabora
Eu nunca senti tanta dor como agora

Eu já tentei denunciar a foto dela com outro sorrindo
Alguém vai ter que apagar, porque é conteúdo abusivo
Moça, eu até fui lá nos anúncios que colam nos postes
E se a vidente ajudar, em 3 dias talvez ela volte

Moça, ó o gerente aí chegando chateado
Te perguntando por que o caixa tá parado
A minha história é tão triste de contar
Que até o povo aqui da fila eu fiz chorar"
"Arranhão","Henrique e Juliano","Parece que cê sente cheiro de bebida de longe
Sabe que eu tô fraco
Aí que entra seu nome na tela do celular
Me perguntando: Aonde você tá?

Sabe onde minha saudade aperta
Quando o seu dedo aperta
Na palavra que me acerta
E deixa minha raiva cega
Cê sabe que eu sou incapaz e a falta que faz

Aí que mora o perigo, aí que eu caio lindo
Aí que eu sei das consequências, mesmo assim vou indo
É que vale a pena, vale a cama, vale o risco
O que é um arranhão pra quem já tá fudido?

Aí que mora o perigo, aí que eu caio lindo
Aí que eu sei das consequências, mesmo assim vou indo
É que vale a pena, vale a cama, vale o risco
O que é um arranhão pra quem já tá fudido?
Oh, oh, oh, oh

Sabe onde minha saudade aperta
Quando o seu dedo aperta
Na palavra que me acerta
E deixa minha raiva cega
Cê sabe que eu sou incapaz e a falta que faz

Aí que mora o perigo, aí que eu caio lindo
Aí que eu sei das consequências, mesmo assim vou indo
É que vale a pena, vale a cama, vale o risco
O que é um arranhão pra quem já tá fudido?

Aí que mora o perigo, aí que eu caio lindo
Aí que eu sei das consequências, mesmo assim vou indo
É que vale a pena, vale a cama, vale o risco
O que é um arranhão pra quem já tá fudido?
Oh, oh, oh, oh

É que vale a pena, vale a cama, vale o risco
O que é um arranhão pra quem já tá fudido?"
"Coração na cama","Hugo e Guilherme","Na porta de uma budega, largado daquele jeitão
Cadeira amarela, camisa no ombro
Cigarro na orelha e copo na mão

Não olhe de canto de olho
Julgando esse cidadão
Quem nunca perdeu o amor e chorou
Que me atire o primeiro litrão

Onde está o meu amor?
Tá pendurada na boca de outro caboclo
Tá amando outro corpo
Do jeitinho que a gente fez

Essa bandida rouba coração na cama
Geme alto e diz que ama
Depois te esquece de vez

Que muié é essa?"
"Você beberia ou não beberia?","Zé Neto e Cristiano","A culpa é da saudade
Que causa esse sufoco
Tá saindo pelos poros
E me desmanchando aos poucos

Dói ver ela me esquecendo
Então não venha criticar
A vida que eu tô vivendo

Me diz aí
Se você visse alguém beijando o amor da sua vida
Você beberia ou não beberia?
Você beberia ou não beberia?

Diz aí
Se você visse alguém beijando o amor da sua vida
Você beberia ou não beberia?
Você beberia

Não vem falar que é fraqueza minha

A culpa é da saudade
Que causa esse sufoco
Tá saindo pelos poros
E me desmanchando aos poucos

Dói ver ela me esquecendo
Então não venha criticar
A vida que eu tô vivendo

Me diz aí
Se você visse alguém beijando o amor da sua vida
Você beberia ou não beberia?
Você beberia ou não beberia?

Diz aí
Se você visse alguém beijando o amor da sua vida
Você beberia ou não beberia?
Você beberia

Me diz aí
Se você visse alguém beijando o amor da sua vida
Você beberia ou não beberia?
Você beberia

Não vem falar que é fraqueza minha"
