title,artist
"Datemi un martello","Rita Pavone"
"I Want To Hold Your Hand","The Beatles"
"Rua Augusta","Ronnie Cord"
"Ritmo de Chuva","Demétrius"
"Please Please Me","The Beatles"
"She Loves You","The Beatles"
"Dominique","Giane"
"Parei na Contra Mão","Roberto Carlos"
"Can’t Buy Me Love","The Beatles"
"Que Queres Tu de Mim","Altemar Dutra"
"Doce amargura","Moacyr Franco"
"Bigorrilho","Jorge Veiga"
"Deixa Isso Pra La","Jair Rodrigues"
"Acorrentados (Encadenados)","Agnaldo Rayol"
"Love Me Do","Beatles"
"É Proibido Fumar","Roberto Carlos"
"Hello Dolly","Louis Armstrong"
"Twist And Shout","Beatles"
"Una lacrima sul viso","Bobby Solo"
"Love me whit all your heart","Ray Charles Singers"
"El Relicário","The Clevers"
"Everybody Loves Somebody","Dean Martin"
"Mulher Governanta","Silvinho"
"Tudo de mim","Altemar Dutra"
"Escrivi me","Rita Pavone"
"The Girl From Ipanema","Stan Getz & Astrud Gilberto"
"Do You Want To Know A Secret","Beatles"
"Sabe Deus","Carlos Alberto"
"Dominique","Soeur Sourire"
"Pombinha branca","Silvana"
"O Divórcio","Oslaim Galvão"
"Rancho da Praça XI","Dalva de Oliveira"
"Igual A Ti Não Há Ninguém (Come Te Non C’E Nessuno)","Rosemary"
"A Carta","Waldick Soriano"
"Beijo Gelado","José Augusto"
"Sul Cucuzzolo","Rita Pavone"
"Menino das laranjas","Elis Regina"
"America","Trini Lopez"
"Bicho do mato","Jorge Ben"
"Olhando para o céu","Trio Esperança"
"De joelhos","Carlos Alberto"
"Louie Louie","The Kingsmen"
"Cabeleira do Zezé","Jorge Goulart"
"Ai de Mim","Golden Boys"
"Leda","Adilson Ramos"
"Forget Him","Bobby Rydell"
"You Don’t Own Me","Lesley Gore"
"If I Had A Hammer","Trini Lopez"
"Queria","Carlos José"
"La Bamba","Trini Lopez"
"Lado a Lado","Carlos Alberto"
"Canto o Fado","Olivinha Carvalho"
"Nana","Wilson Simonal"
"Diz que fui por aí","Nara Leao"
"Andorinha Preta","Hebe Camargo"
"Meu bem","Agnaldo Rayol"
"O Calhambeque","Roberto Carlos"
"Inútil paisagem","Tenório Jr"
"Paz do Meu Amor","Hebe Camargo"
"Tristeza de nós dois","Claudette Soares"
"The Hully Gully","Chubby Checker"
"There I’ve Said It Again","Bobby Vinton"
"Deep Purple","Nino Tempo and April Stevens"
"Luz Negra","Nara Leão"
"Deixe pra mim a culpa","Agnaldo Rayol"
"Ó, meu senhor","Wilson Miranda"
"Esse mundo é meu","Sérgio Ricardo"
"Capela do Amor (Chapel of Love)","Wanderléia"
"A Perereca da Vizinha","Dercy Gonçalves"
"Quero Me Casar Contigo","Roberto Carlos"
"O Sol Nascera","Nara Leão"
"Bossa Nova Baby","Elvis Presley"
"Diz Que Fui Por Aí","Elizeth Cardoso"
"Serenata Da Chuva","Altemar Dutra"
"Berimbau","Quarteto em Cy"
"Somente uma saudade","José Ricardo"
"Consolação","Wilson Simonal"
"Me Apeguei Com Meu Santinho","Wanderléia"
"O Passo Do Elefantinho","Trio Esperança"
"Telefone","Os Cariocas"
"Exército do Surf (L’Esercit del Surf)","Wanderléa"
"O relógio (El reloj)","Adilson Ramos"
"Canção da serra","José Ricardo"
"Vou morrer de rir","Silvinho"
"Um Leão Está Solto nas Ruas","Roberto Carlos"
"Maria Elena","Los Indios Tabajaras"
"Ansiedade (Ansiedote)","Carlos Alberto"
"Esta Noche Pago Yo","Lucho Gatica"
"My boy lollipop","Millie Small"
"Uma Lágrima No Rosto","Tony Campello"
"Java","Al hirt"
"Se eu Morresse Amanhã","Waldick Soriano"
"Abrazame","Bienvenido Granda"
"Juca do Brás","Leila Silva"
"Sugar Shack","Jimmy Gilmer e the Fireballs"
"If i had a hammer","Prini Lorenz"
"Meu broto só pensa em estudar","Albert Pavão"
"Mas que nada","Jorge Ben Jor"
"Palavras, só palavras","Martha Mendonça"
"Obsessão","Sérgio Odilon"
